cell_id,Synallaxis albescens,Synallaxis albescens [albescens Group],Synallaxis albescens australis
845e659ffffffff,1.0,0.0,0.0
845f083ffffffff,59.0,0.0,0.0
845f087ffffffff,2.0,0.0,0.0
845f095ffffffff,37.0,0.0,0.0
845f097ffffffff,6.0,0.0,0.0
845f0d7ffffffff,2.0,0.0,0.0
845f0e3ffffffff,2.0,0.0,0.0
845f161ffffffff,4.0,0.0,0.0
845f1c3ffffffff,23.0,0.0,0.0
845f1c9ffffffff,4.0,0.0,0.0
845f1cbffffffff,75.0,0.0,0.0
845f223ffffffff,6.0,0.0,0.0
845f227ffffffff,13.0,0.0,0.0
845f291ffffffff,2.0,0.0,0.0
845f295ffffffff,5.0,0.0,0.0
845f299ffffffff,29.0,0.0,0.0
845f29dffffffff,1.0,0.0,0.0
845f2d1ffffffff,15.0,0.0,0.0
845f2d5ffffffff,2.0,0.0,0.0
845f403ffffffff,9.0,0.0,0.0
845f407ffffffff,26.0,0.0,0.0
845f417ffffffff,1.0,0.0,0.0
845f423ffffffff,1.0,0.0,0.0
845f42bffffffff,33.0,0.0,0.0
845f435ffffffff,1.0,0.0,0.0
845f437ffffffff,2.0,0.0,0.0
845f483ffffffff,16.0,0.0,0.0
845f487ffffffff,59.0,0.0,0.0
845f491ffffffff,17.0,0.0,0.0
845f4a3ffffffff,6.0,0.0,0.0
845f4a7ffffffff,2.0,0.0,0.0
845f4a9ffffffff,12.0,0.0,0.0
845f4abffffffff,14.0,0.0,0.0
845f4b3ffffffff,36.0,0.0,0.0
845f4b9ffffffff,3.0,0.0,0.0
845f4bdffffffff,37.0,0.0,0.0
845f4e3ffffffff,1.0,0.0,0.0
845f4e5ffffffff,6.0,0.0,0.0
845f4e7ffffffff,14.0,0.0,0.0
845f50bffffffff,6.0,0.0,0.0
845f581ffffffff,29.0,0.0,0.0
845f583ffffffff,140.0,0.0,0.0
845f587ffffffff,4.0,0.0,0.0
845f58bffffffff,52.0,0.0,0.0
845f5b9ffffffff,89.0,0.0,0.0
845f5d7ffffffff,7.0,0.0,0.0
845f5d9ffffffff,2.0,0.0,0.0
845f665ffffffff,1.0,0.0,0.0
845f689ffffffff,2.0,0.0,0.0
845f68bffffffff,2.0,0.0,0.0
845f703ffffffff,2.0,0.0,0.0
845f709ffffffff,1.0,0.0,0.0
845f711ffffffff,46.0,0.0,0.0
845f713ffffffff,6.0,0.0,0.0
845f719ffffffff,8.0,0.0,0.0
845f755ffffffff,23.0,0.0,0.0
845f759ffffffff,47.0,0.0,0.0
845f75dffffffff,3.0,0.0,0.0
8466005ffffffff,3.0,0.0,0.0
8466009ffffffff,1.0,0.0,0.0
846601bffffffff,24.0,0.0,0.0
8466021ffffffff,23.0,0.0,0.0
8466023ffffffff,1.0,0.0,0.0
8466025ffffffff,3.0,0.0,0.0
8466027ffffffff,10.0,0.0,0.0
8466029ffffffff,11.0,0.0,0.0
846602bffffffff,10.0,0.0,0.0
8466035ffffffff,2.0,0.0,0.0
8466037ffffffff,2.0,0.0,0.0
8466045ffffffff,21.0,0.0,0.0
8466047ffffffff,18.0,0.0,0.0
8466059ffffffff,1.0,0.0,0.0
8466063ffffffff,3.0,0.0,0.0
8466067ffffffff,16.0,0.0,0.0
8466069ffffffff,4.0,0.0,0.0
846606bffffffff,2.0,0.0,0.0
8466081ffffffff,164.0,0.0,0.0
8466083ffffffff,70.0,0.0,0.0
8466085ffffffff,37.0,0.0,0.0
8466087ffffffff,73.0,0.0,0.0
8466089ffffffff,160.0,0.0,0.0
846608bffffffff,9.0,0.0,0.0
846608dffffffff,631.0,0.0,0.0
8466091ffffffff,2.0,0.0,0.0
8466095ffffffff,48.0,0.0,0.0
8466097ffffffff,9.0,0.0,0.0
8466099ffffffff,15.0,0.0,0.0
846609bffffffff,7.0,0.0,0.0
846609dffffffff,3.0,0.0,0.0
84660a1ffffffff,16.0,0.0,0.0
84660a3ffffffff,10.0,0.0,0.0
84660a5ffffffff,36.0,0.0,0.0
84660a7ffffffff,65.0,0.0,0.0
84660abffffffff,6.0,0.0,0.0
84660adffffffff,10.0,0.0,0.0
84660b3ffffffff,10.0,0.0,0.0
84660b7ffffffff,12.0,0.0,0.0
84660b9ffffffff,36.0,0.0,0.0
84660bbffffffff,37.0,0.0,0.0
84660bdffffffff,121.0,0.0,0.0
84660c3ffffffff,4.0,0.0,0.0
84660c7ffffffff,14.0,0.0,0.0
84660cbffffffff,55.0,0.0,0.0
84660cdffffffff,17.0,0.0,0.0
84660d1ffffffff,44.0,0.0,0.0
84660d3ffffffff,9.0,0.0,0.0
84660d9ffffffff,7.0,0.0,0.0
84660dbffffffff,1.0,0.0,0.0
84660ddffffffff,44.0,0.0,0.0
84660e1ffffffff,27.0,0.0,0.0
84660e3ffffffff,5.0,0.0,0.0
84660e5ffffffff,2.0,0.0,0.0
84660e7ffffffff,9.0,0.0,0.0
84660e9ffffffff,4.0,0.0,0.0
8466113ffffffff,37.0,0.0,0.0
8466117ffffffff,5.0,0.0,0.0
8466119ffffffff,16.0,0.0,0.0
846611bffffffff,2.0,0.0,0.0
8466165ffffffff,2.0,0.0,0.0
8466181ffffffff,17.0,0.0,0.0
8466183ffffffff,166.0,0.0,0.0
8466185ffffffff,2.0,0.0,0.0
8466189ffffffff,2.0,0.0,0.0
846618bffffffff,76.0,0.0,0.0
846618dffffffff,1.0,0.0,0.0
8466191ffffffff,257.0,0.0,0.0
8466193ffffffff,578.0,0.0,0.0
8466195ffffffff,118.0,0.0,0.0
8466197ffffffff,158.0,0.0,0.0
8466199ffffffff,72.0,0.0,0.0
846619bffffffff,119.0,0.0,0.0
846619dffffffff,209.0,0.0,0.0
84661a5ffffffff,1.0,0.0,0.0
84661b1ffffffff,111.0,0.0,0.0
84661b3ffffffff,306.0,0.0,0.0
84661b7ffffffff,6.0,0.0,0.0
84661b9ffffffff,307.0,0.0,0.0
84661bbffffffff,267.0,0.0,0.0
84661c1ffffffff,4.0,0.0,0.0
84661c3ffffffff,8.0,0.0,0.0
84661c9ffffffff,15.0,0.0,0.0
84661cbffffffff,1.0,0.0,0.0
84661cdffffffff,5.0,0.0,0.0
84661d1ffffffff,295.0,0.0,0.0
84661d5ffffffff,50.0,0.0,0.0
84661d7ffffffff,128.0,0.0,0.0
84661dbffffffff,2.0,0.0,0.0
84661ddffffffff,32.0,0.0,0.0
84661ebffffffff,72.0,0.0,0.0
8466201ffffffff,1.0,0.0,0.0
8466205ffffffff,9.0,0.0,0.0
8466207ffffffff,6.0,0.0,0.0
846620bffffffff,173.0,0.0,0.0
8466211ffffffff,4.0,0.0,0.0
8466213ffffffff,1.0,0.0,0.0
8466217ffffffff,61.0,0.0,0.0
8466219ffffffff,3.0,0.0,0.0
8466221ffffffff,19.0,0.0,0.0
8466225ffffffff,11.0,0.0,0.0
8466227ffffffff,9.0,0.0,0.0
846622bffffffff,414.0,0.0,0.0
8466231ffffffff,2.0,0.0,0.0
8466235ffffffff,1.0,0.0,0.0
846623bffffffff,1.0,0.0,0.0
846623dffffffff,9.0,0.0,0.0
8466257ffffffff,18.0,0.0,0.0
8466291ffffffff,18.0,0.0,0.0
8466293ffffffff,24.0,0.0,0.0
8466295ffffffff,8.0,0.0,0.0
846629bffffffff,15.0,0.0,0.0
846629dffffffff,56.0,0.0,0.0
84662a7ffffffff,9.0,0.0,0.0
84662b1ffffffff,2.0,0.0,0.0
84662b5ffffffff,1.0,0.0,0.0
84662b7ffffffff,58.0,0.0,0.0
84662bbffffffff,5.0,0.0,0.0
84662c1ffffffff,2.0,0.0,0.0
84662cdffffffff,28.0,0.0,0.0
84662d3ffffffff,49.0,0.0,0.0
84662d7ffffffff,2.0,0.0,0.0
84662d9ffffffff,2.0,0.0,0.0
84662dbffffffff,5.0,0.0,0.0
84662e1ffffffff,20.0,0.0,0.0
84662e5ffffffff,4.0,0.0,0.0
84662e9ffffffff,11.0,0.0,0.0
8466311ffffffff,8.0,0.0,0.0
8466313ffffffff,41.0,0.0,0.0
8466317ffffffff,1.0,0.0,0.0
846631bffffffff,12.0,0.0,0.0
846640dffffffff,2.0,0.0,0.0
8466411ffffffff,6.0,0.0,0.0
8466415ffffffff,28.0,0.0,0.0
8466417ffffffff,2.0,0.0,0.0
846641dffffffff,57.0,0.0,0.0
846642dffffffff,1.0,0.0,0.0
8466441ffffffff,4.0,0.0,0.0
8466455ffffffff,1.0,0.0,0.0
846645dffffffff,7.0,0.0,0.0
8466465ffffffff,1.0,0.0,0.0
8466505ffffffff,2.0,0.0,0.0
8466507ffffffff,2.0,0.0,0.0
846650dffffffff,3.0,0.0,0.0
8466529ffffffff,15.0,0.0,0.0
846652bffffffff,2.0,0.0,0.0
846652dffffffff,66.0,0.0,0.0
8466537ffffffff,4.0,0.0,0.0
8466545ffffffff,33.0,0.0,0.0
8466547ffffffff,1.0,0.0,0.0
8466549ffffffff,20.0,0.0,0.0
846654bffffffff,1.0,0.0,0.0
8466561ffffffff,3.0,0.0,0.0
8466565ffffffff,32.0,0.0,0.0
8466567ffffffff,5.0,0.0,0.0
8466569ffffffff,6.0,0.0,0.0
846656bffffffff,1.0,0.0,0.0
846656dffffffff,77.0,0.0,0.0
84665abffffffff,10.0,0.0,0.0
84665bdffffffff,3.0,0.0,0.0
846660dffffffff,2.0,0.0,0.0
8466623ffffffff,7.0,0.0,0.0
8466631ffffffff,2.0,0.0,0.0
8466637ffffffff,9.0,0.0,0.0
8466639ffffffff,11.0,0.0,0.0
846663dffffffff,8.0,0.0,0.0
8466641ffffffff,6.0,0.0,0.0
8466645ffffffff,4.0,0.0,0.0
8466647ffffffff,21.0,0.0,0.0
846664dffffffff,3.0,0.0,0.0
846666bffffffff,2.0,0.0,0.0
84666a1ffffffff,4.0,0.0,0.0
84666b3ffffffff,3.0,0.0,0.0
8466701ffffffff,1.0,0.0,0.0
8466705ffffffff,6.0,0.0,0.0
846670dffffffff,20.0,0.0,0.0
8466711ffffffff,3.0,0.0,0.0
8466723ffffffff,2.0,0.0,0.0
8466725ffffffff,1.0,0.0,0.0
8466727ffffffff,100.0,0.0,0.0
8466729ffffffff,1.0,0.0,0.0
8466737ffffffff,11.0,0.0,0.0
846673bffffffff,3.0,0.0,0.0
8466749ffffffff,3.0,0.0,0.0
846674bffffffff,3.0,0.0,0.0
8466759ffffffff,1.0,0.0,0.0
846675dffffffff,67.0,0.0,0.0
8466761ffffffff,2.0,0.0,0.0
8466763ffffffff,4.0,0.0,0.0
846676dffffffff,5.0,0.0,0.0
8466a03ffffffff,21.0,0.0,0.0
8466a15ffffffff,4.0,0.0,0.0
8466a17ffffffff,3.0,0.0,0.0
8466a1dffffffff,245.0,0.0,0.0
8466a21ffffffff,19.0,0.0,0.0
8466a23ffffffff,3.0,0.0,0.0
8466a31ffffffff,3.0,0.0,0.0
8466a33ffffffff,4.0,0.0,0.0
8466a37ffffffff,3.0,0.0,0.0
8466a39ffffffff,25.0,0.0,0.0
8466a3bffffffff,3.0,0.0,0.0
8466a57ffffffff,3.0,0.0,0.0
8466a5bffffffff,247.0,0.0,0.0
8466b01ffffffff,4.0,0.0,0.0
8466b09ffffffff,138.0,0.0,0.0
8466b0bffffffff,113.0,0.0,0.0
8466b19ffffffff,43.0,0.0,0.0
8466b1dffffffff,4.0,0.0,0.0
8466b41ffffffff,88.0,0.0,0.0
8466b43ffffffff,345.0,0.0,0.0
8466b45ffffffff,157.0,0.0,0.0
8466b47ffffffff,68.0,0.0,0.0
8466b51ffffffff,282.0,0.0,0.0
8466b53ffffffff,133.0,0.0,0.0
8466b55ffffffff,813.0,0.0,0.0
8466b57ffffffff,611.0,0.0,0.0
8466b5bffffffff,16.0,0.0,0.0
8466b5dffffffff,25.0,0.0,0.0
8466b69ffffffff,35.0,0.0,0.0
8466c01ffffffff,6.0,0.0,0.0
8466c0dffffffff,7.0,0.0,0.0
8466c17ffffffff,2.0,0.0,0.0
8466c21ffffffff,5.0,0.0,0.0
8466c29ffffffff,7.0,0.0,0.0
8466c41ffffffff,53.0,0.0,0.0
8466c45ffffffff,50.0,0.0,0.0
8466c47ffffffff,137.0,0.0,0.0
8466c49ffffffff,126.0,0.0,0.0
8466c4dffffffff,7.0,0.0,0.0
8466c53ffffffff,6.0,0.0,0.0
8466c57ffffffff,35.0,0.0,0.0
8466c5bffffffff,6.0,0.0,0.0
