cell_id,Melanodera melanodera,Melanodera melanodera princetoniana,Melanodera melanodera melanodera
84cf123ffffffff,2.0,0.0,0.0
84cf165ffffffff,1.0,0.0,0.0
84cfa41ffffffff,2.0,2.0,0.0
84cfa49ffffffff,29.0,0.0,0.0
84cfa4bffffffff,14.0,0.0,0.0
84cfa4dffffffff,3.0,3.0,0.0
84cfa59ffffffff,17.0,0.0,0.0
84de629ffffffff,1.0,0.0,1.0
84de62dffffffff,1.0,0.0,1.0
84de707ffffffff,4.0,0.0,4.0
84de719ffffffff,1.0,0.0,0.0
84de743ffffffff,7.0,0.0,3.0
84df455ffffffff,1.0,0.0,0.0
84df683ffffffff,2.0,0.0,0.0
84df691ffffffff,1.0,0.0,0.0
84df693ffffffff,19.0,0.0,0.0
