cell_id,Geothlypis trichas,Geothlypis trichas [arizela Group],Geothlypis trichas [melanops Group],Geothlypis trichas [trichas Group],Geothlypis trichas insperata,Geothlypis trichas chapalensis
840ecd1ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
840ecd7ffffffff,18.0,0.0,0.0,18.0,0.0,0.0
840eea7ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
840eeabffffffff,9.0,0.0,0.0,0.0,0.0,0.0
840eeb5ffffffff,3.0,0.0,0.0,3.0,0.0,0.0
840eebdffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412145ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412307ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412591ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8412597ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
841289bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84128bdffffffff,96.0,0.0,0.0,0.0,0.0,0.0
84128e3ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8412b03ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8412c11ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8412c1dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412c21ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412c83ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412c97ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412cc9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412ccdffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8412ce5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412d17ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8412d19ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8412d95ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412d97ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8412d9dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412da1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412db1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412db3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412db9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8412dc1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412dc3ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8412dc9ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8412dd7ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8412ddbffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8412de5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412e13ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8412e1bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412ea5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412f13ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412f15ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412f6dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8413829ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
841383dffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8413861ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8413867ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84138c7ffffffff,23.0,0.0,0.0,0.0,0.0,0.0
8413937ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8418729ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8419587ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
841aa07ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
841aa21ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
841aa23ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
841aa35ffffffff,19.0,0.0,0.0,0.0,0.0,0.0
841aa3dffffffff,45.0,0.0,0.0,0.0,0.0,0.0
841aa45ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
841aad7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
841ab0bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
841ab51ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
841b995ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
841b9e1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
841b9ebffffffff,6.0,0.0,0.0,0.0,0.0,0.0
841d243ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
841d24dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
841f9d7ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8426085ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8426099ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84260a1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84260a9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84260b9ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84260bbffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426115ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8426117ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8426139ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426165ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84261d3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426269ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426285ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426291ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426293ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84262b7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84262c9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84262cdffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8426405ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426409ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842640dffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8426415ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8426417ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8426423ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426425ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
