cell_id,Columba delegorguei,Columba delegorguei sharpei,Columba delegorguei delegorguei
847a40dffffffff,1.0,0.0,0.0
847a451ffffffff,4.0,0.0,0.0
847a453ffffffff,17.0,0.0,0.0
847a455ffffffff,150.0,0.0,0.0
847a457ffffffff,51.0,0.0,0.0
847a45bffffffff,15.0,0.0,0.0
847a489ffffffff,2.0,0.0,0.0
847a48bffffffff,6.0,0.0,0.0
847a49dffffffff,1.0,0.0,0.0
847a4c5ffffffff,3.0,0.0,0.0
847a4c9ffffffff,4.0,0.0,0.0
847a4cbffffffff,12.0,0.0,0.0
847a4cdffffffff,2.0,0.0,0.0
847a4ddffffffff,10.0,0.0,0.0
847a603ffffffff,1.0,0.0,0.0
847a613ffffffff,1.0,0.0,0.0
847a653ffffffff,3.0,0.0,0.0
847a659ffffffff,4.0,0.0,0.0
847a683ffffffff,2.0,0.0,0.0
847a68dffffffff,1.0,0.0,0.0
847a6a3ffffffff,2.0,0.0,0.0
847a6bdffffffff,1.0,0.0,0.0
847a6c9ffffffff,2.0,0.0,0.0
847a6e5ffffffff,1.0,0.0,0.0
847b487ffffffff,21.0,0.0,0.0
847b4b1ffffffff,1.0,0.0,0.0
847b4b3ffffffff,3.0,0.0,0.0
847b4b9ffffffff,94.0,0.0,0.0
847b4bdffffffff,1.0,0.0,0.0
847b4dbffffffff,3.0,0.0,0.0
8496925ffffffff,57.0,0.0,0.0
8496935ffffffff,27.0,0.0,0.0
8496937ffffffff,2.0,0.0,0.0
849693dffffffff,3.0,0.0,0.0
8496b09ffffffff,10.0,0.0,0.0
8496b21ffffffff,7.0,0.0,0.0
8496b2bffffffff,3.0,0.0,0.0
8496b53ffffffff,2.0,0.0,0.0
8496b55ffffffff,17.0,0.0,0.0
8497007ffffffff,2.0,0.0,0.0
849702bffffffff,14.0,0.0,0.0
8497035ffffffff,23.0,0.0,0.0
8497113ffffffff,7.0,0.0,0.0
84971c1ffffffff,12.0,0.0,0.0
84971c3ffffffff,4.0,0.0,0.0
84971c7ffffffff,1.0,0.0,0.0
84971cbffffffff,9.0,0.0,0.0
84bcf09ffffffff,138.0,0.0,1.0
84bcf0bffffffff,2.0,0.0,0.0
84bcf47ffffffff,7.0,0.0,0.0
84bcf53ffffffff,3.0,0.0,0.0
