cell_id,Eudynamys orientalis,Eudynamys orientalis [orientalis Group],Eudynamys orientalis cyanocephalus/subcyanocephalus
827297fffffffff,14.0,5.0,0.0
8272a7fffffffff,13.0,0.0,13.0
82739ffffffffff,4.0,0.0,4.0
827687fffffffff,2.0,0.0,0.0
82769ffffffffff,2.0,0.0,0.0
829427fffffffff,5.0,3.0,0.0
829457fffffffff,5.0,0.0,0.0
82945ffffffffff,5.0,0.0,3.0
829487fffffffff,28.0,0.0,2.0
829547fffffffff,3.0,1.0,0.0
829557fffffffff,1.0,1.0,0.0
82956ffffffffff,1.0,0.0,0.0
8295affffffffff,3.0,0.0,0.0
829c27fffffffff,2.0,0.0,1.0
829c8ffffffffff,2.0,2.0,0.0
829c97fffffffff,1.0,0.0,0.0
829cd7fffffffff,9.0,1.0,1.0
82b917fffffffff,10.0,0.0,2.0
82be0ffffffffff,15.0,0.0,0.0
82be47fffffffff,9.0,0.0,4.0
82be57fffffffff,6.0,0.0,0.0
82be67fffffffff,13.0,0.0,5.0
82be77fffffffff,18.0,0.0,8.0
82be8ffffffffff,8.0,0.0,2.0
82beaffffffffff,5.0,0.0,2.0
82bedffffffffff,2.0,0.0,0.0
82bf4ffffffffff,4.0,0.0,0.0
