cell_id,Cathartes aura,Cathartes aura [aura Group],Cathartes aura ruficollis,Cathartes aura jota,Cathartes aura [undescribed form]
830c15fffffffff,6.0,0.0,0.0,0.0,0.0
830d49fffffffff,2.0,0.0,0.0,0.0,0.0
830e5bfffffffff,2.0,0.0,0.0,0.0,0.0
830e80fffffffff,2.0,0.0,0.0,0.0,0.0
830ec9fffffffff,13.0,11.0,0.0,0.0,0.0
830eccfffffffff,3.0,0.0,0.0,0.0,0.0
830eeafffffffff,13.0,0.0,0.0,0.0,0.0
83120efffffffff,2.0,0.0,0.0,0.0,0.0
831251fffffffff,6.0,5.0,0.0,0.0,0.0
831253fffffffff,9.0,0.0,0.0,0.0,0.0
831259fffffffff,9.0,0.0,0.0,0.0,0.0
83125dfffffffff,3.0,0.0,0.0,0.0,0.0
831284fffffffff,2.0,0.0,0.0,0.0,0.0
831288fffffffff,2.0,2.0,0.0,0.0,0.0
831289fffffffff,9.0,0.0,0.0,0.0,0.0
83128bfffffffff,17.0,0.0,0.0,0.0,0.0
83129bfffffffff,1.0,1.0,0.0,0.0,0.0
83129dfffffffff,2.0,0.0,0.0,0.0,0.0
8312c1fffffffff,43.0,0.0,0.0,0.0,0.0
8312c3fffffffff,2.0,0.0,0.0,0.0,0.0
8312cbfffffffff,2.0,0.0,0.0,0.0,0.0
8312ccfffffffff,18.0,0.0,0.0,0.0,0.0
8312cefffffffff,2.0,0.0,0.0,0.0,0.0
8312d0fffffffff,4.0,4.0,0.0,0.0,0.0
8312d1fffffffff,5.0,2.0,0.0,0.0,0.0
8312d4fffffffff,1.0,0.0,0.0,0.0,0.0
8312d5fffffffff,7.0,7.0,0.0,0.0,0.0
8312d8fffffffff,5.0,1.0,0.0,0.0,0.0
8312dafffffffff,2.0,0.0,0.0,0.0,0.0
8312dbfffffffff,9.0,0.0,0.0,0.0,0.0
8312ddfffffffff,11.0,4.0,0.0,0.0,0.0
8312defffffffff,11.0,11.0,0.0,0.0,0.0
8312e2fffffffff,1.0,0.0,0.0,0.0,0.0
8312e8fffffffff,5.0,1.0,0.0,0.0,0.0
8312ebfffffffff,2.0,0.0,0.0,0.0,0.0
8312ecfffffffff,6.0,0.0,0.0,0.0,0.0
8312edfffffffff,3.0,0.0,0.0,0.0,0.0
