cell_id,Pachycephala griseonota,Pachycephala griseonota [griseonota Group],Pachycephala griseonota johni
8368d8fffffffff,2.0,0.0,0.0
8368dbfffffffff,2.0,0.0,0.0
837290fffffffff,11.0,0.0,0.0
8372b6fffffffff,1.0,0.0,0.0
837390fffffffff,133.0,26.0,0.0
837395fffffffff,9.0,1.0,0.0
839544fffffffff,99.0,16.0,0.0
83954dfffffffff,1.0,1.0,0.0
839560fffffffff,4.0,4.0,0.0
839561fffffffff,112.0,0.0,80.0
839566fffffffff,5.0,1.0,0.0
83956afffffffff,112.0,59.0,0.0
83956bfffffffff,24.0,1.0,0.0
83956cfffffffff,9.0,0.0,9.0
83956efffffffff,1.0,0.0,0.0
