cell_id,Adelomyia melanogenys,Adelomyia melanogenys [melanogenys Group],Adelomyia melanogenys maculata,Adelomyia melanogenys inornata
836608fffffffff,2.0,0.0,0.0,0.0
8366d3fffffffff,8.0,0.0,0.0,0.0
8366d5fffffffff,1.0,0.0,0.0,0.0
8366defffffffff,34.0,23.0,2.0,0.0
8366e0fffffffff,7.0,0.0,0.0,0.0
8366e6fffffffff,2.0,0.0,0.0,0.0
8366f1fffffffff,8.0,0.0,0.0,0.0
836741fffffffff,16.0,2.0,0.0,0.0
83674efffffffff,6.0,1.0,0.0,0.0
83675efffffffff,3.0,0.0,0.0,0.0
838b21fffffffff,3.0,0.0,0.0,3.0
838b69fffffffff,23.0,0.0,0.0,0.0
838b6efffffffff,7.0,0.0,0.0,0.0
838f0dfffffffff,10.0,0.0,0.0,0.0
838f46fffffffff,1.0,1.0,0.0,0.0
838f4afffffffff,2.0,2.0,0.0,0.0
838f50fffffffff,13.0,0.0,0.0,0.0
838f54fffffffff,4.0,0.0,0.0,0.0
838f59fffffffff,1.0,1.0,0.0,0.0
838f73fffffffff,2.0,2.0,0.0,0.0
83b342fffffffff,7.0,0.0,0.0,0.0
