cell_id,Tityra cayana,Tityra cayana braziliensis,Tityra cayana cayana
8466dadffffffff,3.0,0.0,0.0
8466de1ffffffff,4.0,0.0,0.0
8466de3ffffffff,2.0,0.0,0.0
8466debffffffff,4.0,0.0,1.0
8481851ffffffff,2.0,0.0,0.0
848a451ffffffff,2.0,0.0,0.0
848b223ffffffff,2.0,0.0,2.0
848b22dffffffff,2.0,0.0,2.0
848b561ffffffff,2.0,0.0,2.0
848b5cdffffffff,6.0,0.0,6.0
848b617ffffffff,3.0,0.0,0.0
848f401ffffffff,5.0,0.0,0.0
848f455ffffffff,9.0,0.0,0.0
848f729ffffffff,2.0,0.0,0.0
848f72bffffffff,4.0,0.0,2.0
84a9413ffffffff,2.0,0.0,0.0
84a945bffffffff,3.0,0.0,0.0
84a946bffffffff,5.0,0.0,0.0
84a9501ffffffff,1.0,0.0,0.0
84a9507ffffffff,6.0,0.0,0.0
84a9509ffffffff,1.0,0.0,0.0
84a950dffffffff,1.0,0.0,0.0
84a9531ffffffff,5.0,0.0,0.0
84a95c5ffffffff,1.0,0.0,0.0
84a9627ffffffff,2.0,0.0,0.0
