cell_id,Glaucidium tephronotum,Glaucidium tephronotum tephronotum,Glaucidium tephronotum pycrafti,Glaucidium tephronotum medje
8458d33ffffffff,1.0,0.0,0.0,0.0
846a9edffffffff,2.0,0.0,0.0,0.0
846ac03ffffffff,1.0,0.0,0.0,0.0
846ac0bffffffff,1.0,0.0,0.0,0.0
846ac15ffffffff,82.0,0.0,0.0,0.0
846ac31ffffffff,3.0,0.0,0.0,0.0
846ac39ffffffff,2.0,0.0,0.0,0.0
846ace5ffffffff,1.0,0.0,0.0,0.0
846adc1ffffffff,49.0,0.0,0.0,0.0
846ade7ffffffff,17.0,0.0,0.0,0.0
846aea1ffffffff,5.0,0.0,0.0,0.0
8475085ffffffff,44.0,0.0,0.0,0.0
8475087ffffffff,30.0,0.0,0.0,0.0
84750d1ffffffff,1.0,0.0,0.0,0.0
84750d7ffffffff,1.0,0.0,0.0,0.0
8475291ffffffff,1.0,0.0,0.0,0.0
8475293ffffffff,1.0,0.0,0.0,0.0
8475295ffffffff,4.0,0.0,0.0,0.0
847529bffffffff,1.0,0.0,0.0,0.0
84752a5ffffffff,2.0,0.0,0.0,0.0
84752abffffffff,22.0,0.0,0.0,0.0
84752bdffffffff,1.0,0.0,0.0,0.0
8475a81ffffffff,1.0,0.0,0.0,0.0
8475a83ffffffff,2.0,0.0,0.0,0.0
8475ab9ffffffff,1.0,0.0,0.0,0.0
847a4cbffffffff,21.0,0.0,0.0,0.0
847a4ddffffffff,16.0,0.0,0.0,0.0
8482125ffffffff,5.0,0.0,0.0,0.0
8482a81ffffffff,2.0,0.0,0.0,0.0
8482b13ffffffff,2.0,0.0,0.0,0.0
8482d27ffffffff,5.0,0.0,1.0,0.0
8482d3dffffffff,2.0,0.0,0.0,0.0
8482d4dffffffff,1.0,0.0,1.0,0.0
8496d85ffffffff,1.0,0.0,0.0,0.0
