cell_id,Fregetta grallaria,Fregetta grallaria [grallaria Group],Fregetta grallaria titan
847d763ffffffff,1.0,0.0,0.0
8498f19ffffffff,1.0,0.0,0.0
8499a13ffffffff,1.0,0.0,0.0
84a0edbffffffff,1.0,0.0,0.0
84a113dffffffff,1.0,0.0,0.0
84a16c1ffffffff,2.0,2.0,0.0
84a16c9ffffffff,4.0,0.0,4.0
84a980bffffffff,1.0,1.0,0.0
84ad30bffffffff,1.0,0.0,0.0
84b2189ffffffff,2.0,0.0,0.0
84b2191ffffffff,3.0,0.0,0.0
84b2305ffffffff,10.0,0.0,0.0
84b232bffffffff,1.0,0.0,0.0
84b2331ffffffff,6.0,0.0,0.0
84b2337ffffffff,3.0,0.0,0.0
84b2361ffffffff,4.0,0.0,0.0
84b2363ffffffff,4.0,0.0,0.0
84b2369ffffffff,8.0,0.0,0.0
84b2837ffffffff,1.0,0.0,0.0
84b2893ffffffff,2.0,0.0,0.0
84b2897ffffffff,2.0,0.0,0.0
84b28bbffffffff,2.0,0.0,0.0
84b2993ffffffff,17.0,0.0,0.0
84b2da7ffffffff,3.0,0.0,0.0
84b3931ffffffff,1.0,0.0,0.0
84b39a3ffffffff,1.0,0.0,0.0
84b3a97ffffffff,5.0,0.0,0.0
84b6661ffffffff,1.0,0.0,0.0
84ba043ffffffff,28.0,0.0,0.0
84ba05dffffffff,8.0,0.0,0.0
84ba1a1ffffffff,1.0,0.0,0.0
84ba1cdffffffff,16.0,0.0,0.0
84ba1e3ffffffff,8.0,0.0,0.0
84ba2a9ffffffff,1.0,0.0,0.0
84bb013ffffffff,1.0,0.0,0.0
84bb595ffffffff,1.0,0.0,0.0
84bd24bffffffff,1.0,0.0,0.0
84bd627ffffffff,4.0,0.0,0.0
84bd75bffffffff,2.0,2.0,0.0
84be0e3ffffffff,4.0,0.0,0.0
84be1d9ffffffff,1.0,0.0,0.0
84be8c3ffffffff,1.0,0.0,0.0
84be8c7ffffffff,22.0,0.0,0.0
84beaa5ffffffff,6.0,0.0,0.0
84beaa7ffffffff,3.0,0.0,0.0
84beaadffffffff,2.0,0.0,0.0
84beab5ffffffff,3.0,0.0,0.0
84beab7ffffffff,8.0,0.0,0.0
84beae3ffffffff,5.0,0.0,0.0
84beae7ffffffff,3.0,0.0,0.0
84c0097ffffffff,1.0,0.0,0.0
84c0187ffffffff,1.0,0.0,0.0
84c01b3ffffffff,1.0,0.0,0.0
84c01e1ffffffff,1.0,0.0,0.0
84c01ebffffffff,3.0,0.0,0.0
84c046bffffffff,1.0,0.0,0.0
84c08adffffffff,1.0,1.0,0.0
84c08b3ffffffff,1.0,0.0,0.0
84c08b7ffffffff,1.0,0.0,0.0
84c08c7ffffffff,1.0,0.0,0.0
84c0ab5ffffffff,1.0,0.0,0.0
84c0e2dffffffff,4.0,0.0,0.0
84c0e65ffffffff,1.0,0.0,0.0
84c288dffffffff,2.0,0.0,0.0
84c299dffffffff,1.0,0.0,0.0
84c3867ffffffff,1.0,0.0,0.0
84c3869ffffffff,3.0,0.0,0.0
84c3a0bffffffff,2.0,0.0,0.0
84c3a15ffffffff,7.0,0.0,0.0
84c4561ffffffff,1.0,0.0,0.0
84c4967ffffffff,1.0,0.0,0.0
84c5535ffffffff,1.0,0.0,0.0
84cb717ffffffff,1.0,1.0,0.0
84ced65ffffffff,4.0,0.0,0.0
84ced87ffffffff,1.0,0.0,0.0
84d1343ffffffff,1.0,0.0,0.0
84d6d8dffffffff,5.0,0.0,0.0
84d6db3ffffffff,1.0,0.0,0.0
84dc581ffffffff,1.0,0.0,0.0
84dc5a5ffffffff,1.0,0.0,0.0
84dc5a9ffffffff,1.0,0.0,0.0
84dc5abffffffff,1.0,0.0,0.0
84dccdbffffffff,1.0,0.0,0.0
84dcce1ffffffff,1.0,0.0,0.0
84de4b7ffffffff,2.0,0.0,0.0
84de5d1ffffffff,2.0,0.0,0.0
