cell_id,Notharchus tectus,Notharchus tectus subtectus,Notharchus tectus tectus/picatus
845f025ffffffff,1.0,0.0,0.0
845f031ffffffff,2.0,0.0,0.0
845f03dffffffff,44.0,0.0,0.0
845f095ffffffff,2.0,0.0,0.0
845f0d9ffffffff,1.0,0.0,0.0
845f0e1ffffffff,1.0,0.0,0.0
845f105ffffffff,5.0,0.0,0.0
845f117ffffffff,3.0,0.0,0.0
845f12bffffffff,13.0,0.0,0.0
845f13dffffffff,1.0,0.0,0.0
845f143ffffffff,5.0,0.0,0.0
845f161ffffffff,6.0,0.0,0.0
845f163ffffffff,4.0,0.0,0.0
845f1c3ffffffff,5.0,0.0,0.0
845f1cbffffffff,15.0,0.0,0.0
845f295ffffffff,11.0,0.0,0.0
845f29dffffffff,2.0,0.0,0.0
845f2b1ffffffff,16.0,0.0,0.0
845f2b3ffffffff,37.0,0.0,0.0
845f2b9ffffffff,1.0,0.0,0.0
845f2bbffffffff,105.0,0.0,0.0
845f42bffffffff,7.0,0.0,0.0
845f445ffffffff,1.0,0.0,0.0
845f461ffffffff,1.0,0.0,0.0
845f501ffffffff,2.0,0.0,0.0
845f50bffffffff,5.0,0.0,0.0
845f549ffffffff,7.0,0.0,0.0
845f681ffffffff,2.0,0.0,0.0
845f683ffffffff,9.0,0.0,0.0
845f689ffffffff,3.0,0.0,0.0
845f68bffffffff,8.0,0.0,0.0
845f711ffffffff,3.0,0.0,0.0
845f713ffffffff,6.0,0.0,0.0
845f759ffffffff,13.0,0.0,0.0
845f75dffffffff,2.0,0.0,0.0
8466033ffffffff,2.0,0.0,0.0
8466037ffffffff,2.0,0.0,0.0
8466045ffffffff,30.0,0.0,0.0
8466067ffffffff,79.0,0.0,0.0
846606bffffffff,6.0,0.0,0.0
84660a1ffffffff,9.0,0.0,0.0
84660a5ffffffff,45.0,0.0,0.0
84660a7ffffffff,64.0,2.0,0.0
84660adffffffff,6.0,0.0,0.0
84660e1ffffffff,2.0,0.0,0.0
84660e3ffffffff,9.0,0.0,0.0
84660e7ffffffff,23.0,0.0,0.0
84660ebffffffff,4.0,0.0,0.0
8466101ffffffff,3.0,0.0,0.0
8466103ffffffff,1.0,0.0,0.0
8466107ffffffff,617.0,0.0,0.0
846610bffffffff,6.0,0.0,0.0
846610dffffffff,4.0,0.0,0.0
8466113ffffffff,30.0,0.0,0.0
8466117ffffffff,13.0,0.0,0.0
8466119ffffffff,15.0,0.0,0.0
846611dffffffff,1.0,0.0,0.0
8466129ffffffff,23.0,0.0,0.0
8466131ffffffff,33.0,0.0,0.0
8466135ffffffff,8.0,0.0,0.0
8466139ffffffff,527.0,0.0,0.0
846613bffffffff,11.0,0.0,0.0
846613dffffffff,22.0,0.0,0.0
8466163ffffffff,451.0,0.0,0.0
8466165ffffffff,146.0,0.0,0.0
8466167ffffffff,77.0,0.0,0.0
8466193ffffffff,12.0,0.0,0.0
846619bffffffff,118.0,0.0,0.0
84661a3ffffffff,4.0,0.0,0.0
84661a5ffffffff,181.0,0.0,0.0
84661a7ffffffff,18.0,0.0,0.0
84661adffffffff,96.0,0.0,0.0
84661bdffffffff,10.0,0.0,0.0
84661c1ffffffff,4.0,0.0,0.0
84661c5ffffffff,2.0,0.0,0.0
84661c9ffffffff,14.0,0.0,0.0
84661cbffffffff,12.0,0.0,0.0
84661cdffffffff,49.0,0.0,0.0
84661d9ffffffff,15.0,0.0,0.0
84661dbffffffff,3.0,0.0,0.0
84661ddffffffff,24.0,0.0,0.0
84661ebffffffff,50.0,0.0,0.0
8466201ffffffff,1.0,0.0,0.0
8466203ffffffff,3.0,0.0,0.0
8466205ffffffff,3.0,0.0,0.0
8466221ffffffff,582.0,0.0,0.0
8466223ffffffff,4.0,0.0,0.0
846622bffffffff,1.0,0.0,0.0
8466411ffffffff,2.0,0.0,0.0
8466415ffffffff,34.0,0.0,0.0
846641dffffffff,9.0,0.0,0.0
84665a3ffffffff,3.0,0.0,0.0
84665abffffffff,54.0,0.0,0.0
84665bdffffffff,27.0,0.0,0.0
8466633ffffffff,8.0,0.0,0.0
8466637ffffffff,17.0,0.0,0.0
84666a1ffffffff,1.0,0.0,0.0
84666c5ffffffff,5.0,0.0,0.0
8466a51ffffffff,977.0,0.0,0.0
8466a55ffffffff,137.0,0.0,0.0
8466a59ffffffff,18.0,0.0,0.0
8466a5bffffffff,4.0,0.0,0.0
8466a5dffffffff,72.0,0.0,0.0
8466a65ffffffff,43.0,0.0,0.0
8466a67ffffffff,4.0,0.0,0.0
8466ad9ffffffff,1.0,0.0,0.0
8466b4bffffffff,2.0,0.0,0.0
8466b59ffffffff,84.0,0.0,0.0
8466b5bffffffff,62.0,0.0,0.0
8466c21ffffffff,2.0,0.0,0.0
8466c23ffffffff,2.0,0.0,0.0
8466cb7ffffffff,1.0,0.0,0.0
8466ce1ffffffff,9.0,0.0,0.0
8466ce9ffffffff,13.0,0.0,0.0
8466d01ffffffff,31.0,0.0,0.0
8466d05ffffffff,57.0,0.0,0.0
8466d07ffffffff,1.0,0.0,0.0
8466d0dffffffff,110.0,9.0,0.0
8466d35ffffffff,1.0,0.0,0.0
8466d4bffffffff,3.0,0.0,0.0
8466d55ffffffff,12.0,0.0,0.0
8466d81ffffffff,8.0,0.0,0.0
8466db1ffffffff,2.0,0.0,0.0
8466dc3ffffffff,248.0,0.0,17.0
8466dc7ffffffff,21.0,0.0,0.0
8466dd3ffffffff,3.0,0.0,0.0
8466dd5ffffffff,7.0,0.0,2.0
8466ddbffffffff,1.0,0.0,0.0
8466dddffffffff,4.0,0.0,0.0
8466e45ffffffff,1.0,0.0,0.0
8466e8dffffffff,7.0,0.0,0.0
8466ec5ffffffff,1.0,0.0,0.0
8466ec7ffffffff,2.0,0.0,0.0
8466ecbffffffff,2.0,0.0,0.0
8466ee5ffffffff,5.0,0.0,0.0
8466eebffffffff,2.0,0.0,0.0
8466f01ffffffff,58.0,0.0,0.0
8466f03ffffffff,74.0,2.0,0.0
8466f0bffffffff,252.0,11.0,0.0
8466f35ffffffff,16.0,2.0,0.0
8466f4bffffffff,1.0,0.0,0.0
84679a1ffffffff,19.0,0.0,0.0
84679a3ffffffff,3.0,0.0,0.0
84679a5ffffffff,693.0,0.0,0.0
84679a7ffffffff,22.0,0.0,0.0
84679adffffffff,8.0,0.0,0.0
84679b3ffffffff,8.0,0.0,0.0
84679b5ffffffff,23.0,0.0,0.0
84679b7ffffffff,91.0,0.0,0.0
846d689ffffffff,19.0,0.0,0.0
846d68bffffffff,521.0,0.0,0.0
846d699ffffffff,98.0,0.0,0.0
846d69bffffffff,44.0,0.0,0.0
846d69dffffffff,45.0,0.0,0.0
846d6d1ffffffff,10.0,0.0,0.0
846d6d3ffffffff,212.0,0.0,0.0
846d6d5ffffffff,22.0,0.0,0.0
846d6d7ffffffff,16.0,0.0,0.0
8480445ffffffff,4.0,0.0,0.0
8480449ffffffff,4.0,0.0,0.0
8480469ffffffff,22.0,0.0,0.0
8480619ffffffff,2.0,0.0,0.0
8480655ffffffff,2.0,0.0,0.0
8480657ffffffff,1.0,0.0,0.0
8480665ffffffff,3.0,0.0,0.0
848066bffffffff,1.0,0.0,0.0
848068bffffffff,1.0,0.0,0.0
84806a3ffffffff,8.0,0.0,0.0
84806a7ffffffff,3.0,0.0,0.0
84806abffffffff,17.0,0.0,0.0
84806b3ffffffff,2.0,0.0,0.0
84806b7ffffffff,10.0,0.0,0.0
8480713ffffffff,4.0,0.0,0.0
8480747ffffffff,2.0,0.0,0.0
8480755ffffffff,2.0,0.0,2.0
8480759ffffffff,1.0,0.0,0.0
848075bffffffff,2.0,0.0,0.0
848075dffffffff,1.0,0.0,0.0
8481431ffffffff,1.0,0.0,0.0
8481437ffffffff,1.0,0.0,0.0
848145dffffffff,3.0,0.0,0.0
8481485ffffffff,1.0,0.0,0.0
84814a1ffffffff,1.0,0.0,0.0
84814a9ffffffff,15.0,0.0,0.0
84814adffffffff,29.0,0.0,0.0
84814d1ffffffff,4.0,0.0,0.0
84814d5ffffffff,26.0,0.0,0.0
84814d7ffffffff,1.0,0.0,0.0
84814d9ffffffff,3.0,0.0,0.0
84814e3ffffffff,4.0,0.0,0.0
84814e7ffffffff,32.0,0.0,0.0
84814ebffffffff,5.0,0.0,0.0
84815a7ffffffff,1.0,0.0,0.0
84815abffffffff,2.0,0.0,0.0
84815c3ffffffff,1.0,0.0,0.0
84815c9ffffffff,5.0,0.0,0.0
84815d7ffffffff,2.0,0.0,0.0
84815d9ffffffff,13.0,0.0,0.0
8481635ffffffff,2.0,0.0,0.0
8481637ffffffff,2.0,0.0,0.0
8481711ffffffff,17.0,0.0,2.0
8481713ffffffff,21.0,0.0,0.0
