cell_id,Dendrocopos leucotos,Dendrocopos leucotos lilfordi,Dendrocopos leucotos [leucotos Group],Dendrocopos leucotos owstoni
820837fffffffff,1.0,0.0,0.0,0.0
82088ffffffffff,11.0,0.0,0.0,0.0
82089ffffffffff,65.0,0.0,9.0,0.0
8208d7fffffffff,4.0,0.0,0.0,0.0
82098ffffffffff,2.0,0.0,0.0,0.0
820997fffffffff,3.0,0.0,0.0,0.0
820bb7fffffffff,4.0,0.0,0.0,0.0
8210a7fffffffff,1.0,0.0,0.0,0.0
8210b7fffffffff,2.0,0.0,0.0,0.0
8210c7fffffffff,28.0,0.0,0.0,0.0
8210dffffffffff,1.0,0.0,0.0,0.0
8210effffffffff,1.0,0.0,0.0,0.0
821107fffffffff,92.0,0.0,2.0,0.0
821117fffffffff,5.0,0.0,0.0,0.0
821127fffffffff,24.0,0.0,4.0,0.0
82112ffffffffff,14.0,0.0,1.0,0.0
821137fffffffff,67.0,0.0,0.0,0.0
821157fffffffff,2.0,0.0,0.0,0.0
821187fffffffff,19.0,0.0,0.0,0.0
82118ffffffffff,59.0,0.0,3.0,0.0
8211a7fffffffff,3.0,0.0,0.0,0.0
8211affffffffff,237.0,0.0,10.0,0.0
8211b7fffffffff,7.0,0.0,0.0,0.0
82148ffffffffff,18.0,0.0,0.0,0.0
82149ffffffffff,26.0,0.0,0.0,0.0
8214affffffffff,119.0,0.0,0.0,0.0
82159ffffffffff,10.0,0.0,0.0,0.0
82184ffffffffff,122.0,4.0,0.0,0.0
821e07fffffffff,45.0,0.0,0.0,0.0
821e0ffffffffff,35.0,0.0,0.0,0.0
821e17fffffffff,23.0,0.0,0.0,0.0
821e1ffffffffff,8.0,0.0,0.0,0.0
821e2ffffffffff,31.0,0.0,0.0,0.0
821e57fffffffff,11.0,0.0,0.0,0.0
821e67fffffffff,11.0,0.0,0.0,0.0
821e77fffffffff,4.0,0.0,0.0,0.0
821eaffffffffff,17.0,0.0,0.0,0.0
821ec7fffffffff,33.0,1.0,0.0,0.0
821ecffffffffff,93.0,5.0,0.0,0.0
821ed7fffffffff,14.0,0.0,0.0,0.0
821edffffffffff,17.0,2.0,0.0,0.0
821ee7fffffffff,3.0,0.0,0.0,0.0
821ef7fffffffff,8.0,0.0,0.0,0.0
821f47fffffffff,6.0,0.0,0.0,0.0
821f4ffffffffff,7.0,0.0,0.0,0.0
821f57fffffffff,7.0,0.0,0.0,0.0
821f5ffffffffff,153.0,0.0,0.0,0.0
821f67fffffffff,38.0,0.0,6.0,0.0
821f6ffffffffff,10.0,0.0,0.0,0.0
821f77fffffffff,1.0,0.0,0.0,0.0
821f8ffffffffff,37.0,0.0,2.0,0.0
82204ffffffffff,45.0,0.0,0.0,0.0
82214ffffffffff,1.0,0.0,0.0,0.0
822407fffffffff,2.0,0.0,0.0,0.0
822427fffffffff,7.0,0.0,0.0,0.0
82242ffffffffff,1.0,0.0,0.0,0.0
822467fffffffff,2.0,0.0,0.0,0.0
822547fffffffff,40.0,0.0,0.0,0.0
822557fffffffff,4.0,0.0,0.0,0.0
82255ffffffffff,49.0,0.0,0.0,0.0
822577fffffffff,1.0,0.0,0.0,0.0
8225a7fffffffff,15.0,0.0,0.0,0.0
8225affffffffff,2.0,0.0,0.0,0.0
822c0ffffffffff,6.0,0.0,0.0,0.0
822c27fffffffff,4.0,0.0,0.0,0.0
822d07fffffffff,8.0,0.0,0.0,0.0
822d37fffffffff,4.0,0.0,0.0,0.0
822daffffffffff,2.0,0.0,0.0,0.0
822e0ffffffffff,3.0,0.0,0.0,0.0
822e17fffffffff,33.0,0.0,0.0,0.0
822e1ffffffffff,24.0,0.0,4.0,0.0
822e4ffffffffff,1.0,0.0,0.0,0.0
822e67fffffffff,4.0,0.0,0.0,0.0
822e6ffffffffff,2.0,0.0,0.0,0.0
822e77fffffffff,44.0,0.0,1.0,0.0
822e8ffffffffff,2.0,0.0,0.0,0.0
822eaffffffffff,52.0,0.0,9.0,0.0
822ec7fffffffff,4.0,0.0,0.0,0.0
822ecffffffffff,23.0,0.0,0.0,0.0
822ed7fffffffff,3.0,0.0,0.0,0.0
822edffffffffff,2.0,0.0,0.0,0.0
822eeffffffffff,1.0,0.0,0.0,0.0
822f5ffffffffff,2.0,0.0,0.0,0.0
8230c7fffffffff,69.0,0.0,3.0,0.0
8230d7fffffffff,25.0,0.0,0.0,0.0
8230e7fffffffff,184.0,0.0,8.0,0.0
8230effffffffff,8.0,0.0,0.0,0.0
8230f7fffffffff,2.0,0.0,0.0,0.0
823117fffffffff,1.0,0.0,0.0,0.0
823147fffffffff,2.0,0.0,0.0,0.0
823157fffffffff,1.0,0.0,0.0,0.0
82316ffffffffff,68.0,0.0,0.0,0.0
823187fffffffff,1.0,0.0,0.0,0.0
8231affffffffff,43.0,0.0,0.0,0.0
823977fffffffff,5.0,0.0,0.0,0.0
823f2ffffffffff,4.0,0.0,0.0,0.0
824057fffffffff,9.0,0.0,4.0,0.0
82408ffffffffff,1.0,0.0,0.0,0.0
8240c7fffffffff,36.0,0.0,2.0,0.0
8240e7fffffffff,6.0,0.0,0.0,0.0
8240effffffffff,44.0,0.0,0.0,0.0
824b0ffffffffff,6.0,0.0,0.0,2.0
824b57fffffffff,58.0,0.0,0.0,35.0
824b67fffffffff,3.0,0.0,0.0,0.0
824b77fffffffff,46.0,0.0,2.0,0.0
824b87fffffffff,12.0,0.0,1.0,0.0
824ba7fffffffff,1360.0,0.0,109.0,0.0
824bb7fffffffff,29.0,0.0,3.0,0.0
