cell_id,Vireo bellii,Vireo bellii bellii/medius,Vireo bellii arizonae,Vireo bellii pusillus
832600fffffffff,3.0,0.0,0.0,0.0
832601fffffffff,105.0,26.0,0.0,0.0
832602fffffffff,25.0,0.0,0.0,0.0
832603fffffffff,73.0,18.0,0.0,0.0
832605fffffffff,3.0,0.0,0.0,0.0
832606fffffffff,2.0,0.0,0.0,0.0
832608fffffffff,41.0,0.0,0.0,0.0
832609fffffffff,125.0,11.0,0.0,0.0
83260afffffffff,263.0,0.0,0.0,0.0
83260bfffffffff,293.0,4.0,0.0,0.0
83260dfffffffff,35.0,2.0,0.0,0.0
83260efffffffff,69.0,5.0,0.0,0.0
832610fffffffff,73.0,0.0,0.0,0.0
832611fffffffff,148.0,2.0,0.0,0.0
832612fffffffff,10.0,0.0,0.0,0.0
832613fffffffff,2.0,0.0,0.0,0.0
832614fffffffff,11.0,0.0,0.0,0.0
832615fffffffff,48.0,0.0,0.0,0.0
832616fffffffff,30.0,0.0,0.0,0.0
832618fffffffff,299.0,4.0,0.0,0.0
832619fffffffff,29.0,10.0,0.0,0.0
83261afffffffff,27.0,0.0,0.0,0.0
83261bfffffffff,49.0,4.0,0.0,0.0
83261cfffffffff,33.0,0.0,0.0,0.0
83261dfffffffff,11.0,0.0,0.0,0.0
83261efffffffff,24.0,0.0,0.0,0.0
832628fffffffff,5.0,0.0,0.0,0.0
832629fffffffff,34.0,0.0,0.0,0.0
83262bfffffffff,19.0,0.0,0.0,0.0
83262cfffffffff,104.0,6.0,0.0,0.0
83262dfffffffff,42.0,0.0,0.0,0.0
83262efffffffff,7.0,0.0,0.0,0.0
832632fffffffff,4.0,0.0,0.0,0.0
832633fffffffff,46.0,0.0,0.0,0.0
832640fffffffff,121.0,30.0,0.0,0.0
832641fffffffff,224.0,40.0,0.0,0.0
832642fffffffff,17.0,0.0,0.0,0.0
832643fffffffff,149.0,0.0,0.0,0.0
832644fffffffff,10.0,1.0,0.0,0.0
832645fffffffff,14.0,2.0,0.0,0.0
832646fffffffff,711.0,34.0,0.0,0.0
83264efffffffff,7.0,3.0,0.0,0.0
832650fffffffff,417.0,13.0,0.0,0.0
832651fffffffff,28.0,0.0,0.0,0.0
832652fffffffff,677.0,8.0,0.0,0.0
832653fffffffff,303.0,8.0,0.0,0.0
832654fffffffff,192.0,35.0,0.0,0.0
832655fffffffff,662.0,30.0,0.0,0.0
832656fffffffff,973.0,6.0,0.0,0.0
832658fffffffff,9.0,0.0,0.0,0.0
832659fffffffff,8.0,0.0,0.0,0.0
83265afffffffff,37.0,3.0,0.0,0.0
83265bfffffffff,228.0,13.0,0.0,0.0
83265cfffffffff,23.0,0.0,0.0,0.0
83265dfffffffff,288.0,1.0,0.0,0.0
83265efffffffff,13.0,4.0,0.0,0.0
832660fffffffff,67.0,0.0,0.0,0.0
832661fffffffff,55.0,0.0,0.0,0.0
832662fffffffff,148.0,3.0,0.0,0.0
832663fffffffff,29.0,2.0,0.0,0.0
832664fffffffff,302.0,5.0,0.0,0.0
832665fffffffff,34.0,0.0,0.0,0.0
832666fffffffff,385.0,9.0,0.0,0.0
832668fffffffff,2.0,0.0,0.0,0.0
83266afffffffff,284.0,12.0,0.0,0.0
83266bfffffffff,114.0,25.0,0.0,0.0
83266cfffffffff,6.0,0.0,0.0,0.0
83266efffffffff,1009.0,2.0,0.0,0.0
832670fffffffff,33.0,0.0,0.0,0.0
832671fffffffff,169.0,20.0,0.0,0.0
