cell_id,Henicorhina leucosticta,Henicorhina leucosticta [prostheleuca Group],Henicorhina leucosticta pittieri/costaricensis,Henicorhina leucosticta inornata/eucharis,Henicorhina leucosticta [leucosticta Group]
8445019ffffffff,13.0,0.0,0.0,0.0,0.0
844501bffffffff,6.0,0.0,0.0,0.0,0.0
8445053ffffffff,34.0,0.0,0.0,0.0,0.0
8445059ffffffff,2.0,0.0,0.0,0.0,0.0
844505bffffffff,19.0,0.0,0.0,0.0,0.0
84450a1ffffffff,3.0,0.0,0.0,0.0,0.0
84450a5ffffffff,3.0,0.0,0.0,0.0,0.0
84450c1ffffffff,7.0,0.0,0.0,0.0,0.0
84450c5ffffffff,4.0,0.0,0.0,0.0,0.0
84450cdffffffff,2.0,0.0,0.0,0.0,0.0
84450e3ffffffff,3.0,0.0,0.0,0.0,0.0
84450ebffffffff,7.0,0.0,0.0,0.0,0.0
8445201ffffffff,1.0,0.0,0.0,0.0,0.0
8445203ffffffff,279.0,0.0,0.0,0.0,0.0
8445205ffffffff,38.0,0.0,0.0,0.0,0.0
8445207ffffffff,76.0,0.0,0.0,0.0,0.0
8445209ffffffff,12.0,0.0,0.0,0.0,0.0
844520bffffffff,216.0,0.0,0.0,0.0,0.0
844520dffffffff,255.0,0.0,0.0,0.0,0.0
8445211ffffffff,34.0,0.0,0.0,0.0,0.0
8445213ffffffff,34.0,0.0,0.0,0.0,0.0
8445215ffffffff,925.0,0.0,0.0,0.0,0.0
8445217ffffffff,366.0,0.0,0.0,0.0,0.0
8445219ffffffff,7.0,0.0,0.0,0.0,0.0
844521bffffffff,2.0,0.0,0.0,0.0,0.0
844521dffffffff,210.0,0.0,0.0,0.0,0.0
8445221ffffffff,216.0,0.0,0.0,0.0,0.0
8445225ffffffff,881.0,0.0,0.0,0.0,0.0
8445229ffffffff,1.0,0.0,0.0,0.0,0.0
844522bffffffff,14.0,0.0,0.0,0.0,0.0
844522dffffffff,5.0,0.0,0.0,0.0,0.0
8445233ffffffff,1321.0,0.0,0.0,0.0,0.0
844523bffffffff,148.0,0.0,0.0,0.0,0.0
8445243ffffffff,20.0,0.0,0.0,0.0,0.0
8445245ffffffff,3.0,0.0,0.0,0.0,0.0
8445247ffffffff,18.0,0.0,0.0,0.0,0.0
8445251ffffffff,2.0,0.0,0.0,0.0,0.0
8445253ffffffff,6.0,0.0,0.0,0.0,0.0
8445255ffffffff,25.0,0.0,0.0,0.0,0.0
8445257ffffffff,149.0,0.0,0.0,0.0,0.0
844525bffffffff,2.0,0.0,0.0,0.0,0.0
8445263ffffffff,655.0,0.0,0.0,0.0,0.0
8445267ffffffff,12.0,0.0,0.0,0.0,0.0
844526bffffffff,123.0,0.0,0.0,0.0,0.0
8445281ffffffff,8.0,0.0,0.0,0.0,0.0
8445283ffffffff,7.0,0.0,0.0,0.0,0.0
8445285ffffffff,63.0,0.0,0.0,0.0,0.0
