cell_id,Pyrrhocorax pyrrhocorax,Pyrrhocorax pyrrhocorax [pyrrhocorax Group],Pyrrhocorax pyrrhocorax baileyi
821807fffffffff,7.0,0.0,0.0
82180ffffffffff,1.0,1.0,0.0
821827fffffffff,2.0,0.0,0.0
82184ffffffffff,7.0,0.0,0.0
82185ffffffffff,15.0,4.0,0.0
821867fffffffff,22.0,2.0,0.0
821877fffffffff,2.0,0.0,0.0
82190ffffffffff,22.0,0.0,0.0
82194ffffffffff,3.0,0.0,0.0
821957fffffffff,21.0,2.0,0.0
82195ffffffffff,1.0,0.0,0.0
821e87fffffffff,6.0,0.0,0.0
821ed7fffffffff,3.0,0.0,0.0
821f9ffffffffff,20.0,0.0,0.0
82201ffffffffff,2.0,0.0,0.0
82204ffffffffff,4.0,4.0,0.0
82209ffffffffff,2.0,0.0,0.0
8220e7fffffffff,1.0,0.0,0.0
8220f7fffffffff,2.0,0.0,0.0
82240ffffffffff,4.0,0.0,0.0
822467fffffffff,3.0,0.0,0.0
822477fffffffff,1.0,1.0,0.0
822517fffffffff,2.0,2.0,0.0
82255ffffffffff,1.0,1.0,0.0
8225affffffffff,2.0,2.0,0.0
822c07fffffffff,1.0,0.0,0.0
822c0ffffffffff,2.0,0.0,0.0
822ccffffffffff,2.0,0.0,0.0
822ce7fffffffff,9.0,0.0,0.0
822cf7fffffffff,2.0,0.0,0.0
822d17fffffffff,1.0,1.0,0.0
82309ffffffffff,3.0,0.0,0.0
823447fffffffff,2.0,0.0,0.0
823827fffffffff,4.0,0.0,0.0
823877fffffffff,2.0,0.0,0.0
823907fffffffff,92.0,4.0,0.0
82390ffffffffff,11.0,0.0,0.0
823917fffffffff,17.0,0.0,0.0
82391ffffffffff,37.0,1.0,0.0
823927fffffffff,77.0,0.0,0.0
82392ffffffffff,79.0,5.0,0.0
823937fffffffff,7.0,0.0,0.0
823957fffffffff,1.0,0.0,0.0
823967fffffffff,4.0,4.0,0.0
82396ffffffffff,1.0,0.0,0.0
823977fffffffff,180.0,7.0,0.0
823987fffffffff,2.0,0.0,0.0
823c07fffffffff,3.0,0.0,0.0
823c0ffffffffff,16.0,1.0,0.0
823c57fffffffff,12.0,0.0,0.0
823ce7fffffffff,2.0,2.0,0.0
823d07fffffffff,6.0,4.0,0.0
823d27fffffffff,2.0,0.0,0.0
823f77fffffffff,2.0,2.0,0.0
824ba7fffffffff,2.0,0.0,0.0
