cell_id,Synallaxis unirufa,Synallaxis unirufa unirufa,Synallaxis unirufa munoztebari,Synallaxis unirufa meridana,Synallaxis unirufa ochrogaster
836601fffffffff,1.0,0.0,0.0,0.0,0.0
836608fffffffff,28.0,0.0,0.0,0.0,0.0
836609fffffffff,5.0,0.0,0.0,0.0,0.0
83660bfffffffff,35.0,0.0,0.0,0.0,0.0
83660cfffffffff,67.0,0.0,0.0,0.0,0.0
83660dfffffffff,20.0,0.0,0.0,0.0,0.0
836618fffffffff,115.0,2.0,0.0,0.0,0.0
836619fffffffff,69.0,0.0,0.0,0.0,0.0
83661bfffffffff,1869.0,148.0,0.0,0.0,0.0
83661dfffffffff,3.0,0.0,0.0,0.0,0.0
836621fffffffff,1183.0,0.0,354.0,0.0,0.0
836629fffffffff,121.0,0.0,0.0,18.0,0.0
83662bfffffffff,11.0,0.0,0.0,4.0,0.0
83662dfffffffff,5.0,0.0,0.0,0.0,0.0
83662efffffffff,8.0,0.0,2.0,0.0,0.0
8366c0fffffffff,45.0,0.0,0.0,0.0,0.0
8366c2fffffffff,30.0,0.0,0.0,0.0,0.0
8366c4fffffffff,35.0,0.0,0.0,0.0,0.0
8366c6fffffffff,69.0,0.0,0.0,0.0,0.0
8366d0fffffffff,45.0,2.0,0.0,0.0,0.0
8366d1fffffffff,10.0,0.0,0.0,0.0,0.0
8366d3fffffffff,605.0,24.0,0.0,0.0,0.0
8366d5fffffffff,11.0,0.0,0.0,0.0,0.0
8366dafffffffff,1.0,0.0,0.0,0.0,0.0
8366defffffffff,650.0,15.0,0.0,0.0,0.0
8366e0fffffffff,474.0,0.0,0.0,0.0,0.0
8366e4fffffffff,228.0,0.0,0.0,0.0,0.0
8366e5fffffffff,36.0,0.0,0.0,0.0,0.0
8366e6fffffffff,379.0,0.0,0.0,0.0,0.0
8366f0fffffffff,3.0,0.0,0.0,0.0,0.0
8366f1fffffffff,64.0,0.0,0.0,0.0,0.0
8366f3fffffffff,17.0,0.0,0.0,0.0,0.0
8366f5fffffffff,50.0,1.0,0.0,0.0,0.0
83675afffffffff,68.0,0.0,0.0,0.0,0.0
838b61fffffffff,12.0,0.0,0.0,0.0,0.0
838b6cfffffffff,8.0,0.0,0.0,0.0,0.0
838e60fffffffff,2.0,0.0,0.0,0.0,0.0
838e64fffffffff,60.0,0.0,0.0,0.0,0.0
838e65fffffffff,63.0,0.0,0.0,0.0,0.0
838e6cfffffffff,2.0,0.0,0.0,0.0,0.0
838f29fffffffff,3.0,0.0,0.0,0.0,0.0
838f2bfffffffff,2.0,0.0,0.0,0.0,0.0
838f2dfffffffff,8.0,0.0,0.0,0.0,0.0
838f42fffffffff,18.0,0.0,0.0,0.0,0.0
838f46fffffffff,51.0,0.0,0.0,0.0,0.0
838f4afffffffff,56.0,0.0,0.0,0.0,0.0
838f50fffffffff,2.0,0.0,0.0,0.0,0.0
838f54fffffffff,14.0,0.0,0.0,0.0,0.0
838f55fffffffff,103.0,0.0,0.0,0.0,0.0
838f59fffffffff,103.0,0.0,0.0,0.0,0.0
838f5cfffffffff,2.0,0.0,0.0,0.0,0.0
838f70fffffffff,13.0,0.0,0.0,0.0,0.0
838f72fffffffff,404.0,1.0,0.0,0.0,0.0
838f73fffffffff,327.0,0.0,0.0,0.0,0.0
838f74fffffffff,6.0,0.0,0.0,0.0,0.0
838f76fffffffff,30.0,0.0,0.0,0.0,0.0
