cell_id,Dicrurus densus,Dicrurus densus vicinus,Dicrurus densus bimaensis,Dicrurus densus sumbae,Dicrurus densus densus,Dicrurus densus kuehni,Dicrurus densus megalornis
8472901ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,9.0
8472905ffffffff,18.0,0.0,0.0,0.0,0.0,0.0,18.0
847290dffffffff,8.0,0.0,0.0,0.0,0.0,0.0,8.0
849404dffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8494209ffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
8494213ffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
849421bffffffff,10.0,0.0,10.0,0.0,0.0,0.0,0.0
849421dffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
8494231ffffffff,3.0,0.0,0.0,0.0,3.0,0.0,0.0
8494235ffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
8494237ffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
849423dffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
849426dffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
8494289ffffffff,3.0,0.0,0.0,0.0,3.0,0.0,0.0
84942c1ffffffff,25.0,0.0,0.0,0.0,25.0,0.0,0.0
84942c3ffffffff,9.0,0.0,0.0,0.0,9.0,0.0,0.0
84942c5ffffffff,9.0,0.0,0.0,0.0,9.0,0.0,0.0
84942c9ffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
84942cdffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
84942d1ffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
84942d3ffffffff,8.0,0.0,0.0,0.0,8.0,0.0,0.0
84942d5ffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
84942ddffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8494601ffffffff,14.0,0.0,0.0,0.0,0.0,14.0,0.0
8495185ffffffff,81.0,0.0,81.0,0.0,0.0,0.0,0.0
8495187ffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
84951a9ffffffff,5.0,0.0,5.0,0.0,0.0,0.0,0.0
84951abffffffff,22.0,0.0,22.0,0.0,0.0,0.0,0.0
84951b9ffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
84951bdffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
84951e3ffffffff,97.0,0.0,97.0,0.0,0.0,0.0,0.0
84951e5ffffffff,18.0,0.0,18.0,0.0,0.0,0.0,0.0
8495525ffffffff,5.0,0.0,5.0,0.0,0.0,0.0,0.0
8495533ffffffff,10.0,0.0,0.0,0.0,10.0,0.0,0.0
8495537ffffffff,13.0,0.0,0.0,0.0,13.0,0.0,0.0
8495a55ffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
8495a59ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8495a5dffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
8495a91ffffffff,3.0,0.0,0.0,3.0,0.0,0.0,0.0
8495a99ffffffff,28.0,0.0,0.0,28.0,0.0,0.0,0.0
8495a9bffffffff,3.0,0.0,0.0,3.0,0.0,0.0,0.0
8495ad7ffffffff,5.0,0.0,0.0,5.0,0.0,0.0,0.0
