cell_id,Sclerurus mexicanus,Sclerurus mexicanus mexicanus,Sclerurus mexicanus pullus
834520fffffffff,29.0,0.0,0.0
834522fffffffff,6.0,0.0,0.0
834524fffffffff,26.0,0.0,0.0
834525fffffffff,26.0,0.0,0.0
834526fffffffff,15.0,0.0,0.0
834534fffffffff,4.0,0.0,0.0
834535fffffffff,104.0,0.0,0.0
834990fffffffff,2.0,0.0,0.0
834991fffffffff,14.0,0.0,0.0
834996fffffffff,36.0,9.0,0.0
83499cfffffffff,1.0,0.0,0.0
836613fffffffff,12.0,0.0,0.0
836616fffffffff,2.0,0.0,0.0
8366a0fffffffff,3.0,0.0,0.0
8366a5fffffffff,73.0,0.0,9.0
8366b4fffffffff,674.0,0.0,0.0
8366b5fffffffff,99.0,0.0,8.0
836796fffffffff,6.0,0.0,0.0
83679afffffffff,5.0,0.0,0.0
836d04fffffffff,2.0,0.0,0.0
836d05fffffffff,420.0,186.0,0.0
836d20fffffffff,5.0,0.0,0.0
836d22fffffffff,2.0,2.0,0.0
836d23fffffffff,19.0,14.0,0.0
836d28fffffffff,15.0,0.0,0.0
836d29fffffffff,14.0,0.0,0.0
836d2afffffffff,6.0,3.0,0.0
836d2bfffffffff,95.0,0.0,0.0
836d2cfffffffff,11.0,0.0,0.0
836d2dfffffffff,339.0,0.0,0.0
836d2efffffffff,12.0,3.0,0.0
836d30fffffffff,32.0,17.0,0.0
836d36fffffffff,19.0,2.0,0.0
836d64fffffffff,68.0,0.0,0.0
836d66fffffffff,24.0,0.0,0.0
836d68fffffffff,39.0,0.0,0.0
836d69fffffffff,761.0,0.0,0.0
836d74fffffffff,3.0,0.0,0.0
