cell_id,Eupodotis senegalensis,Eupodotis senegalensis [senegalensis Group],Eupodotis senegalensis barrowii/mackenziei
847a40bffffffff,2.0,0.0,0.0
847a41dffffffff,6.0,0.0,0.0
847a457ffffffff,1.0,0.0,0.0
847a647ffffffff,1.0,1.0,0.0
847a681ffffffff,3.0,3.0,0.0
847a685ffffffff,2.0,0.0,0.0
847a68bffffffff,1.0,1.0,0.0
847a6a1ffffffff,6.0,0.0,0.0
847a6e5ffffffff,2.0,2.0,0.0
8482a55ffffffff,4.0,0.0,4.0
8496757ffffffff,4.0,0.0,2.0
84bc717ffffffff,8.0,0.0,0.0
84bcc3dffffffff,1.0,0.0,0.0
84bcc49ffffffff,2.0,0.0,2.0
84bcc6dffffffff,5.0,0.0,0.0
84bcd1bffffffff,1.0,0.0,0.0
84bcdcdffffffff,6.0,0.0,0.0
84bcf17ffffffff,1.0,0.0,0.0
84bcf1dffffffff,4.0,0.0,0.0
84bcf33ffffffff,22.0,0.0,1.0
