cell_id,Schetba rufa,Schetba rufa rufa,Schetba rufa occidentalis
84a2143ffffffff,136.0,0.0,0.0
84a2147ffffffff,1.0,0.0,0.0
84a2227ffffffff,4.0,0.0,0.0
84a231bffffffff,5.0,0.0,0.0
84a2a49ffffffff,107.0,0.0,0.0
84a2ae9ffffffff,5.0,0.0,0.0
84a3091ffffffff,5.0,0.0,0.0
84a3093ffffffff,6.0,0.0,0.0
84a318bffffffff,4.0,0.0,0.0
84a3191ffffffff,6.0,0.0,0.0
84a3199ffffffff,8.0,0.0,0.0
84a319dffffffff,223.0,0.0,0.0
84a31e3ffffffff,1.0,0.0,0.0
84a3567ffffffff,70.0,0.0,0.0
84a356dffffffff,1.0,0.0,0.0
84a38c1ffffffff,1.0,0.0,0.0
84a38c7ffffffff,2.0,0.0,0.0
84a399bffffffff,1.0,0.0,0.0
84a3ab7ffffffff,27.0,0.0,0.0
