cell_id,Hellmayrea gularis,Hellmayrea gularis gularis,Hellmayrea gularis brunneidorsalis,Hellmayrea gularis cinereiventris,Hellmayrea gularis rufiventris
836618fffffffff,4.0,0.0,0.0,0.0,0.0
83661bfffffffff,19.0,0.0,0.0,0.0,0.0
8366c6fffffffff,6.0,0.0,0.0,0.0,0.0
8366d3fffffffff,11.0,0.0,0.0,0.0,0.0
8366e5fffffffff,1.0,0.0,0.0,0.0,0.0
8366e6fffffffff,28.0,0.0,0.0,0.0,0.0
8366f1fffffffff,2.0,0.0,0.0,0.0,0.0
8366f5fffffffff,8.0,0.0,0.0,0.0,0.0
838f0dfffffffff,1.0,0.0,0.0,0.0,0.0
838f54fffffffff,12.0,0.0,0.0,0.0,0.0
838f59fffffffff,4.0,0.0,0.0,0.0,4.0
