cell_id,Megapodius freycinet,Megapodius freycinet [freycinet Group],Megapodius freycinet forsteni/buruensis
837390fffffffff,209.0,179.0,0.0
837392fffffffff,6.0,6.0,0.0
837393fffffffff,1.0,1.0,0.0
837395fffffffff,14.0,14.0,0.0
837396fffffffff,5.0,5.0,0.0
837398fffffffff,3.0,3.0,0.0
83739afffffffff,300.0,237.0,0.0
83739bfffffffff,3.0,3.0,0.0
83739efffffffff,1.0,0.0,0.0
839544fffffffff,18.0,0.0,18.0
839545fffffffff,10.0,0.0,10.0
839561fffffffff,7.0,0.0,0.0
83956afffffffff,29.0,0.0,26.0
83956bfffffffff,7.0,0.0,7.0
83956cfffffffff,4.0,4.0,0.0
83956dfffffffff,7.0,3.0,0.0
