cell_id,Pachycoccyx audeberti,Pachycoccyx audeberti validus/brazzae,Pachycoccyx audeberti audeberti
8454e13ffffffff,1.0,0.0,0.0
846a5a9ffffffff,2.0,0.0,0.0
846ac3dffffffff,3.0,0.0,0.0
846ace5ffffffff,9.0,4.0,0.0
846add7ffffffff,5.0,0.0,0.0
846aea3ffffffff,2.0,2.0,0.0
847a495ffffffff,1.0,0.0,0.0
847a6a1ffffffff,2.0,0.0,0.0
847a6e5ffffffff,2.0,0.0,0.0
847a751ffffffff,1.0,0.0,0.0
849602dffffffff,1.0,0.0,0.0
8496201ffffffff,1.0,0.0,0.0
8496263ffffffff,1.0,1.0,0.0
8497245ffffffff,1.0,1.0,0.0
8497417ffffffff,2.0,0.0,0.0
84bc89bffffffff,1.0,0.0,0.0
84bcd0dffffffff,2.0,0.0,0.0
84bcd29ffffffff,2.0,0.0,0.0
84bcd35ffffffff,2.0,0.0,0.0
84bcf29ffffffff,1.0,0.0,0.0
