cell_id,Pericrocotus solaris,Pericrocotus solaris [solaris Group],Pericrocotus solaris montanus/cinereigula
84309a5ffffffff,134.0,63.0,0.0
84309a7ffffffff,2.0,0.0,0.0
84309adffffffff,6.0,3.0,0.0
84309bdffffffff,2.0,0.0,0.0
84309e7ffffffff,2.0,0.0,0.0
843c0a3ffffffff,13.0,0.0,0.0
843c0a5ffffffff,79.0,0.0,0.0
843c0a7ffffffff,2.0,0.0,0.0
843c0adffffffff,1.0,0.0,0.0
843c0b5ffffffff,31.0,0.0,0.0
843c0b7ffffffff,34.0,0.0,0.0
843c0bdffffffff,13.0,0.0,0.0
843c199ffffffff,152.0,0.0,0.0
843c1d1ffffffff,8.0,0.0,0.0
843c1d3ffffffff,19.0,0.0,0.0
843c1dbffffffff,15.0,0.0,0.0
843c315ffffffff,2.0,0.0,0.0
843c33bffffffff,2.0,0.0,0.0
843c431ffffffff,6.0,0.0,0.0
843c437ffffffff,4.0,0.0,0.0
843c521ffffffff,33.0,0.0,0.0
843c525ffffffff,4.0,0.0,0.0
843c527ffffffff,401.0,0.0,0.0
843c529ffffffff,5.0,0.0,0.0
843c567ffffffff,4.0,0.0,0.0
843c581ffffffff,306.0,0.0,0.0
843c583ffffffff,4.0,0.0,0.0
843c585ffffffff,5.0,0.0,0.0
843c587ffffffff,12.0,0.0,0.0
843c589ffffffff,5.0,0.0,0.0
843c595ffffffff,22.0,0.0,0.0
843c5b1ffffffff,2.0,0.0,0.0
843c5b7ffffffff,9.0,0.0,0.0
843c5b9ffffffff,1.0,0.0,0.0
843c5bdffffffff,46.0,0.0,0.0
843c5c1ffffffff,4.0,0.0,0.0
843c5c7ffffffff,2.0,0.0,0.0
843c5cbffffffff,16.0,0.0,0.0
843c5d5ffffffff,5.0,0.0,0.0
843c5ddffffffff,5.0,0.0,0.0
843c5e9ffffffff,1.0,0.0,0.0
843cc11ffffffff,4.0,0.0,0.0
843cd8bffffffff,37.0,2.0,0.0
843cdd5ffffffff,8.0,0.0,0.0
843ce2bffffffff,4.0,0.0,0.0
843ce31ffffffff,3.0,0.0,0.0
843ce3bffffffff,6.0,0.0,0.0
843ce41ffffffff,1.0,0.0,0.0
843ce43ffffffff,3.0,0.0,0.0
843ce4bffffffff,31.0,0.0,0.0
843ce4dffffffff,4.0,0.0,0.0
843ce51ffffffff,40.0,0.0,0.0
843ce53ffffffff,33.0,0.0,0.0
843ce55ffffffff,16.0,0.0,0.0
843ce57ffffffff,1.0,0.0,0.0
843ce59ffffffff,51.0,0.0,0.0
843ce5bffffffff,151.0,0.0,0.0
843ce5dffffffff,108.0,0.0,0.0
843ce85ffffffff,9.0,0.0,0.0
843ce87ffffffff,4.0,0.0,0.0
843ce95ffffffff,3.0,0.0,0.0
843cebdffffffff,19.0,0.0,0.0
843ceedffffffff,2.0,0.0,0.0
8440019ffffffff,1.0,0.0,0.0
8440035ffffffff,2.0,0.0,0.0
8440041ffffffff,2.0,0.0,0.0
8440139ffffffff,2.0,0.0,0.0
84401dbffffffff,1.0,0.0,0.0
844022bffffffff,2.0,0.0,0.0
844034bffffffff,2.0,0.0,0.0
8440413ffffffff,1.0,0.0,0.0
8440439ffffffff,9.0,0.0,0.0
8440447ffffffff,11.0,0.0,0.0
8440499ffffffff,3.0,0.0,0.0
84404c1ffffffff,10.0,0.0,0.0
84404c3ffffffff,2.0,0.0,0.0
84404c5ffffffff,107.0,2.0,0.0
84404c7ffffffff,9.0,0.0,0.0
84404cdffffffff,3.0,0.0,0.0
84404ddffffffff,13.0,0.0,0.0
8440589ffffffff,2.0,0.0,0.0
8440591ffffffff,10.0,0.0,0.0
84405c9ffffffff,1.0,0.0,0.0
8440619ffffffff,1.0,0.0,0.0
84406b7ffffffff,2.0,0.0,0.0
8440717ffffffff,5.0,0.0,0.0
8440ac5ffffffff,1.0,0.0,0.0
8440c19ffffffff,2.0,0.0,0.0
8440c2dffffffff,1.0,0.0,0.0
8440c59ffffffff,10.0,0.0,0.0
8440c61ffffffff,4.0,0.0,0.0
8440e13ffffffff,1.0,0.0,0.0
8440e37ffffffff,2.0,0.0,0.0
8440ee5ffffffff,3.0,0.0,0.0
8441035ffffffff,6.0,2.0,0.0
8441037ffffffff,2.0,0.0,0.0
844112bffffffff,2.0,0.0,0.0
8441185ffffffff,11.0,0.0,0.0
844118bffffffff,8.0,0.0,0.0
8441193ffffffff,1.0,0.0,0.0
8441199ffffffff,11.0,0.0,0.0
84411a5ffffffff,9.0,0.0,0.0
84411a7ffffffff,2.0,0.0,0.0
84411adffffffff,4.0,0.0,0.0
84411b5ffffffff,22.0,3.0,0.0
84411bdffffffff,2.0,0.0,0.0
84411c1ffffffff,1.0,0.0,0.0
84411c9ffffffff,166.0,7.0,0.0
84411cbffffffff,704.0,52.0,0.0
84411e3ffffffff,3.0,0.0,0.0
8441433ffffffff,4.0,1.0,0.0
8441487ffffffff,2.0,0.0,0.0
84414c3ffffffff,15.0,0.0,0.0
8441585ffffffff,9.0,0.0,0.0
8441593ffffffff,4.0,0.0,0.0
844159bffffffff,2.0,0.0,0.0
84415c3ffffffff,14.0,2.0,0.0
84415edffffffff,4.0,0.0,0.0
8441617ffffffff,5.0,2.0,0.0
8441651ffffffff,1.0,0.0,0.0
8441655ffffffff,33.0,6.0,0.0
84416e1ffffffff,2.0,0.0,0.0
8441701ffffffff,1.0,0.0,0.0
8441703ffffffff,2.0,0.0,0.0
8441709ffffffff,2.0,0.0,0.0
844170bffffffff,2.0,0.0,0.0
8441715ffffffff,14.0,0.0,0.0
8441719ffffffff,217.0,0.0,0.0
8441845ffffffff,2.0,0.0,0.0
844184bffffffff,10.0,0.0,0.0
8441855ffffffff,77.0,1.0,0.0
8441859ffffffff,14.0,0.0,0.0
844185dffffffff,3.0,0.0,0.0
8441863ffffffff,9.0,0.0,0.0
84418c9ffffffff,2.0,0.0,0.0
8441907ffffffff,5.0,1.0,0.0
8441911ffffffff,12.0,0.0,0.0
8441919ffffffff,13.0,0.0,0.0
8441921ffffffff,28.0,15.0,0.0
844192bffffffff,5.0,4.0,0.0
844192dffffffff,16.0,12.0,0.0
844193bffffffff,3.0,0.0,0.0
8441945ffffffff,2.0,0.0,0.0
8441949ffffffff,4.0,4.0,0.0
8441959ffffffff,2.0,0.0,0.0
844195dffffffff,6.0,0.0,0.0
8441965ffffffff,1.0,1.0,0.0
8441967ffffffff,2.0,2.0,0.0
8441993ffffffff,2.0,0.0,0.0
84419ddffffffff,3.0,0.0,0.0
8441a0bffffffff,6.0,0.0,0.0
8441a31ffffffff,1.0,0.0,0.0
8441a37ffffffff,1.0,0.0,0.0
8441a97ffffffff,1.0,0.0,0.0
8441ab3ffffffff,5.0,0.0,0.0
8441b2bffffffff,1.0,0.0,0.0
8441b31ffffffff,9.0,7.0,0.0
8441b35ffffffff,5.0,5.0,0.0
8441b37ffffffff,5.0,0.0,0.0
8441b3bffffffff,1.0,0.0,0.0
8441b53ffffffff,32.0,0.0,0.0
8441b5bffffffff,2.0,0.0,0.0
844b325ffffffff,2.0,0.0,0.0
844b349ffffffff,2.0,0.0,0.0
844b841ffffffff,5.0,0.0,0.0
844b845ffffffff,59.0,0.0,0.0
844b849ffffffff,467.0,0.0,0.0
844b84dffffffff,107.0,0.0,0.0
844b869ffffffff,21.0,1.0,0.0
844b86dffffffff,4.0,0.0,0.0
844ba01ffffffff,455.0,25.0,0.0
