cell_id,Sterna hirundo,Sterna hirundo hirundo/tibetana,Sterna hirundo longipennis,Sterna hirundo hirundo/tibetana x longipennis
840123dffffffff,2.0,0.0,0.0,0.0
840125dffffffff,2.0,0.0,0.0,0.0
840130bffffffff,47.0,6.0,0.0,0.0
8401319ffffffff,25.0,0.0,0.0,0.0
840131dffffffff,3.0,0.0,0.0,0.0
8401351ffffffff,23.0,6.0,0.0,0.0
8401353ffffffff,6.0,0.0,0.0,0.0
8401355ffffffff,16.0,2.0,0.0,0.0
840135bffffffff,2.0,1.0,0.0,0.0
840135dffffffff,1.0,0.0,0.0,0.0
8408107ffffffff,1.0,0.0,0.0,0.0
8408129ffffffff,2.0,0.0,0.0,0.0
8408133ffffffff,2.0,0.0,0.0,0.0
8408151ffffffff,21.0,2.0,0.0,0.0
8408159ffffffff,5.0,0.0,0.0,0.0
840815bffffffff,2.0,0.0,0.0,0.0
8408165ffffffff,6.0,0.0,0.0,0.0
8408193ffffffff,3.0,0.0,0.0,0.0
84081edffffffff,2.0,0.0,0.0,0.0
84082a5ffffffff,3.0,0.0,0.0,0.0
84082abffffffff,1.0,0.0,0.0,0.0
84082b7ffffffff,1.0,0.0,0.0,0.0
8408329ffffffff,2.0,0.0,0.0,0.0
8408333ffffffff,5.0,0.0,0.0,0.0
8408339ffffffff,2.0,0.0,0.0,0.0
840833bffffffff,2.0,0.0,0.0,0.0
840833dffffffff,2.0,0.0,0.0,0.0
8408365ffffffff,2.0,0.0,0.0,0.0
840836dffffffff,2.0,0.0,0.0,0.0
8408805ffffffff,4.0,0.0,0.0,0.0
8408807ffffffff,1.0,0.0,0.0,0.0
8408809ffffffff,14.0,0.0,0.0,0.0
840880bffffffff,7.0,0.0,0.0,0.0
840880dffffffff,65.0,0.0,0.0,0.0
8408821ffffffff,2.0,0.0,0.0,0.0
8408823ffffffff,2.0,0.0,0.0,0.0
8408829ffffffff,25.0,2.0,0.0,0.0
840882bffffffff,3.0,0.0,0.0,0.0
840882dffffffff,14.0,0.0,0.0,0.0
8408831ffffffff,1.0,0.0,0.0,0.0
8408837ffffffff,5.0,0.0,0.0,0.0
8408839ffffffff,4.0,0.0,0.0,0.0
840883dffffffff,13.0,0.0,0.0,0.0
8408841ffffffff,5.0,0.0,0.0,0.0
8408843ffffffff,4.0,0.0,0.0,0.0
8408845ffffffff,12.0,2.0,0.0,0.0
840884bffffffff,10.0,4.0,0.0,0.0
840884dffffffff,3.0,0.0,0.0,0.0
8408855ffffffff,12.0,0.0,0.0,0.0
840885bffffffff,2.0,0.0,0.0,0.0
840885dffffffff,2.0,0.0,0.0,0.0
8408861ffffffff,2.0,0.0,0.0,0.0
8408863ffffffff,35.0,1.0,0.0,0.0
8408865ffffffff,1.0,0.0,0.0,0.0
8408867ffffffff,167.0,4.0,0.0,0.0
8408869ffffffff,16.0,0.0,0.0,0.0
840886bffffffff,110.0,7.0,0.0,0.0
8408881ffffffff,3.0,0.0,0.0,0.0
8408889ffffffff,30.0,8.0,0.0,0.0
840888dffffffff,26.0,18.0,0.0,0.0
84088a3ffffffff,2.0,2.0,0.0,0.0
84088a9ffffffff,21.0,10.0,0.0,0.0
84088adffffffff,7.0,4.0,0.0,0.0
84088b7ffffffff,2.0,0.0,0.0,0.0
84088e1ffffffff,35.0,31.0,0.0,0.0
84088e3ffffffff,5.0,4.0,0.0,0.0
84088e5ffffffff,1.0,0.0,0.0,0.0
84088e7ffffffff,6.0,6.0,0.0,0.0
8408901ffffffff,7.0,0.0,0.0,0.0
8408937ffffffff,48.0,0.0,0.0,0.0
8408949ffffffff,2.0,0.0,0.0,0.0
8408959ffffffff,39.0,0.0,0.0,0.0
840895bffffffff,35.0,2.0,0.0,0.0
8408961ffffffff,8.0,0.0,0.0,0.0
8408963ffffffff,4.0,0.0,0.0,0.0
8408965ffffffff,10.0,0.0,0.0,0.0
