cell_id,Dicrurus balicassius,Dicrurus balicassius balicassius/abraensis,Dicrurus balicassius mirabilis
824a97fffffffff,1.0,0.0,0.0
826847fffffffff,70.0,0.0,46.0
826867fffffffff,83.0,22.0,30.0
826877fffffffff,207.0,0.0,128.0
826947fffffffff,610.0,69.0,0.0
82694ffffffffff,600.0,42.0,0.0
82695ffffffffff,94.0,1.0,5.0
82696ffffffffff,42.0,24.0,0.0
