cell_id,Petrochelidon fulva,Petrochelidon fulva [fulva Group],Petrochelidon fulva pallida,Petrochelidon fulva citata
8326c3fffffffff,53.0,0.0,0.0,0.0
8326c8fffffffff,15.0,0.0,4.0,0.0
8326c9fffffffff,103.0,0.0,0.0,0.0
8326cafffffffff,75.0,0.0,2.0,0.0
8326cbfffffffff,166.0,0.0,0.0,0.0
8326cdfffffffff,33.0,0.0,2.0,0.0
8326cefffffffff,28.0,0.0,0.0,0.0
8326d3fffffffff,4.0,0.0,0.0,0.0
8326d8fffffffff,86.0,0.0,0.0,0.0
8326d9fffffffff,231.0,0.0,5.0,0.0
8326dafffffffff,63.0,0.0,1.0,0.0
8326dbfffffffff,158.0,0.0,2.0,0.0
8326dcfffffffff,36.0,0.0,0.0,0.0
8326ddfffffffff,214.0,0.0,0.0,0.0
8326defffffffff,44.0,0.0,0.0,0.0
832aadfffffffff,196.0,0.0,0.0,0.0
834412fffffffff,67.0,1.0,0.0,0.0
834414fffffffff,139.0,0.0,0.0,0.0
834416fffffffff,392.0,29.0,1.0,0.0
834424fffffffff,7.0,0.0,0.0,1.0
834430fffffffff,298.0,136.0,0.0,0.0
834432fffffffff,258.0,53.0,0.0,0.0
834434fffffffff,19.0,4.0,0.0,0.0
834436fffffffff,36.0,12.0,0.0,0.0
834441fffffffff,10.0,0.0,0.0,0.0
834444fffffffff,28.0,0.0,0.0,0.0
834445fffffffff,338.0,0.0,0.0,0.0
834448fffffffff,2.0,0.0,0.0,0.0
834449fffffffff,2.0,0.0,0.0,0.0
83444dfffffffff,6.0,0.0,0.0,0.0
834463fffffffff,25.0,0.0,0.0,0.0
834468fffffffff,12.0,0.0,0.0,0.0
834469fffffffff,131.0,0.0,1.0,0.0
83446afffffffff,17.0,0.0,0.0,0.0
83446bfffffffff,29.0,0.0,0.0,0.0
83446cfffffffff,1312.0,0.0,27.0,0.0
83446dfffffffff,1024.0,0.0,8.0,0.0
83446efffffffff,256.0,0.0,7.0,0.0
8344a1fffffffff,1042.0,353.0,0.0,0.0
8344a5fffffffff,384.0,54.0,0.0,0.0
834505fffffffff,2.0,0.0,0.0,0.0
834508fffffffff,324.0,0.0,0.0,112.0
834509fffffffff,1052.0,0.0,0.0,252.0
83450afffffffff,225.0,0.0,0.0,41.0
83450bfffffffff,152.0,0.0,0.0,37.0
83450cfffffffff,7.0,0.0,0.0,3.0
83450dfffffffff,402.0,0.0,0.0,114.0
83450efffffffff,110.0,0.0,0.0,20.0
834519fffffffff,2.0,0.0,0.0,0.0
83451bfffffffff,7.0,5.0,0.0,0.0
83451dfffffffff,2.0,0.0,0.0,2.0
834521fffffffff,11.0,0.0,0.0,0.0
834523fffffffff,3.0,0.0,0.0,0.0
834524fffffffff,21.0,0.0,0.0,0.0
834529fffffffff,3.0,0.0,0.0,0.0
83452afffffffff,8.0,0.0,0.0,2.0
83452bfffffffff,15.0,0.0,0.0,3.0
834549fffffffff,2.0,0.0,0.0,0.0
834572fffffffff,136.0,0.0,0.0,51.0
834576fffffffff,49.0,0.0,0.0,13.0
834583fffffffff,48.0,15.0,0.0,0.0
834588fffffffff,148.0,32.0,0.0,0.0
834589fffffffff,8.0,0.0,0.0,0.0
83458afffffffff,2.0,0.0,0.0,0.0
83458cfffffffff,517.0,218.0,0.0,0.0
83458dfffffffff,45.0,20.0,0.0,0.0
83458efffffffff,370.0,151.0,0.0,0.0
834590fffffffff,1.0,0.0,0.0,0.0
834591fffffffff,102.0,57.0,0.0,0.0
834592fffffffff,6.0,0.0,0.0,0.0
834598fffffffff,178.0,66.0,0.0,0.0
83459cfffffffff,53.0,23.0,0.0,0.0
83459dfffffffff,90.0,44.0,0.0,0.0
