cell_id,Thamnophilus punctatus,Thamnophilus punctatus punctatus/interpositus,Thamnophilus punctatus leucogaster/huallagae
835f00fffffffff,11.0,0.0,0.0
835f01fffffffff,4.0,0.0,0.0
835f03fffffffff,10.0,0.0,0.0
835f08fffffffff,4.0,0.0,0.0
835f09fffffffff,6.0,0.0,0.0
835f0dfffffffff,5.0,0.0,0.0
835f10fffffffff,7.0,0.0,0.0
835f11fffffffff,2.0,0.0,0.0
835f12fffffffff,26.0,0.0,0.0
835f13fffffffff,14.0,0.0,0.0
835f14fffffffff,8.0,0.0,0.0
835f16fffffffff,11.0,0.0,0.0
835f1cfffffffff,59.0,0.0,0.0
835f1efffffffff,3.0,0.0,0.0
835f22fffffffff,9.0,0.0,0.0
835f29fffffffff,63.0,0.0,0.0
835f2bfffffffff,179.0,0.0,0.0
835f2dfffffffff,8.0,0.0,0.0
835f40fffffffff,12.0,0.0,0.0
835f42fffffffff,12.0,1.0,0.0
835f44fffffffff,1.0,0.0,0.0
835f46fffffffff,1.0,0.0,0.0
835f4afffffffff,6.0,0.0,0.0
835f50fffffffff,8.0,0.0,0.0
835f5dfffffffff,2.0,0.0,0.0
835f66fffffffff,1.0,0.0,0.0
835f68fffffffff,34.0,7.0,0.0
835f70fffffffff,2.0,0.0,0.0
835f71fffffffff,7.0,0.0,0.0
835f75fffffffff,61.0,2.0,0.0
835f76fffffffff,1.0,0.0,0.0
836609fffffffff,4.0,0.0,0.0
83660dfffffffff,3.0,0.0,0.0
836641fffffffff,19.0,0.0,0.0
836645fffffffff,1.0,0.0,0.0
836650fffffffff,2.0,0.0,0.0
836652fffffffff,55.0,0.0,0.0
836654fffffffff,2.0,0.0,0.0
836656fffffffff,38.0,0.0,0.0
836661fffffffff,3.0,3.0,0.0
836663fffffffff,27.0,0.0,0.0
83666afffffffff,4.0,0.0,0.0
836672fffffffff,18.0,0.0,0.0
8366e0fffffffff,94.0,0.0,0.0
8366e1fffffffff,84.0,0.0,0.0
8366e3fffffffff,93.0,0.0,0.0
8366e5fffffffff,809.0,0.0,0.0
83804cfffffffff,9.0,0.0,0.0
838068fffffffff,1.0,0.0,0.0
83806afffffffff,10.0,0.0,0.0
83806bfffffffff,5.0,0.0,0.0
838a5afffffffff,1.0,1.0,0.0
838a8dfffffffff,2.0,0.0,0.0
838a9cfffffffff,1.0,0.0,0.0
838aa9fffffffff,2.0,0.0,0.0
838ad1fffffffff,5.0,0.0,0.0
838ad5fffffffff,1.0,0.0,0.0
838adafffffffff,1.0,0.0,0.0
838adbfffffffff,24.0,1.0,0.0
838adcfffffffff,38.0,2.0,0.0
838adefffffffff,6.0,0.0,0.0
838af0fffffffff,4.0,0.0,0.0
838af2fffffffff,112.0,9.0,0.0
838af4fffffffff,2.0,0.0,0.0
838af6fffffffff,150.0,9.0,0.0
838f40fffffffff,255.0,0.0,61.0
838f42fffffffff,2.0,0.0,0.0
838f43fffffffff,6.0,0.0,5.0
838f46fffffffff,2.0,0.0,0.0
838f54fffffffff,269.0,0.0,152.0
838f55fffffffff,11.0,0.0,8.0
