cell_id,Bubo ascalaphus,Bubo ascalaphus ascalaphus,Bubo ascalaphus desertorum
822c97fffffffff,280.0,0.0,9.0
822d97fffffffff,12.0,0.0,0.0
822db7fffffffff,13.0,1.0,0.0
823817fffffffff,29.0,1.0,2.0
823837fffffffff,2.0,0.0,0.0
8238a7fffffffff,1.0,0.0,0.0
823987fffffffff,1.0,0.0,0.0
82398ffffffffff,275.0,52.0,1.0
823997fffffffff,5.0,0.0,0.0
82399ffffffffff,7.0,0.0,0.0
823e67fffffffff,2.0,0.0,0.0
823e6ffffffffff,98.0,3.0,0.0
82438ffffffffff,1.0,0.0,0.0
8243a7fffffffff,89.0,0.0,7.0
8243affffffffff,70.0,0.0,5.0
8243b7fffffffff,1.0,0.0,0.0
825307fffffffff,1.0,0.0,0.0
82530ffffffffff,1.0,0.0,0.0
825317fffffffff,3.0,0.0,0.0
825327fffffffff,4.0,0.0,0.0
82532ffffffffff,1.0,0.0,0.0
825347fffffffff,12.0,0.0,0.0
82534ffffffffff,1.0,0.0,0.0
825367fffffffff,11.0,0.0,0.0
82536ffffffffff,4.0,0.0,0.0
825377fffffffff,3.0,0.0,0.0
825517fffffffff,14.0,0.0,0.0
82551ffffffffff,6.0,0.0,0.0
8255affffffffff,1.0,0.0,0.0
