cell_id,Tangara parzudakii,Tangara parzudakii parzudakii/urubambae,Tangara parzudakii lunigera
8466c21ffffffff,2.0,2.0,0.0
8466d0bffffffff,4.0,0.0,0.0
8466d31ffffffff,9.0,1.0,2.0
8466d35ffffffff,3.0,0.0,0.0
8466d37ffffffff,2.0,0.0,0.0
8466d51ffffffff,1.0,0.0,0.0
8466de1ffffffff,12.0,12.0,0.0
8466e03ffffffff,12.0,0.0,0.0
8466f03ffffffff,4.0,0.0,0.0
8466f1dffffffff,7.0,0.0,0.0
848f295ffffffff,8.0,0.0,0.0
848f2ddffffffff,3.0,3.0,0.0
848f4a5ffffffff,2.0,2.0,0.0
848f4b3ffffffff,17.0,0.0,0.0
848f727ffffffff,2.0,0.0,0.0
848f733ffffffff,2.0,2.0,0.0
