cell_id,Alaemon alaudipes,Alaemon alaudipes boavistae,Alaemon alaudipes [alaudipes Group]
842c901ffffffff,51.0,0.0,0.0
842c903ffffffff,68.0,0.0,0.0
842c911ffffffff,8.0,0.0,0.0
842c915ffffffff,258.0,0.0,5.0
842c917ffffffff,8.0,0.0,0.0
842c91dffffffff,2.0,0.0,0.0
842c931ffffffff,45.0,0.0,0.0
842c933ffffffff,2.0,0.0,0.0
842c935ffffffff,279.0,0.0,0.0
842c939ffffffff,10.0,0.0,0.0
842c93bffffffff,187.0,0.0,2.0
842c93dffffffff,15.0,0.0,0.0
842c981ffffffff,3.0,0.0,0.0
842c987ffffffff,2.0,0.0,0.0
842c9edffffffff,1.0,0.0,0.0
842cd43ffffffff,1.0,0.0,0.0
842cd47ffffffff,2.0,0.0,0.0
842cd49ffffffff,2.0,0.0,0.0
842cd4bffffffff,52.0,0.0,0.0
842cd5dffffffff,2.0,0.0,0.0
842cdd5ffffffff,4.0,0.0,0.0
842d82dffffffff,2.0,0.0,0.0
842d911ffffffff,3.0,0.0,0.0
842d94bffffffff,3.0,0.0,0.0
842d959ffffffff,1.0,0.0,0.0
842d95dffffffff,3.0,0.0,0.0
842daa9ffffffff,2.0,0.0,0.0
842db37ffffffff,7.0,0.0,0.0
8438153ffffffff,1.0,0.0,0.0
8438161ffffffff,372.0,0.0,54.0
8438165ffffffff,3.0,0.0,0.0
8438169ffffffff,77.0,0.0,6.0
843816dffffffff,196.0,0.0,18.0
8438421ffffffff,1.0,0.0,0.0
8438427ffffffff,1.0,0.0,0.0
8438429ffffffff,2.0,0.0,0.0
8438435ffffffff,3.0,0.0,0.0
8438437ffffffff,1.0,0.0,0.0
84384a1ffffffff,7.0,0.0,0.0
84384cdffffffff,1.0,0.0,0.0
8438543ffffffff,1.0,0.0,0.0
843855dffffffff,2.0,0.0,0.0
84385c3ffffffff,2.0,0.0,0.0
84385cbffffffff,4.0,0.0,0.0
84385d9ffffffff,5.0,0.0,0.0
84385dbffffffff,2.0,0.0,0.0
8438a49ffffffff,10.0,0.0,0.0
8438a4dffffffff,5.0,0.0,0.0
8438dbbffffffff,1.0,0.0,0.0
8438dbdffffffff,1.0,0.0,0.0
8439805ffffffff,1.0,0.0,0.0
8439885ffffffff,33.0,0.0,2.0
8439887ffffffff,192.0,0.0,20.0
8439891ffffffff,2.0,0.0,0.0
8439893ffffffff,3.0,0.0,0.0
8439895ffffffff,39.0,0.0,1.0
8439897ffffffff,34.0,0.0,0.0
84398a3ffffffff,1.0,0.0,0.0
84398a5ffffffff,2.0,0.0,0.0
84398a7ffffffff,1.0,0.0,0.0
84398a9ffffffff,2.0,0.0,0.0
84398b1ffffffff,1.0,0.0,0.0
84398b9ffffffff,2.0,0.0,2.0
84398bbffffffff,2.0,0.0,0.0
84398edffffffff,2.0,0.0,0.0
8439923ffffffff,3.0,0.0,0.0
8439925ffffffff,2.0,0.0,0.0
843992bffffffff,2.0,0.0,0.0
8439931ffffffff,7.0,0.0,0.0
8439933ffffffff,6.0,0.0,0.0
8439937ffffffff,3.0,0.0,0.0
8439939ffffffff,9.0,0.0,0.0
843993bffffffff,14.0,0.0,3.0
843993dffffffff,2.0,0.0,0.0
