cell_id,Pteroglossus azara,Pteroglossus azara flavirostris,Pteroglossus azara azara,Pteroglossus azara mariae
845f683ffffffff,3.0,0.0,0.0,0.0
845f689ffffffff,3.0,0.0,0.0,0.0
845f68bffffffff,14.0,0.0,0.0,0.0
845f759ffffffff,4.0,0.0,0.0,0.0
845f75dffffffff,8.0,0.0,0.0,0.0
8466411ffffffff,32.0,3.0,0.0,0.0
8466415ffffffff,104.0,0.0,0.0,0.0
8466417ffffffff,6.0,0.0,0.0,0.0
8466419ffffffff,2.0,0.0,0.0,0.0
846641dffffffff,72.0,0.0,0.0,0.0
8466437ffffffff,2.0,0.0,0.0,0.0
8466441ffffffff,3.0,0.0,0.0,0.0
8466455ffffffff,1.0,0.0,0.0,0.0
8466485ffffffff,2.0,0.0,0.0,0.0
8466527ffffffff,1.0,0.0,0.0,0.0
84665abffffffff,54.0,3.0,0.0,0.0
84665bdffffffff,121.0,5.0,0.0,0.0
84665e9ffffffff,4.0,0.0,0.0,0.0
8466637ffffffff,3.0,0.0,0.0,0.0
84666a1ffffffff,1.0,0.0,0.0,0.0
84666c5ffffffff,10.0,0.0,0.0,0.0
84666e3ffffffff,6.0,0.0,0.0,0.0
84666ebffffffff,7.0,0.0,0.0,0.0
8466c01ffffffff,5.0,0.0,0.0,0.0
8466c05ffffffff,1.0,0.0,0.0,0.0
8466c09ffffffff,2.0,0.0,0.0,0.0
8466c0dffffffff,2.0,0.0,0.0,0.0
8466c15ffffffff,1.0,0.0,0.0,0.0
8466c21ffffffff,16.0,3.0,0.0,0.0
8466c23ffffffff,16.0,0.0,0.0,0.0
8466c2bffffffff,9.0,0.0,0.0,0.0
8466c2dffffffff,1.0,0.0,0.0,0.0
8466c35ffffffff,2.0,0.0,0.0,0.0
8466c37ffffffff,2.0,0.0,0.0,0.0
8466cb3ffffffff,3.0,0.0,0.0,0.0
8466cc5ffffffff,5.0,2.0,0.0,0.0
8466ce9ffffffff,3.0,0.0,0.0,0.0
8466cedffffffff,2.0,0.0,0.0,0.0
8466d13ffffffff,2.0,2.0,0.0,0.0
8466d1bffffffff,5.0,0.0,0.0,0.0
8466d81ffffffff,58.0,5.0,0.0,0.0
8466d89ffffffff,2.0,0.0,0.0,0.0
8466d8dffffffff,5.0,2.0,0.0,0.0
8466da1ffffffff,2.0,0.0,0.0,0.0
8466da9ffffffff,5.0,0.0,0.0,0.0
8466dadffffffff,2.0,0.0,0.0,0.0
8466db1ffffffff,2.0,0.0,0.0,0.0
8466db5ffffffff,2.0,0.0,0.0,0.0
8466dc3ffffffff,544.0,53.0,0.0,0.0
8466dc7ffffffff,33.0,0.0,0.0,0.0
8466dc9ffffffff,1.0,0.0,0.0,0.0
8466dcbffffffff,27.0,2.0,0.0,0.0
8466dcdffffffff,2.0,0.0,0.0,0.0
8466dd1ffffffff,5.0,0.0,0.0,0.0
8466dd3ffffffff,5.0,0.0,0.0,0.0
8466dd5ffffffff,52.0,2.0,0.0,0.0
8466dd9ffffffff,4.0,0.0,0.0,0.0
8466ddbffffffff,1.0,0.0,0.0,0.0
8466dddffffffff,15.0,11.0,0.0,0.0
8466de1ffffffff,7.0,7.0,0.0,0.0
8466de3ffffffff,40.0,3.0,0.0,0.0
8466de7ffffffff,2.0,0.0,0.0,0.0
8466debffffffff,16.0,0.0,0.0,0.0
8466e1dffffffff,4.0,0.0,0.0,0.0
8466e81ffffffff,4.0,0.0,0.0,0.0
8466e8dffffffff,2.0,0.0,0.0,0.0
8466eadffffffff,7.0,0.0,0.0,0.0
8466ec1ffffffff,1.0,0.0,0.0,0.0
8466ec7ffffffff,9.0,0.0,0.0,0.0
8466ec9ffffffff,4.0,0.0,0.0,0.0
8466ecbffffffff,8.0,0.0,0.0,0.0
8466ee5ffffffff,14.0,4.0,0.0,0.0
8466eedffffffff,4.0,0.0,0.0,0.0
848a003ffffffff,1.0,0.0,0.0,0.0
848a00bffffffff,4.0,0.0,0.0,2.0
848a01dffffffff,4.0,0.0,0.0,4.0
848a051ffffffff,11.0,0.0,0.0,5.0
848a053ffffffff,2.0,0.0,0.0,2.0
848a059ffffffff,44.0,0.0,0.0,35.0
848a05bffffffff,21.0,0.0,0.0,12.0
848a1a1ffffffff,2.0,0.0,0.0,2.0
848a1a7ffffffff,4.0,0.0,0.0,0.0
848a213ffffffff,1.0,0.0,0.0,0.0
848a451ffffffff,3.0,0.0,0.0,0.0
848a459ffffffff,7.0,1.0,0.0,0.0
848a45bffffffff,13.0,1.0,0.0,0.0
848a45dffffffff,22.0,0.0,0.0,0.0
848a4b9ffffffff,3.0,0.0,0.0,0.0
848a525ffffffff,3.0,0.0,0.0,0.0
848a699ffffffff,72.0,0.0,0.0,0.0
848a69dffffffff,1.0,0.0,0.0,0.0
848a6d7ffffffff,2.0,0.0,0.0,0.0
848a6d9ffffffff,2.0,0.0,0.0,0.0
848a6dbffffffff,80.0,0.0,0.0,0.0
848a73dffffffff,4.0,0.0,0.0,0.0
848aa93ffffffff,3.0,0.0,0.0,3.0
848aa97ffffffff,3.0,0.0,0.0,0.0
848ad89ffffffff,9.0,3.0,0.0,0.0
848ae5bffffffff,7.0,0.0,0.0,0.0
848af09ffffffff,29.0,0.0,1.0,0.0
848af41ffffffff,7.0,0.0,1.0,0.0
848af43ffffffff,2.0,0.0,2.0,0.0
848af45ffffffff,21.0,0.0,2.0,0.0
848af4dffffffff,5.0,0.0,0.0,5.0
848af69ffffffff,1.0,0.0,0.0,0.0
848b401ffffffff,9.0,0.0,0.0,0.0
848b40bffffffff,2.0,0.0,0.0,0.0
848b40dffffffff,14.0,0.0,0.0,1.0
848b429ffffffff,1.0,0.0,0.0,0.0
848b42dffffffff,2.0,0.0,0.0,2.0
848b445ffffffff,4.0,0.0,0.0,0.0
848b447ffffffff,6.0,0.0,0.0,1.0
848b449ffffffff,6.0,0.0,0.0,0.0
848b44bffffffff,55.0,0.0,0.0,10.0
848b44dffffffff,62.0,0.0,0.0,0.0
848b459ffffffff,7.0,0.0,0.0,0.0
848b463ffffffff,1.0,0.0,0.0,1.0
848b469ffffffff,8.0,0.0,0.0,0.0
848b46bffffffff,2.0,0.0,0.0,0.0
848b4adffffffff,1.0,0.0,0.0,1.0
848b511ffffffff,5.0,0.0,0.0,0.0
848b52bffffffff,1.0,0.0,0.0,1.0
848b52dffffffff,1.0,0.0,0.0,1.0
848b567ffffffff,2.0,0.0,0.0,0.0
848b5c3ffffffff,2.0,0.0,0.0,2.0
848b5cdffffffff,11.0,0.0,0.0,11.0
848b617ffffffff,14.0,0.0,0.0,0.0
848b623ffffffff,8.0,0.0,0.0,1.0
848b627ffffffff,18.0,0.0,0.0,0.0
848b631ffffffff,1.0,0.0,0.0,1.0
848b633ffffffff,5.0,0.0,0.0,0.0
848b635ffffffff,6.0,0.0,0.0,4.0
848b637ffffffff,82.0,0.0,0.0,3.0
848b639ffffffff,2.0,0.0,0.0,0.0
848b63bffffffff,22.0,0.0,0.0,1.0
848b63dffffffff,3.0,0.0,0.0,0.0
848b683ffffffff,3.0,0.0,0.0,0.0
848b691ffffffff,1.0,0.0,0.0,0.0
848b693ffffffff,8.0,0.0,0.0,0.0
848b69bffffffff,3.0,0.0,0.0,0.0
848b6c3ffffffff,1.0,0.0,0.0,0.0
848b6c7ffffffff,2.0,0.0,0.0,0.0
848b6e5ffffffff,10.0,0.0,0.0,4.0
848b6e7ffffffff,44.0,0.0,0.0,0.0
848b6edffffffff,11.0,0.0,0.0,0.0
