cell_id,Cinnyris oustaleti,Cinnyris oustaleti oustaleti,Cinnyris oustaleti rhodesiae
8483151ffffffff,1.0,1.0,0.0
848320dffffffff,1.0,0.0,0.0
8483263ffffffff,30.0,15.0,0.0
8483305ffffffff,7.0,5.0,0.0
848332bffffffff,4.0,4.0,0.0
8483331ffffffff,2.0,1.0,0.0
8483335ffffffff,2.0,1.0,0.0
8483337ffffffff,1.0,1.0,0.0
848333dffffffff,41.0,21.0,0.0
8496125ffffffff,1.0,0.0,0.0
8496127ffffffff,2.0,0.0,0.0
8496131ffffffff,3.0,0.0,0.0
849613dffffffff,1.0,0.0,0.0
8496a89ffffffff,2.0,0.0,0.0
8496ac3ffffffff,4.0,0.0,2.0
8496ac7ffffffff,3.0,0.0,1.0
84ac999ffffffff,1.0,1.0,0.0
