cell_id,Pternistis afer,Pternistis afer cranchii/harterti,Pternistis afer [leucoparaeus Group],Pternistis afer afer,Pternistis afer castaneiventer
836a5afffffffff,3.0,0.0,0.0,0.0,0.0
836ac1fffffffff,5.0,0.0,0.0,0.0,0.0
836ac3fffffffff,801.0,79.0,0.0,0.0,0.0
836ac8fffffffff,7.0,0.0,0.0,0.0,0.0
836ac9fffffffff,11.0,0.0,0.0,0.0,0.0
836accfffffffff,3.0,0.0,0.0,0.0,0.0
836acefffffffff,719.0,49.0,0.0,0.0,0.0
836ad8fffffffff,69.0,0.0,0.0,0.0,0.0
836ad9fffffffff,2.0,0.0,0.0,0.0,0.0
836adcfffffffff,200.0,15.0,0.0,0.0,0.0
836addfffffffff,108.0,3.0,0.0,0.0,0.0
836adefffffffff,1.0,0.0,0.0,0.0,0.0
836ae8fffffffff,30.0,0.0,0.0,0.0,0.0
836aeafffffffff,22.0,0.0,0.0,0.0,0.0
836aebfffffffff,1.0,0.0,0.0,0.0,0.0
836aeefffffffff,13.0,0.0,0.0,0.0,0.0
837a4dfffffffff,1.0,0.0,0.0,0.0,0.0
837a68fffffffff,753.0,0.0,0.0,0.0,0.0
837a69fffffffff,3.0,0.0,0.0,0.0,0.0
837a6bfffffffff,30.0,0.0,0.0,0.0,0.0
837a6cfffffffff,6.0,0.0,0.0,0.0,0.0
837a6dfffffffff,111.0,0.0,0.0,0.0,0.0
837b48fffffffff,2.0,0.0,0.0,0.0,0.0
837b4afffffffff,1.0,0.0,0.0,0.0,0.0
837b6bfffffffff,4.0,0.0,0.0,0.0,0.0
838284fffffffff,1.0,0.0,0.0,0.0,0.0
8382a0fffffffff,8.0,0.0,0.0,0.0,0.0
8382e3fffffffff,10.0,0.0,0.0,0.0,0.0
838311fffffffff,5.0,0.0,0.0,1.0,0.0
838312fffffffff,4.0,0.0,0.0,0.0,0.0
838313fffffffff,3.0,0.0,0.0,0.0,0.0
838315fffffffff,5.0,0.0,0.0,0.0,0.0
83831efffffffff,6.0,0.0,0.0,0.0,0.0
838320fffffffff,9.0,0.0,0.0,0.0,0.0
838326fffffffff,2.0,0.0,0.0,0.0,0.0
838333fffffffff,9.0,0.0,0.0,0.0,0.0
838398fffffffff,26.0,0.0,0.0,0.0,0.0
8383acfffffffff,3.0,0.0,0.0,1.0,0.0
8383adfffffffff,2.0,0.0,0.0,0.0,0.0
839600fffffffff,1.0,0.0,0.0,0.0,0.0
839602fffffffff,23.0,3.0,0.0,0.0,0.0
839604fffffffff,2.0,1.0,0.0,0.0,0.0
839608fffffffff,4.0,0.0,0.0,0.0,0.0
839609fffffffff,1.0,0.0,0.0,0.0,0.0
83960bfffffffff,20.0,0.0,0.0,0.0,0.0
839614fffffffff,36.0,6.0,0.0,0.0,0.0
839615fffffffff,18.0,0.0,0.0,0.0,0.0
839620fffffffff,5.0,0.0,0.0,0.0,0.0
839621fffffffff,1.0,0.0,0.0,0.0,0.0
839623fffffffff,37.0,0.0,0.0,0.0,0.0
839628fffffffff,72.0,3.0,0.0,0.0,0.0
839629fffffffff,6.0,0.0,0.0,0.0,0.0
83962afffffffff,1.0,0.0,0.0,0.0,0.0
83962bfffffffff,78.0,4.0,0.0,0.0,0.0
83962cfffffffff,21.0,7.0,0.0,0.0,0.0
83962dfffffffff,16.0,0.0,0.0,0.0,0.0
83962efffffffff,7.0,1.0,0.0,0.0,0.0
839631fffffffff,4.0,0.0,0.0,0.0,0.0
839633fffffffff,79.0,14.0,0.0,0.0,0.0
839636fffffffff,3.0,0.0,0.0,0.0,0.0
839656fffffffff,1.0,0.0,0.0,0.0,0.0
839670fffffffff,1.0,0.0,0.0,0.0,0.0
839675fffffffff,12.0,0.0,0.0,0.0,0.0
839680fffffffff,2.0,0.0,0.0,0.0,0.0
839686fffffffff,2.0,0.0,0.0,0.0,0.0
83968cfffffffff,2.0,0.0,0.0,0.0,0.0
839690fffffffff,453.0,0.0,4.0,0.0,0.0
839692fffffffff,251.0,0.0,2.0,0.0,0.0
839693fffffffff,76.0,0.0,0.0,0.0,0.0
83969afffffffff,4.0,0.0,0.0,0.0,0.0
83969efffffffff,2.0,0.0,0.0,0.0,0.0
8396a0fffffffff,2.0,0.0,0.0,0.0,0.0
8396a2fffffffff,27.0,0.0,0.0,0.0,0.0
8396a3fffffffff,7.0,0.0,0.0,0.0,0.0
8396a5fffffffff,1.0,0.0,0.0,0.0,0.0
