cell_id,Turdus rufopalliatus,Turdus rufopalliatus rufopalliatus,Turdus rufopalliatus graysoni
834802fffffffff,147.0,2.0,0.0
834803fffffffff,1.0,0.0,0.0
834806fffffffff,54.0,0.0,0.0
834809fffffffff,34.0,0.0,0.0
83480afffffffff,697.0,0.0,0.0
83480efffffffff,45.0,4.0,0.0
834814fffffffff,14.0,0.0,0.0
834815fffffffff,74.0,0.0,0.0
834819fffffffff,2.0,0.0,0.0
83481dfffffffff,35.0,0.0,0.0
834830fffffffff,65.0,2.0,46.0
834832fffffffff,42.0,4.0,0.0
834833fffffffff,565.0,42.0,0.0
834834fffffffff,2.0,0.0,0.0
834836fffffffff,5539.0,366.0,175.0
834856fffffffff,3.0,0.0,0.0
8348e1fffffffff,5.0,0.0,0.0
8348e4fffffffff,34.0,0.0,0.0
8348e5fffffffff,21.0,0.0,0.0
8348ecfffffffff,3.0,0.0,0.0
834980fffffffff,887.0,0.0,0.0
834981fffffffff,64.0,0.0,0.0
834982fffffffff,100.0,4.0,0.0
834983fffffffff,184.0,7.0,0.0
834985fffffffff,103.0,0.0,0.0
834986fffffffff,213.0,71.0,0.0
834988fffffffff,41.0,0.0,0.0
83498cfffffffff,310.0,7.0,0.0
83498dfffffffff,2.0,2.0,0.0
83498efffffffff,92.0,0.0,0.0
834991fffffffff,8.0,0.0,0.0
834994fffffffff,467.0,0.0,0.0
834995fffffffff,5016.0,542.0,0.0
83499cfffffffff,1.0,0.0,0.0
8349a1fffffffff,1.0,0.0,0.0
8349a2fffffffff,119.0,10.0,0.0
8349a3fffffffff,35.0,1.0,0.0
8349a8fffffffff,1358.0,28.0,0.0
8349a9fffffffff,2441.0,135.0,0.0
8349aafffffffff,853.0,58.0,0.0
8349abfffffffff,466.0,27.0,0.0
8349adfffffffff,37.0,4.0,0.0
8349aefffffffff,27.0,0.0,0.0
8349b0fffffffff,71.0,2.0,0.0
8349b1fffffffff,15.0,0.0,0.0
8349b2fffffffff,110.0,2.0,0.0
8349b3fffffffff,1976.0,27.0,0.0
8349b4fffffffff,6.0,0.0,0.0
8349b5fffffffff,168.0,16.0,0.0
8349b6fffffffff,26.0,1.0,0.0
836d06fffffffff,29.0,2.0,0.0
836d14fffffffff,113.0,27.0,0.0
836d15fffffffff,888.0,138.0,0.0
836d30fffffffff,39.0,4.0,0.0
836d31fffffffff,97.0,0.0,0.0
836d32fffffffff,1431.0,112.0,0.0
836d33fffffffff,286.0,29.0,0.0
836d36fffffffff,30.0,0.0,0.0
