cell_id,Junco phaeonotus,Junco phaeonotus phaeonotus/palliatus,Junco phaeonotus fulvescens,Junco phaeonotus alticola
8326f0fffffffff,27.0,0.0,0.0,0.0
834814fffffffff,1.0,1.0,0.0,0.0
834819fffffffff,1.0,1.0,0.0,0.0
834833fffffffff,6.0,4.0,0.0,0.0
8348a2fffffffff,1.0,1.0,0.0,0.0
8348c0fffffffff,11.0,0.0,0.0,0.0
8348c1fffffffff,4.0,0.0,0.0,0.0
8348c5fffffffff,117.0,22.0,0.0,0.0
8348c6fffffffff,16.0,0.0,0.0,0.0
8348d4fffffffff,2.0,0.0,0.0,0.0
8348dcfffffffff,2.0,0.0,0.0,0.0
8348e3fffffffff,29.0,0.0,0.0,0.0
8348e8fffffffff,275.0,9.0,0.0,0.0
8348eafffffffff,42.0,0.0,0.0,0.0
8348ebfffffffff,39.0,0.0,0.0,0.0
8348ecfffffffff,4.0,0.0,0.0,0.0
8348eefffffffff,35.0,1.0,0.0,0.0
8348f5fffffffff,2.0,0.0,0.0,0.0
834983fffffffff,5.0,0.0,0.0,0.0
834986fffffffff,9.0,9.0,0.0,0.0
834990fffffffff,8.0,0.0,0.0,0.0
834991fffffffff,2.0,2.0,0.0,0.0
834994fffffffff,12.0,0.0,0.0,0.0
834995fffffffff,36.0,6.0,0.0,0.0
834996fffffffff,16.0,0.0,0.0,0.0
83499bfffffffff,2.0,0.0,0.0,0.0
8349a8fffffffff,1.0,1.0,0.0,0.0
8349b2fffffffff,1.0,0.0,0.0,0.0
8349b3fffffffff,2.0,2.0,0.0,0.0
836d21fffffffff,1.0,0.0,1.0,0.0
836d28fffffffff,52.0,0.0,0.0,20.0
836d29fffffffff,6.0,0.0,0.0,0.0
836d2afffffffff,8.0,0.0,0.0,2.0
836d30fffffffff,2.0,2.0,0.0,0.0
836d32fffffffff,11.0,3.0,0.0,0.0
