cell_id,Batis margaritae,Batis margaritae margaritae,Batis margaritae kathleenae
828337fffffffff,13.0,9.0,0.0
829607fffffffff,8.0,0.0,3.0
82960ffffffffff,11.0,0.0,2.0
829657fffffffff,11.0,0.0,0.0
829677fffffffff,29.0,0.0,1.0
