cell_id,Dryoscopus cubla,Dryoscopus cubla affinis,Dryoscopus cubla [cubla Group]
836ac9fffffffff,31.0,0.0,0.0
836ad8fffffffff,4.0,0.0,0.0
836adcfffffffff,21.0,0.0,0.0
836addfffffffff,4.0,0.0,0.0
837a40fffffffff,31.0,0.0,0.0
837a41fffffffff,5.0,0.0,0.0
837a44fffffffff,2.0,0.0,0.0
837a45fffffffff,198.0,0.0,0.0
837a60fffffffff,104.0,0.0,0.0
837a61fffffffff,54.0,0.0,0.0
837a63fffffffff,23.0,0.0,0.0
837a64fffffffff,59.0,0.0,0.0
837a65fffffffff,245.0,0.0,0.0
837a66fffffffff,4.0,0.0,0.0
837a68fffffffff,392.0,0.0,0.0
837a6afffffffff,84.0,0.0,0.0
837a6bfffffffff,11.0,0.0,0.0
837a6cfffffffff,2.0,0.0,0.0
837a6dfffffffff,82.0,0.0,0.0
837a6efffffffff,634.0,0.0,0.0
837a74fffffffff,2.0,0.0,0.0
837a75fffffffff,3.0,0.0,0.0
837b48fffffffff,88.0,0.0,0.0
837b4afffffffff,70.0,0.0,0.0
837b4bfffffffff,87.0,0.0,0.0
837b4cfffffffff,2.0,0.0,0.0
837b4dfffffffff,16.0,0.0,0.0
837b59fffffffff,253.0,0.0,0.0
837b5bfffffffff,13.0,0.0,0.0
837b68fffffffff,6.0,0.0,0.0
837b6afffffffff,9.0,0.0,0.0
837b6bfffffffff,41.0,0.0,0.0
837b6dfffffffff,1.0,0.0,0.0
838311fffffffff,12.0,0.0,0.0
838312fffffffff,11.0,0.0,0.0
838315fffffffff,4.0,0.0,0.0
83831efffffffff,13.0,0.0,0.0
838320fffffffff,6.0,0.0,0.0
838326fffffffff,10.0,0.0,0.0
838330fffffffff,2.0,0.0,0.0
838333fffffffff,13.0,0.0,0.0
838386fffffffff,2.0,0.0,0.0
8383acfffffffff,2.0,0.0,0.0
8383adfffffffff,9.0,0.0,0.0
839600fffffffff,36.0,0.0,0.0
839601fffffffff,34.0,0.0,0.0
839602fffffffff,22.0,0.0,0.0
839603fffffffff,6.0,0.0,0.0
839604fffffffff,10.0,0.0,0.0
839605fffffffff,7.0,0.0,0.0
839608fffffffff,4.0,0.0,0.0
839609fffffffff,28.0,0.0,0.0
83960afffffffff,2.0,0.0,0.0
83960bfffffffff,12.0,0.0,0.0
83960cfffffffff,2.0,0.0,0.0
83960efffffffff,11.0,0.0,0.0
839610fffffffff,1.0,0.0,0.0
839614fffffffff,34.0,0.0,0.0
839615fffffffff,25.0,0.0,0.0
839620fffffffff,87.0,0.0,0.0
839621fffffffff,41.0,0.0,0.0
839622fffffffff,18.0,0.0,0.0
839623fffffffff,220.0,0.0,0.0
839624fffffffff,8.0,0.0,0.0
839625fffffffff,1.0,0.0,0.0
839626fffffffff,44.0,0.0,0.0
839628fffffffff,89.0,0.0,0.0
839629fffffffff,9.0,0.0,0.0
83962bfffffffff,68.0,0.0,0.0
83962cfffffffff,122.0,0.0,0.0
83962dfffffffff,24.0,0.0,0.0
83962efffffffff,49.0,0.0,0.0
839631fffffffff,2.0,0.0,0.0
839633fffffffff,84.0,0.0,0.0
839636fffffffff,31.0,0.0,0.0
839646fffffffff,4.0,0.0,0.0
839656fffffffff,7.0,0.0,0.0
839662fffffffff,1.0,0.0,0.0
839666fffffffff,3.0,0.0,0.0
839668fffffffff,1.0,0.0,0.0
839670fffffffff,16.0,0.0,0.0
839672fffffffff,3.0,0.0,0.0
839675fffffffff,5.0,0.0,0.0
839680fffffffff,2.0,0.0,0.0
839683fffffffff,2.0,0.0,0.0
839686fffffffff,5.0,0.0,0.0
83968cfffffffff,2.0,0.0,0.0
83968dfffffffff,2.0,0.0,0.0
839690fffffffff,68.0,0.0,0.0
839692fffffffff,563.0,0.0,0.0
839693fffffffff,337.0,0.0,0.0
83969afffffffff,31.0,0.0,0.0
8396a0fffffffff,4.0,0.0,0.0
8396a2fffffffff,8.0,0.0,0.0
8396a3fffffffff,21.0,0.0,0.0
8396a5fffffffff,4.0,0.0,0.0
8396a8fffffffff,16.0,0.0,0.0
8396aafffffffff,2.0,0.0,0.0
8396abfffffffff,2.0,0.0,0.0
8396acfffffffff,2.0,0.0,0.0
8396adfffffffff,1.0,0.0,0.0
8396b0fffffffff,60.0,0.0,0.0
8396b1fffffffff,176.0,0.0,0.0
8396b2fffffffff,16.0,0.0,0.0
8396b4fffffffff,25.0,0.0,0.0
8396b5fffffffff,34.0,0.0,0.0
8396b6fffffffff,66.0,0.0,0.0
8396e4fffffffff,2.0,0.0,0.0
839701fffffffff,22.0,0.0,0.0
839702fffffffff,107.0,0.0,0.0
839703fffffffff,134.0,0.0,0.0
839705fffffffff,17.0,0.0,0.0
839706fffffffff,6.0,0.0,0.0
839708fffffffff,1.0,0.0,0.0
83970afffffffff,9.0,0.0,0.0
83970cfffffffff,27.0,0.0,0.0
83970dfffffffff,8.0,0.0,0.0
839710fffffffff,91.0,0.0,0.0
839711fffffffff,492.0,0.0,0.0
839713fffffffff,35.0,0.0,0.0
839715fffffffff,44.0,0.0,0.0
839719fffffffff,109.0,0.0,0.0
83971bfffffffff,3.0,0.0,0.0
83971cfffffffff,115.0,0.0,0.0
83971dfffffffff,17.0,0.0,0.0
839721fffffffff,9.0,0.0,0.0
839724fffffffff,18.0,0.0,0.0
839725fffffffff,12.0,0.0,0.0
839728fffffffff,195.0,0.0,0.0
839729fffffffff,66.0,0.0,0.0
83972afffffffff,7.0,0.0,0.0
83972cfffffffff,299.0,0.0,2.0
83972dfffffffff,115.0,0.0,1.0
83972efffffffff,357.0,0.0,0.0
839731fffffffff,20.0,0.0,0.0
839735fffffffff,31.0,0.0,0.0
839740fffffffff,5.0,0.0,0.0
839741fffffffff,81.0,0.0,0.0
839743fffffffff,108.0,0.0,0.0
839744fffffffff,5.0,0.0,0.0
839746fffffffff,1.0,0.0,0.0
