cell_id,Asio otus,Asio otus wilsonianus/tuftsi,Asio otus otus/canariensis
820747fffffffff,2.0,0.0,0.0
820767fffffffff,2.0,0.0,0.0
820887fffffffff,2.0,0.0,0.0
82089ffffffffff,2.0,0.0,2.0
820e4ffffffffff,8.0,0.0,0.0
820e87fffffffff,3.0,0.0,0.0
820ecffffffffff,2.0,0.0,0.0
820edffffffffff,2.0,0.0,0.0
820eeffffffffff,15.0,0.0,0.0
821137fffffffff,1.0,0.0,1.0
821187fffffffff,1.0,0.0,1.0
82118ffffffffff,1.0,0.0,1.0
8211affffffffff,7.0,0.0,7.0
821257fffffffff,4.0,4.0,0.0
82125ffffffffff,1.0,0.0,0.0
8212affffffffff,2.0,0.0,0.0
8212c7fffffffff,1.0,0.0,0.0
8212cffffffffff,9.0,0.0,0.0
8212dffffffffff,2.0,0.0,0.0
8212effffffffff,2.0,0.0,0.0
8212f7fffffffff,9.0,0.0,0.0
82138ffffffffff,2.0,0.0,0.0
8214b7fffffffff,1.0,0.0,0.0
82165ffffffffff,2.0,0.0,2.0
821827fffffffff,1.0,0.0,0.0
82184ffffffffff,20.0,0.0,0.0
82185ffffffffff,2.0,0.0,0.0
821867fffffffff,2.0,0.0,0.0
82194ffffffffff,2.0,0.0,0.0
821957fffffffff,7.0,0.0,0.0
82196ffffffffff,20.0,0.0,0.0
821aa7fffffffff,1.0,0.0,0.0
821e07fffffffff,39.0,0.0,4.0
821e0ffffffffff,13.0,0.0,0.0
821e1ffffffffff,17.0,0.0,0.0
821e27fffffffff,4.0,0.0,0.0
821e37fffffffff,9.0,0.0,0.0
821e5ffffffffff,2.0,0.0,0.0
821e6ffffffffff,4.0,0.0,0.0
821ea7fffffffff,4.0,0.0,0.0
821eb7fffffffff,7.0,0.0,0.0
821ec7fffffffff,2.0,0.0,0.0
821ecffffffffff,4.0,0.0,0.0
821ee7fffffffff,4.0,0.0,0.0
821f07fffffffff,2.0,0.0,0.0
821f1ffffffffff,1.0,0.0,0.0
821f27fffffffff,1.0,0.0,0.0
821f2ffffffffff,1.0,0.0,0.0
821f37fffffffff,4.0,0.0,2.0
821f57fffffffff,4.0,0.0,4.0
821f77fffffffff,2.0,0.0,0.0
821f8ffffffffff,9.0,0.0,0.0
821f9ffffffffff,2.0,0.0,0.0
82209ffffffffff,2.0,0.0,0.0
8220a7fffffffff,3.0,0.0,0.0
82240ffffffffff,1.0,0.0,0.0
8224e7fffffffff,2.0,0.0,0.0
822517fffffffff,1.0,0.0,1.0
82255ffffffffff,1.0,0.0,1.0
82264ffffffffff,2.0,0.0,0.0
822707fffffffff,1.0,0.0,0.0
82270ffffffffff,4.0,0.0,0.0
822727fffffffff,1.0,0.0,0.0
822767fffffffff,21.0,0.0,0.0
82276ffffffffff,15.0,0.0,0.0
822777fffffffff,5.0,0.0,0.0
8227a7fffffffff,13.0,0.0,0.0
8227b7fffffffff,3.0,0.0,0.0
8228d7fffffffff,1.0,0.0,0.0
8228dffffffffff,1.0,0.0,0.0
822a37fffffffff,1.0,0.0,0.0
822a87fffffffff,1.0,1.0,0.0
822aaffffffffff,1.0,0.0,0.0
822ab7fffffffff,325.0,2.0,0.0
822b07fffffffff,2.0,0.0,0.0
822b0ffffffffff,19.0,0.0,0.0
822b17fffffffff,18.0,0.0,0.0
822b1ffffffffff,2.0,0.0,0.0
822b27fffffffff,1.0,0.0,0.0
822b37fffffffff,9.0,0.0,0.0
822b87fffffffff,120.0,0.0,0.0
822b8ffffffffff,28.0,1.0,0.0
822b97fffffffff,14.0,0.0,0.0
822b9ffffffffff,326.0,11.0,0.0
822ba7fffffffff,25.0,0.0,0.0
