cell_id,Alaudala somalica,Alaudala somalica [somalica Group],Alaudala somalica athensis
847a401ffffffff,3.0,0.0,0.0
847a611ffffffff,3.0,0.0,1.0
847a61dffffffff,8.0,0.0,2.0
847a681ffffffff,7.0,0.0,4.0
847a683ffffffff,7.0,0.0,4.0
847a68bffffffff,2.0,0.0,2.0
847a6e1ffffffff,1.0,0.0,0.0
847a6ebffffffff,1.0,0.0,1.0
847ae85ffffffff,3.0,1.0,0.0
