cell_id,Pomatorhinus phayrei,Pomatorhinus phayrei phayrei/stanfordi,Pomatorhinus phayrei [albogularis Group]
843c5b1ffffffff,1.0,0.0,0.0
843c5b3ffffffff,1.0,1.0,0.0
843c5b7ffffffff,4.0,0.0,0.0
843c5bdffffffff,33.0,0.0,0.0
843cc03ffffffff,13.0,0.0,0.0
843cc11ffffffff,7.0,0.0,0.0
843cc31ffffffff,6.0,0.0,0.0
843cd8bffffffff,6.0,1.0,0.0
84404ddffffffff,183.0,1.0,0.0
84404e3ffffffff,1.0,0.0,0.0
84404e7ffffffff,3.0,0.0,0.0
8440591ffffffff,2.0,0.0,0.0
84406b1ffffffff,1.0,0.0,0.0
84406b7ffffffff,8.0,0.0,0.0
84414c3ffffffff,1.0,0.0,0.0
8441585ffffffff,1.0,0.0,0.0
844159bffffffff,2.0,0.0,1.0
84415c3ffffffff,12.0,0.0,0.0
8441651ffffffff,1.0,0.0,0.0
8441659ffffffff,2.0,0.0,0.0
84416a9ffffffff,1.0,0.0,0.0
84416adffffffff,1.0,0.0,0.0
846416dffffffff,3.0,0.0,0.0
846480bffffffff,5.0,0.0,1.0
8464821ffffffff,2.0,0.0,0.0
8464825ffffffff,1.0,0.0,1.0
846482bffffffff,4.0,0.0,0.0
846484bffffffff,1.0,0.0,0.0
8464911ffffffff,47.0,0.0,15.0
8464967ffffffff,1.0,0.0,0.0
8464983ffffffff,1.0,0.0,0.0
8464a35ffffffff,20.0,0.0,1.0
8464a3dffffffff,2.0,0.0,0.0
8464b03ffffffff,1.0,0.0,0.0
8469341ffffffff,3.0,0.0,0.0
8469345ffffffff,41.0,0.0,2.0
8469347ffffffff,2.0,0.0,2.0
846934dffffffff,22.0,0.0,10.0
