cell_id,Mixornis gularis,Mixornis gularis [gularis Group],Mixornis gularis woodi
823c17fffffffff,17.0,6.0,0.0
823c1ffffffffff,20.0,1.0,0.0
823c37fffffffff,2.0,0.0,0.0
823c5ffffffffff,5.0,0.0,0.0
823c8ffffffffff,50.0,0.0,0.0
823c97fffffffff,86.0,4.0,0.0
823caffffffffff,42.0,0.0,0.0
823cc7fffffffff,8.0,0.0,0.0
823ce7fffffffff,2.0,2.0,0.0
823ceffffffffff,1.0,0.0,0.0
823cf7fffffffff,7.0,0.0,0.0
823d17fffffffff,2.0,0.0,0.0
823daffffffffff,38.0,0.0,0.0
82415ffffffffff,2.0,2.0,0.0
82416ffffffffff,1.0,0.0,0.0
826037fffffffff,1.0,0.0,0.0
82648ffffffffff,1.0,0.0,0.0
8264b7fffffffff,1.0,1.0,0.0
826507fffffffff,447.0,4.0,0.0
82651ffffffffff,273.0,0.0,0.0
826527fffffffff,68.0,0.0,0.0
82659ffffffffff,1.0,1.0,0.0
82682ffffffffff,1.0,0.0,1.0
