cell_id,Monarcha frater,Monarcha frater frater,Monarcha frater kunupi/periophthalmicus,Monarcha frater canescens
8272a7fffffffff,54.0,0.0,0.0,0.0
8272d7fffffffff,13.0,0.0,0.0,0.0
8272dffffffffff,15.0,0.0,0.0,0.0
8272f7fffffffff,4.0,0.0,0.0,0.0
829c07fffffffff,75.0,0.0,0.0,0.0
829c1ffffffffff,230.0,0.0,0.0,0.0
829c87fffffffff,6.0,0.0,0.0,0.0
829c8ffffffffff,13.0,0.0,0.0,0.0
829c9ffffffffff,11.0,0.0,0.0,0.0
829ca7fffffffff,6.0,0.0,0.0,0.0
829caffffffffff,34.0,0.0,0.0,0.0
829cd7fffffffff,1.0,0.0,0.0,0.0
829cf7fffffffff,3.0,0.0,0.0,0.0
