cell_id,Rallus crepitans,Rallus crepitans crepitans/waynei,Rallus crepitans saturatus/scottii,Rallus crepitans [caribaeus Group],Rallus crepitans [pallidus Group]
822a17fffffffff,13672.0,1044.0,0.0,0.0,0.0
822a37fffffffff,331.0,23.0,0.0,0.0,0.0
822aaffffffffff,19817.0,1932.0,0.0,0.0,0.0
822ad7fffffffff,2688.0,14.0,0.0,0.0,0.0
822af7fffffffff,6231.0,647.0,0.0,0.0,0.0
824417fffffffff,594.0,0.0,0.0,0.0,0.0
82441ffffffffff,2283.0,0.0,220.0,0.0,0.0
824427fffffffff,6.0,0.0,0.0,0.0,0.0
824437fffffffff,43.0,0.0,0.0,2.0,0.0
824447fffffffff,811.0,0.0,0.0,0.0,0.0
824457fffffffff,7243.0,0.0,308.0,0.0,0.0
824467fffffffff,1408.0,0.0,0.0,0.0,0.0
82446ffffffffff,8205.0,0.0,958.0,0.0,0.0
824477fffffffff,3660.0,0.0,0.0,0.0,0.0
824487fffffffff,173.0,0.0,0.0,0.0,0.0
8244a7fffffffff,12.0,0.0,0.0,0.0,0.0
8244affffffffff,1161.0,91.0,11.0,0.0,0.0
8244b7fffffffff,213.0,0.0,0.0,0.0,0.0
8244d7fffffffff,16126.0,494.0,0.0,0.0,0.0
8244e7fffffffff,2855.0,0.0,282.0,0.0,0.0
8244f7fffffffff,11507.0,1331.0,2.0,0.0,0.0
824507fffffffff,796.0,0.0,0.0,0.0,64.0
82450ffffffffff,1046.0,0.0,0.0,0.0,264.0
82451ffffffffff,5.0,0.0,0.0,0.0,0.0
824527fffffffff,270.0,0.0,0.0,0.0,14.0
824577fffffffff,196.0,0.0,0.0,0.0,85.0
824587fffffffff,6.0,0.0,0.0,3.0,0.0
82458ffffffffff,477.0,0.0,0.0,226.0,0.0
824597fffffffff,16.0,0.0,0.0,10.0,0.0
82459ffffffffff,414.0,0.0,0.0,188.0,0.0
8245b7fffffffff,10.0,0.0,0.0,0.0,0.0
824897fffffffff,3562.0,0.0,216.0,0.0,0.0
8248b7fffffffff,3636.0,0.0,695.0,0.0,0.0
824c87fffffffff,51.0,0.0,0.0,0.0,0.0
824c8ffffffffff,330.0,0.0,0.0,4.0,0.0
824c97fffffffff,92.0,0.0,0.0,0.0,0.0
824c9ffffffffff,30.0,0.0,0.0,3.0,0.0
824caffffffffff,24.0,0.0,0.0,0.0,0.0
824cb7fffffffff,61.0,0.0,0.0,0.0,0.0
824cc7fffffffff,975.0,0.0,0.0,145.0,0.0
824cd7fffffffff,107.0,0.0,0.0,41.0,0.0
824ceffffffffff,540.0,0.0,0.0,36.0,0.0
824cf7fffffffff,37.0,0.0,0.0,0.0,0.0
825e5ffffffffff,24.0,0.0,0.0,0.0,0.0
826727fffffffff,49.0,0.0,0.0,1.0,0.0
826737fffffffff,55.0,0.0,0.0,1.0,0.0
