cell_id,Alectoris graeca,Alectoris graeca [graeca Group],Alectoris graeca whitakeri
831e16fffffffff,12.0,0.0,0.0
831e80fffffffff,9.0,0.0,0.0
831e81fffffffff,1.0,0.0,0.0
831e85fffffffff,1.0,0.0,0.0
831e8dfffffffff,8.0,0.0,0.0
831e9bfffffffff,1.0,0.0,1.0
831ea8fffffffff,54.0,0.0,0.0
831ea9fffffffff,2.0,0.0,0.0
831eabfffffffff,18.0,0.0,0.0
831eacfffffffff,35.0,0.0,0.0
831eaefffffffff,36.0,0.0,0.0
831ec0fffffffff,2.0,0.0,0.0
831ec1fffffffff,2.0,0.0,0.0
831ec2fffffffff,16.0,0.0,0.0
831ec3fffffffff,19.0,3.0,0.0
831ec4fffffffff,3.0,0.0,0.0
831ec5fffffffff,2.0,0.0,0.0
831ed0fffffffff,20.0,0.0,0.0
831ed1fffffffff,2.0,2.0,0.0
831ed3fffffffff,7.0,2.0,0.0
831ed5fffffffff,11.0,0.0,0.0
831ed6fffffffff,2.0,0.0,0.0
831edafffffffff,2.0,0.0,0.0
831edcfffffffff,2.0,0.0,0.0
831edefffffffff,4.0,0.0,0.0
831ef2fffffffff,4.0,0.0,0.0
831ef3fffffffff,1.0,0.0,0.0
831ef6fffffffff,8.0,0.0,0.0
831f8afffffffff,3.0,0.0,0.0
831f8bfffffffff,3.0,0.0,0.0
831f98fffffffff,2.0,0.0,0.0
831f99fffffffff,1.0,0.0,0.0
831f9afffffffff,6.0,0.0,0.0
831f9cfffffffff,11.0,0.0,0.0
831f9efffffffff,25.0,0.0,0.0
83396dfffffffff,3.0,0.0,0.0
833f26fffffffff,1.0,0.0,0.0
833f29fffffffff,1.0,0.0,0.0
833f2bfffffffff,5.0,0.0,0.0
833f2cfffffffff,5.0,0.0,0.0
833f2dfffffffff,29.0,2.0,0.0
833f34fffffffff,1.0,0.0,0.0
833f35fffffffff,2.0,0.0,0.0
