cell_id,Megascops asio,Megascops asio [asio Group],Megascops asio mccallii
82260ffffffffff,2.0,0.0,0.0
822617fffffffff,1.0,0.0,0.0
822627fffffffff,3.0,0.0,0.0
822647fffffffff,11.0,0.0,0.0
82264ffffffffff,46.0,16.0,0.0
822657fffffffff,20.0,0.0,0.0
82265ffffffffff,12.0,0.0,0.0
822667fffffffff,10.0,0.0,0.0
82266ffffffffff,4.0,0.0,0.0
822687fffffffff,8.0,0.0,0.0
82268ffffffffff,15.0,0.0,0.0
8226a7fffffffff,3.0,0.0,0.0
8226affffffffff,10.0,0.0,0.0
8226c7fffffffff,3.0,0.0,0.0
8226cffffffffff,1.0,0.0,0.0
8226d7fffffffff,5.0,0.0,0.0
8226effffffffff,4.0,0.0,0.0
8226f7fffffffff,25.0,0.0,0.0
82271ffffffffff,9.0,2.0,0.0
822747fffffffff,8.0,4.0,0.0
82274ffffffffff,52.0,0.0,0.0
822757fffffffff,46.0,1.0,0.0
82275ffffffffff,42.0,0.0,0.0
82276ffffffffff,4.0,0.0,0.0
822787fffffffff,7.0,0.0,0.0
82278ffffffffff,3.0,0.0,0.0
822797fffffffff,12.0,0.0,0.0
82279ffffffffff,1.0,0.0,0.0
8227a7fffffffff,3.0,0.0,0.0
8227affffffffff,4.0,0.0,0.0
8227b7fffffffff,2.0,0.0,0.0
822a17fffffffff,941.0,24.0,0.0
822a37fffffffff,112.0,11.0,0.0
822a87fffffffff,5.0,0.0,0.0
822a8ffffffffff,6.0,0.0,0.0
822aa7fffffffff,19.0,0.0,0.0
822aaffffffffff,180.0,4.0,0.0
822ab7fffffffff,99.0,17.0,0.0
822ad7fffffffff,1.0,1.0,0.0
822af7fffffffff,2.0,0.0,0.0
822b87fffffffff,23.0,0.0,0.0
822b8ffffffffff,60.0,9.0,0.0
822b9ffffffffff,31.0,2.0,0.0
822baffffffffff,292.0,6.0,0.0
824417fffffffff,7.0,0.0,0.0
82441ffffffffff,12.0,2.0,0.0
824447fffffffff,10.0,0.0,0.0
82444ffffffffff,2.0,0.0,0.0
82445ffffffffff,4.0,0.0,0.0
82446ffffffffff,6.0,6.0,0.0
8244a7fffffffff,6.0,0.0,0.0
8244c7fffffffff,69.0,0.0,0.0
8244cffffffffff,14.0,0.0,0.0
8244d7fffffffff,21.0,0.0,0.0
8244dffffffffff,4.0,0.0,0.0
8244f7fffffffff,2.0,0.0,0.0
824887fffffffff,9.0,0.0,9.0
82488ffffffffff,18.0,0.0,7.0
824897fffffffff,17.0,0.0,5.0
82489ffffffffff,33.0,0.0,10.0
8248affffffffff,3.0,0.0,0.0
8248b7fffffffff,39.0,0.0,37.0
8248d7fffffffff,3.0,0.0,0.0
