cell_id,Atimastillas flavigula,Atimastillas flavigula soror,Atimastillas flavigula flavigula
83529bfffffffff,1.0,0.0,0.0
8358d2fffffffff,1.0,0.0,0.0
8358d3fffffffff,3.0,0.0,0.0
8358dbfffffffff,3.0,0.0,0.0
8358defffffffff,11.0,0.0,0.0
836ac0fffffffff,20.0,0.0,3.0
836ac1fffffffff,112.0,0.0,12.0
836ac3fffffffff,47.0,0.0,11.0
836ac5fffffffff,1.0,0.0,0.0
836ac8fffffffff,238.0,0.0,30.0
836ac9fffffffff,20.0,0.0,0.0
836acafffffffff,2.0,0.0,0.0
836accfffffffff,14.0,0.0,1.0
836acdfffffffff,21.0,0.0,4.0
836acefffffffff,160.0,0.0,13.0
836ad8fffffffff,67.0,0.0,0.0
836ad9fffffffff,4.0,0.0,0.0
836adcfffffffff,301.0,0.0,10.0
836addfffffffff,26.0,0.0,0.0
836adefffffffff,111.0,0.0,0.0
836ae0fffffffff,2.0,0.0,0.0
836ae1fffffffff,1.0,0.0,0.0
836ae8fffffffff,29.0,0.0,0.0
836aeafffffffff,90.0,0.0,6.0
836aebfffffffff,18.0,0.0,1.0
836aeefffffffff,10.0,0.0,0.0
837a48fffffffff,38.0,0.0,0.0
837a4cfffffffff,195.0,0.0,0.0
837a4dfffffffff,155.0,0.0,0.0
837a6bfffffffff,48.0,0.0,0.0
83821afffffffff,1.0,0.0,0.0
83828bfffffffff,21.0,2.0,0.0
83828efffffffff,1.0,0.0,0.0
8382a0fffffffff,13.0,0.0,0.0
8382a3fffffffff,3.0,0.0,0.0
8382a8fffffffff,13.0,0.0,0.0
8382a9fffffffff,6.0,0.0,0.0
8382aafffffffff,2.0,0.0,0.0
8382acfffffffff,1.0,0.0,0.0
8382d3fffffffff,1.0,0.0,0.0
838312fffffffff,17.0,0.0,4.0
838315fffffffff,2.0,0.0,0.0
838333fffffffff,6.0,0.0,0.0
8383a8fffffffff,2.0,0.0,2.0
8383adfffffffff,2.0,0.0,0.0
839600fffffffff,15.0,0.0,0.0
839601fffffffff,13.0,0.0,0.0
839602fffffffff,14.0,0.0,5.0
839604fffffffff,8.0,0.0,0.0
839608fffffffff,17.0,0.0,5.0
839609fffffffff,33.0,0.0,0.0
83960afffffffff,1.0,0.0,0.0
83960bfffffffff,8.0,0.0,0.0
839610fffffffff,3.0,0.0,0.0
839613fffffffff,3.0,0.0,0.0
839615fffffffff,5.0,0.0,2.0
839656fffffffff,2.0,0.0,0.0
839670fffffffff,1.0,0.0,0.0
839672fffffffff,2.0,0.0,0.0
839673fffffffff,1.0,0.0,0.0
83968cfffffffff,2.0,0.0,2.0
83969bfffffffff,3.0,0.0,1.0
8396edfffffffff,1.0,0.0,0.0
