cell_id,Phacellodomus rufifrons,Phacellodomus rufifrons [rufifrons Group],Phacellodomus rufifrons specularis
838106fffffffff,2.0,2.0,0.0
838110fffffffff,1.0,1.0,0.0
838114fffffffff,3.0,3.0,0.0
838131fffffffff,1.0,1.0,0.0
838133fffffffff,8.0,8.0,0.0
838185fffffffff,3.0,0.0,3.0
838b22fffffffff,4.0,4.0,0.0
838b74fffffffff,3.0,0.0,0.0
83a882fffffffff,1.0,1.0,0.0
83a88efffffffff,1.0,1.0,0.0
83a8d1fffffffff,2.0,2.0,0.0
83a94dfffffffff,3.0,0.0,0.0
83a94efffffffff,2.0,0.0,0.0
83b342fffffffff,4.0,0.0,0.0
83b349fffffffff,2.0,0.0,0.0
83b34cfffffffff,4.0,0.0,0.0
83b34dfffffffff,3.0,0.0,0.0
83b34efffffffff,2.0,0.0,0.0
83b351fffffffff,1.0,1.0,0.0
