cell_id,Pteroglossus inscriptus,Pteroglossus inscriptus humboldti,Pteroglossus inscriptus inscriptus
836641fffffffff,200.0,32.0,0.0
836652fffffffff,8.0,0.0,0.0
836653fffffffff,2.0,0.0,0.0
836654fffffffff,2.0,0.0,0.0
836656fffffffff,8.0,0.0,0.0
83665afffffffff,211.0,13.0,0.0
83665bfffffffff,61.0,0.0,0.0
83665efffffffff,1.0,0.0,0.0
836670fffffffff,1.0,0.0,0.0
8366c0fffffffff,175.0,2.0,0.0
8366c1fffffffff,6.0,0.0,0.0
8366c2fffffffff,807.0,7.0,0.0
8366c3fffffffff,5.0,0.0,0.0
8366c5fffffffff,29.0,0.0,0.0
8366c9fffffffff,5.0,0.0,0.0
8366cdfffffffff,2.0,0.0,0.0
8366cefffffffff,39.0,0.0,0.0
8366d1fffffffff,12.0,1.0,0.0
8366d8fffffffff,58.0,6.0,0.0
8366dafffffffff,3.0,0.0,0.0
8366dbfffffffff,7.0,0.0,0.0
8366dcfffffffff,510.0,42.0,0.0
8366ddfffffffff,66.0,6.0,0.0
8366defffffffff,178.0,5.0,0.0
8366e0fffffffff,282.0,0.0,0.0
8366e1fffffffff,301.0,0.0,0.0
8366e3fffffffff,35.0,0.0,0.0
8366e5fffffffff,1420.0,0.0,0.0
8366e8fffffffff,15.0,0.0,0.0
8366e9fffffffff,7.0,0.0,0.0
8366eafffffffff,9.0,0.0,0.0
8366ecfffffffff,191.0,0.0,0.0
8366eefffffffff,59.0,0.0,0.0
838005fffffffff,7.0,0.0,0.0
83800cfffffffff,2.0,0.0,0.0
838029fffffffff,3.0,0.0,0.0
83802bfffffffff,5.0,0.0,0.0
838044fffffffff,15.0,0.0,0.0
838046fffffffff,81.0,0.0,0.0
838054fffffffff,2.0,0.0,0.0
838061fffffffff,4.0,0.0,0.0
838065fffffffff,21.0,0.0,0.0
838066fffffffff,2.0,0.0,0.0
838071fffffffff,17.0,0.0,0.0
838073fffffffff,3.0,0.0,0.0
838140fffffffff,8.0,0.0,0.0
838141fffffffff,2.0,0.0,0.0
838142fffffffff,3.0,0.0,0.0
838143fffffffff,7.0,0.0,0.0
838145fffffffff,4.0,0.0,2.0
838146fffffffff,7.0,0.0,0.0
83814afffffffff,101.0,0.0,0.0
83814bfffffffff,1.0,0.0,0.0
83814dfffffffff,58.0,0.0,0.0
83814efffffffff,45.0,0.0,0.0
838158fffffffff,1.0,0.0,0.0
838159fffffffff,7.0,0.0,0.0
83815afffffffff,5.0,0.0,0.0
83815cfffffffff,5.0,0.0,3.0
83815dfffffffff,34.0,0.0,0.0
83815efffffffff,3.0,0.0,0.0
838162fffffffff,6.0,0.0,0.0
838163fffffffff,47.0,0.0,4.0
838166fffffffff,2.0,0.0,0.0
838171fffffffff,38.0,0.0,11.0
838180fffffffff,15.0,0.0,0.0
838181fffffffff,107.0,0.0,0.0
838183fffffffff,4.0,0.0,0.0
838185fffffffff,23.0,0.0,0.0
838a00fffffffff,6.0,0.0,0.0
838a05fffffffff,15.0,0.0,0.0
838a10fffffffff,2.0,0.0,0.0
838a13fffffffff,1.0,0.0,0.0
838a21fffffffff,2.0,0.0,0.0
838a23fffffffff,3.0,0.0,0.0
838a24fffffffff,2.0,0.0,0.0
838a25fffffffff,2.0,0.0,0.0
838a31fffffffff,1.0,0.0,0.0
838a45fffffffff,78.0,0.0,0.0
838a48fffffffff,3.0,0.0,0.0
838a4bfffffffff,2.0,0.0,0.0
838a5afffffffff,1.0,0.0,0.0
838a63fffffffff,10.0,1.0,2.0
838a68fffffffff,11.0,0.0,0.0
838a69fffffffff,88.0,0.0,0.0
838a6dfffffffff,176.0,0.0,0.0
838a6efffffffff,2.0,0.0,0.0
838a80fffffffff,16.0,0.0,0.0
838a82fffffffff,4.0,0.0,0.0
838a83fffffffff,1.0,0.0,0.0
838a85fffffffff,2.0,0.0,0.0
838a92fffffffff,3.0,0.0,0.0
838a9cfffffffff,17.0,0.0,0.0
838aa8fffffffff,1.0,0.0,0.0
838aa9fffffffff,3.0,0.0,0.0
838aabfffffffff,7.0,0.0,0.0
838aadfffffffff,4.0,0.0,0.0
838ae5fffffffff,21.0,0.0,0.0
838af0fffffffff,3.0,0.0,0.0
838af4fffffffff,10.0,0.0,0.0
838b0cfffffffff,5.0,0.0,0.0
838b0efffffffff,1.0,0.0,0.0
838b10fffffffff,5.0,0.0,0.0
838b11fffffffff,9.0,0.0,0.0
838b1cfffffffff,4.0,0.0,0.0
838b1dfffffffff,5.0,0.0,0.0
838b1efffffffff,1.0,0.0,0.0
838b22fffffffff,22.0,0.0,0.0
838b2efffffffff,4.0,0.0,0.0
838b40fffffffff,11.0,0.0,0.0
838b42fffffffff,2.0,0.0,0.0
838b44fffffffff,74.0,0.0,0.0
838b45fffffffff,3.0,0.0,0.0
838b46fffffffff,2.0,0.0,0.0
838b4efffffffff,4.0,0.0,0.0
838b51fffffffff,10.0,0.0,0.0
838b53fffffffff,1.0,0.0,0.0
838b56fffffffff,10.0,0.0,0.0
838b5cfffffffff,16.0,0.0,0.0
838b61fffffffff,5.0,0.0,0.0
838b62fffffffff,10.0,0.0,0.0
838b63fffffffff,33.0,3.0,0.0
838b6efffffffff,28.0,0.0,0.0
838b71fffffffff,92.0,0.0,0.0
838b74fffffffff,5.0,0.0,0.0
838b82fffffffff,3.0,0.0,0.0
838b83fffffffff,1.0,0.0,0.0
838b84fffffffff,58.0,0.0,0.0
838b88fffffffff,25.0,0.0,0.0
838b8afffffffff,2.0,0.0,0.0
838b98fffffffff,1.0,0.0,0.0
838b99fffffffff,75.0,0.0,0.0
838b9dfffffffff,328.0,0.0,0.0
838ba0fffffffff,34.0,0.0,0.0
838ba4fffffffff,8.0,0.0,0.0
838ba6fffffffff,37.0,0.0,0.0
