cell_id,Pyrrhula pyrrhula,Pyrrhula pyrrhula [pyrrhula Group],Pyrrhula pyrrhula [griseiventris Group]
8408127ffffffff,2.0,2.0,0.0
840880dffffffff,1.0,1.0,0.0
8408829ffffffff,2.0,2.0,0.0
8408a53ffffffff,4.0,4.0,0.0
840ca43ffffffff,12.0,0.0,0.0
840d5a9ffffffff,11.0,0.0,0.0
841106bffffffff,1.0,0.0,0.0
8411811ffffffff,8.0,8.0,0.0
8411813ffffffff,2.0,2.0,0.0
841181dffffffff,15.0,15.0,0.0
84118e9ffffffff,3.0,3.0,0.0
8411aa7ffffffff,8.0,8.0,0.0
8411ab1ffffffff,15.0,15.0,0.0
8411ab9ffffffff,4.0,4.0,0.0
8411ae3ffffffff,17.0,17.0,0.0
8411ae7ffffffff,12.0,12.0,0.0
841598bffffffff,8.0,2.0,2.0
8416507ffffffff,1.0,0.0,0.0
8418493ffffffff,2.0,2.0,0.0
8418495ffffffff,19.0,4.0,0.0
84184b1ffffffff,10.0,0.0,0.0
84184b3ffffffff,7.0,0.0,0.0
84184b7ffffffff,2.0,1.0,0.0
84184b9ffffffff,3.0,0.0,0.0
84184bbffffffff,35.0,6.0,0.0
8418593ffffffff,2.0,0.0,0.0
8418597ffffffff,2.0,0.0,0.0
84185b1ffffffff,1.0,0.0,0.0
84185b3ffffffff,9.0,4.0,0.0
84185bbffffffff,3.0,0.0,0.0
841873bffffffff,2.0,2.0,0.0
841972dffffffff,2.0,2.0,0.0
841e023ffffffff,2.0,2.0,0.0
841e037ffffffff,3.0,0.0,0.0
841e06dffffffff,2.0,0.0,0.0
841e0a9ffffffff,2.0,0.0,0.0
841e169ffffffff,2.0,2.0,0.0
841e1b3ffffffff,2.0,0.0,0.0
841e24bffffffff,1.0,1.0,0.0
841e2b7ffffffff,1.0,1.0,0.0
841e427ffffffff,3.0,0.0,0.0
841e465ffffffff,2.0,0.0,0.0
841e697ffffffff,2.0,0.0,0.0
841ec05ffffffff,3.0,0.0,0.0
841ec39ffffffff,2.0,2.0,0.0
841ec47ffffffff,5.0,0.0,0.0
841eda1ffffffff,2.0,0.0,0.0
841ee37ffffffff,2.0,0.0,0.0
841f131ffffffff,1.0,1.0,0.0
841f153ffffffff,2.0,2.0,0.0
841f1a1ffffffff,2.0,2.0,0.0
841f1a5ffffffff,32.0,32.0,0.0
