cell_id,Coracina javensis,Coracina javensis javensis,Coracina javensis [nipalensis Group],Coracina javensis rexpineti
823c07fffffffff,2.0,0.0,2.0,0.0
823c17fffffffff,14.0,0.0,11.0,0.0
823c1ffffffffff,15.0,0.0,1.0,0.0
823c37fffffffff,10.0,0.0,8.0,0.0
823c57fffffffff,5.0,0.0,0.0,0.0
823cc7fffffffff,12.0,0.0,0.0,0.0
823ce7fffffffff,10.0,0.0,1.0,0.0
823ceffffffffff,7.0,0.0,0.0,0.0
823cf7fffffffff,8.0,0.0,1.0,0.0
823d17fffffffff,10.0,0.0,0.0,0.0
823daffffffffff,12.0,0.0,0.0,0.0
82416ffffffffff,2.0,0.0,0.0,0.0
824187fffffffff,2.0,0.0,0.0,0.0
8241a7fffffffff,39.0,0.0,0.0,0.0
824b87fffffffff,15.0,0.0,0.0,0.0
824ba7fffffffff,115.0,0.0,1.0,0.0
824bb7fffffffff,147.0,0.0,4.0,0.0
826497fffffffff,1.0,0.0,0.0,0.0
8264a7fffffffff,2.0,0.0,0.0,0.0
82658ffffffffff,2.0,0.0,0.0,0.0
