cell_id,Synallaxis unirufa,Synallaxis unirufa unirufa,Synallaxis unirufa munoztebari,Synallaxis unirufa meridana,Synallaxis unirufa ochrogaster
826607fffffffff,1.0,0.0,0.0,0.0,0.0
82660ffffffffff,148.0,0.0,0.0,0.0,0.0
82661ffffffffff,2064.0,150.0,0.0,0.0,0.0
826627fffffffff,1185.0,0.0,354.0,0.0,0.0
82662ffffffffff,146.0,0.0,2.0,22.0,0.0
8266c7fffffffff,177.0,0.0,0.0,0.0,0.0
8266d7fffffffff,681.0,26.0,0.0,0.0,0.0
8266dffffffffff,642.0,15.0,0.0,0.0,0.0
8266e7fffffffff,1130.0,0.0,0.0,0.0,0.0
8266f7fffffffff,120.0,1.0,0.0,0.0,0.0
82675ffffffffff,65.0,0.0,0.0,0.0,0.0
828b67fffffffff,8.0,0.0,0.0,0.0,0.0
828b6ffffffffff,12.0,0.0,0.0,0.0,0.0
828e67fffffffff,125.0,0.0,0.0,0.0,0.0
828e6ffffffffff,2.0,0.0,0.0,0.0,0.0
828f0ffffffffff,6.0,0.0,0.0,0.0,0.0
828f2ffffffffff,14.0,0.0,0.0,0.0,0.0
828f47fffffffff,22.0,0.0,0.0,0.0,0.0
828f4ffffffffff,15.0,0.0,0.0,0.0,0.0
828f57fffffffff,120.0,0.0,0.0,0.0,0.0
828f5ffffffffff,146.0,0.0,0.0,0.0,0.0
828f77fffffffff,820.0,1.0,0.0,0.0,0.0
