cell_id,Picumnus squamulatus,Picumnus squamulatus [squamulatus Group],Picumnus squamulatus obsoletus
835f43fffffffff,2.0,0.0,2.0
835f48fffffffff,10.0,0.0,0.0
835f4afffffffff,50.0,0.0,32.0
835f4bfffffffff,6.0,0.0,1.0
835f5dfffffffff,5.0,0.0,5.0
836609fffffffff,30.0,0.0,0.0
83660bfffffffff,32.0,0.0,0.0
83660cfffffffff,66.0,0.0,0.0
83660dfffffffff,59.0,0.0,0.0
836620fffffffff,529.0,20.0,0.0
836621fffffffff,69.0,0.0,0.0
836622fffffffff,356.0,9.0,0.0
836623fffffffff,4.0,0.0,0.0
836629fffffffff,23.0,0.0,0.0
83662bfffffffff,47.0,0.0,0.0
83662dfffffffff,30.0,0.0,0.0
83662efffffffff,20.0,0.0,0.0
836650fffffffff,18.0,0.0,0.0
836652fffffffff,174.0,0.0,0.0
836654fffffffff,123.0,0.0,0.0
836656fffffffff,360.0,0.0,0.0
836664fffffffff,24.0,0.0,0.0
836670fffffffff,39.0,0.0,0.0
836672fffffffff,178.0,0.0,0.0
836673fffffffff,21.0,0.0,0.0
836674fffffffff,3.0,0.0,0.0
836675fffffffff,38.0,0.0,0.0
836676fffffffff,11.0,0.0,0.0
8366c0fffffffff,198.0,0.0,0.0
8366c2fffffffff,372.0,0.0,0.0
8366c5fffffffff,4.0,0.0,0.0
8366d1fffffffff,5.0,0.0,0.0
8366e0fffffffff,535.0,0.0,0.0
8366e1fffffffff,469.0,0.0,0.0
8366e3fffffffff,118.0,0.0,0.0
8366e5fffffffff,2779.0,0.0,0.0
8366ecfffffffff,5.0,0.0,0.0
8366eefffffffff,167.0,0.0,0.0
836740fffffffff,2.0,0.0,0.0
836741fffffffff,789.0,3.0,0.0
836742fffffffff,83.0,2.0,0.0
836743fffffffff,319.0,3.0,0.0
836748fffffffff,1.0,0.0,0.0
83674afffffffff,37.0,5.0,0.0
83674cfffffffff,946.0,45.0,0.0
83674dfffffffff,2.0,0.0,0.0
83674efffffffff,312.0,0.0,0.0
836751fffffffff,39.0,1.0,0.0
836752fffffffff,2.0,0.0,0.0
836753fffffffff,25.0,0.0,0.0
836758fffffffff,6.0,0.0,0.0
836759fffffffff,18.0,2.0,0.0
83675afffffffff,93.0,2.0,0.0
83675bfffffffff,8.0,0.0,0.0
83675cfffffffff,173.0,0.0,0.0
83675dfffffffff,8.0,0.0,0.0
83675efffffffff,42.0,0.0,0.0
83676bfffffffff,2.0,0.0,0.0
