cell_id,Electron platyrhynchum,Electron platyrhynchum [platyrhynchum Group],Electron platyrhynchum [pyrrholaemum Group]
834530fffffffff,8.0,0.0,0.0
834531fffffffff,5.0,0.0,0.0
834534fffffffff,8.0,0.0,0.0
836603fffffffff,4.0,0.0,0.0
836608fffffffff,1.0,0.0,0.0
83660afffffffff,261.0,0.0,0.0
836610fffffffff,18.0,0.0,0.0
836611fffffffff,6.0,0.0,0.0
836612fffffffff,26.0,0.0,0.0
836613fffffffff,129.0,15.0,0.0
836616fffffffff,336.0,40.0,0.0
836619fffffffff,332.0,0.0,0.0
83661afffffffff,23.0,0.0,0.0
83661bfffffffff,342.0,17.0,0.0
83661cfffffffff,36.0,0.0,0.0
83661dfffffffff,22.0,0.0,0.0
83661efffffffff,19.0,0.0,0.0
8366a0fffffffff,822.0,36.0,0.0
8366a5fffffffff,5615.0,471.0,0.0
8366a6fffffffff,2.0,0.0,0.0
8366b4fffffffff,1411.0,0.0,0.0
8366b5fffffffff,107.0,6.0,0.0
8366d0fffffffff,895.0,45.0,0.0
8366d2fffffffff,64.0,11.0,0.0
8366d3fffffffff,2308.0,252.0,0.0
8366d5fffffffff,5.0,0.0,0.0
8366d8fffffffff,7.0,0.0,0.0
8366dafffffffff,1.0,0.0,0.0
8366dbfffffffff,16.0,0.0,1.0
8366dcfffffffff,94.0,0.0,3.0
8366ddfffffffff,9.0,0.0,1.0
8366defffffffff,47.0,0.0,4.0
8366e4fffffffff,2.0,0.0,0.0
8366f0fffffffff,1024.0,19.0,0.0
8366f1fffffffff,25.0,0.0,0.0
8366f5fffffffff,7.0,0.0,0.0
836790fffffffff,6.0,0.0,0.0
836793fffffffff,1.0,0.0,0.0
836794fffffffff,2.0,0.0,0.0
836796fffffffff,61.0,0.0,0.0
83679afffffffff,3881.0,0.0,0.0
83679bfffffffff,197.0,0.0,0.0
836d68fffffffff,987.0,0.0,0.0
836d69fffffffff,6667.0,0.0,0.0
836d6dfffffffff,125.0,0.0,0.0
838046fffffffff,2.0,0.0,0.0
83814dfffffffff,28.0,0.0,0.0
838a00fffffffff,12.0,0.0,0.0
838a01fffffffff,6.0,0.0,0.0
838a04fffffffff,1.0,0.0,1.0
838a05fffffffff,32.0,0.0,2.0
838a10fffffffff,7.0,0.0,0.0
838a15fffffffff,1.0,0.0,0.0
838a1afffffffff,8.0,0.0,0.0
838a21fffffffff,4.0,0.0,0.0
838a23fffffffff,17.0,0.0,0.0
838a24fffffffff,4.0,0.0,0.0
838a2cfffffffff,2.0,0.0,0.0
838a31fffffffff,2.0,0.0,0.0
838a33fffffffff,8.0,0.0,0.0
838a35fffffffff,1.0,0.0,0.0
838a63fffffffff,6.0,0.0,0.0
838a68fffffffff,1.0,0.0,0.0
838a69fffffffff,4.0,0.0,0.0
838a6dfffffffff,22.0,0.0,0.0
838a70fffffffff,3.0,0.0,0.0
838a73fffffffff,1.0,0.0,0.0
838a80fffffffff,23.0,0.0,0.0
838b22fffffffff,3.0,0.0,0.0
838b2efffffffff,10.0,0.0,0.0
838b40fffffffff,40.0,0.0,0.0
838b42fffffffff,13.0,0.0,0.0
838b44fffffffff,354.0,0.0,0.0
838b45fffffffff,10.0,0.0,0.0
838b46fffffffff,3.0,0.0,0.0
838b4efffffffff,18.0,0.0,2.0
838b51fffffffff,35.0,0.0,0.0
838b5cfffffffff,72.0,0.0,1.0
838b5dfffffffff,6.0,0.0,0.0
838b61fffffffff,92.0,0.0,0.0
838b62fffffffff,23.0,0.0,0.0
838b63fffffffff,353.0,0.0,0.0
838b68fffffffff,6.0,0.0,0.0
838b69fffffffff,12.0,0.0,0.0
838b6dfffffffff,2.0,0.0,0.0
838b6efffffffff,98.0,0.0,0.0
838b71fffffffff,183.0,0.0,0.0
838b74fffffffff,20.0,0.0,0.0
838b75fffffffff,7.0,0.0,0.0
838b82fffffffff,2.0,0.0,0.0
838b84fffffffff,2.0,0.0,0.0
838b88fffffffff,10.0,0.0,0.0
838b99fffffffff,6.0,0.0,0.0
838b9dfffffffff,25.0,0.0,0.0
838e65fffffffff,5.0,0.0,0.0
838f0dfffffffff,150.0,12.0,0.0
838f29fffffffff,15.0,3.0,0.0
838f2afffffffff,4.0,0.0,0.0
838f2bfffffffff,4.0,0.0,0.0
838f2cfffffffff,21.0,0.0,0.0
838f40fffffffff,18.0,0.0,0.0
838f41fffffffff,2.0,0.0,0.0
838f43fffffffff,2.0,0.0,0.0
838f46fffffffff,234.0,0.0,0.0
838f48fffffffff,2.0,0.0,0.0
838f49fffffffff,2.0,0.0,0.0
838f4afffffffff,30.0,0.0,0.0
838f4bfffffffff,4.0,0.0,0.0
838f5dfffffffff,4.0,0.0,0.0
838f61fffffffff,3.0,0.0,0.0
838f6bfffffffff,13.0,0.0,3.0
838f74fffffffff,2.0,0.0,0.0
83b324fffffffff,1.0,0.0,0.0
