cell_id,Habia rubica,Habia rubica affinis/rosea,Habia rubica [rubicoides Group],Habia rubica [rubra Group],Habia rubica perijana,Habia rubica rubica/bahiae
824507fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82450ffffffffff,37.0,0.0,0.0,0.0,0.0,0.0
824527fffffffff,7.0,0.0,3.0,0.0,0.0,0.0
82452ffffffffff,35.0,0.0,7.0,0.0,0.0,0.0
824997fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82499ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8249b7fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
825f47fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
825f5ffffffffff,2.0,0.0,0.0,2.0,0.0,0.0
82660ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0
82662ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8266a7fffffffff,48.0,0.0,6.0,0.0,0.0,0.0
8266b7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82675ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
826d17fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
826d27fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
826d2ffffffffff,4.0,0.0,4.0,0.0,0.0,0.0
826d37fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
826d67fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
826d6ffffffffff,20.0,0.0,14.0,0.0,0.0,0.0
826d77fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
828137fffffffff,3.0,0.0,0.0,0.0,0.0,3.0
828187fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
828b5ffffffffff,2.0,0.0,0.0,2.0,0.0,0.0
828f77fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82a817fffffffff,3.0,0.0,0.0,0.0,0.0,3.0
82a837fffffffff,15.0,0.0,3.0,10.0,0.0,2.0
82a957fffffffff,1.0,0.0,0.0,0.0,0.0,1.0
