cell_id,Phaethon lepturus,Phaethon lepturus lepturus,Phaethon lepturus fulvus,Phaethon lepturus europae,Phaethon lepturus catesbyi,Phaethon lepturus dorotheae,Phaethon lepturus ascensionis
832a05fffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
832a10fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
832a14fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
832a32fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
832a4cfffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
832aadfffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
832ac2fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832ac6fffffffff,240.0,0.0,0.0,0.0,27.0,0.0,0.0
832adcfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832af1fffffffff,10.0,0.0,0.0,0.0,1.0,0.0,0.0
832af6fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
832b2efffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832b89fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832f5dfffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
83351bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8336d8fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8336dafffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83411cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
834133fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
834414fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
834432fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
834484fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83448cfffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
83448dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8344a1fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8344a5fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8344a9fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8344aafffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0
8344abfffffffff,37.0,0.0,0.0,0.0,0.0,0.0,0.0
8344aefffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8344b5fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8344d6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8344f4fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
8344f6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
834584fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
83458cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8345a3fffffffff,20.0,0.0,0.0,0.0,5.0,0.0,0.0
8345a6fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
834643fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
834648fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
834649fffffffff,7.0,0.0,0.0,0.0,0.0,1.0,0.0
83464afffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83464efffffffff,13.0,0.0,0.0,0.0,0.0,5.0,0.0
834971fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
834993fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
834b86fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
834ba1fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
834ba3fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
834ba5fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
834c98fffffffff,6.0,0.0,0.0,0.0,1.0,0.0,0.0
834cc0fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
834cc5fffffffff,228.0,0.0,0.0,0.0,5.0,0.0,0.0
834cd5fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
834ce8fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
834ceafffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
834ceefffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
834e58fffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0
83504afffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
835cb0fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
835d13fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
835d14fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
835d2dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
835e42fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
835e43fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
835e4bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
835e62fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
835e66fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
835e71fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
835e72fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
835f5bfffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
836022fffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
83640bfffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
836730fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
836746fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83679bfffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8367a0fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8368d8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
836d49fffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8373a8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
837cf6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
837d6afffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8380b4fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8382c4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83845afffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
83845cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83845efffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8385a0fffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0
8385a2fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
838904fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838922fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838934fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
839413fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8394a0fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8394a5fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8394b0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
839552fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8395a4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8399a4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,2.0
839a14fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
839a15fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
839a16fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
839c23fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
839d89fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
839e22fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
839ed1fffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
83a0d9fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83a0dcfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83a240fffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
83a615fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83b0a2fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
83b4c5fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83be0efffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83be12fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83be18fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
83be1dfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83be2bfffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
83be88fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
83bea0fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83beaafffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83beabfffffffff,17.0,0.0,0.0,0.0,0.0,7.0,0.0
