cell_id,Loriotus luctuosus,Loriotus luctuosus nitidissimus,Loriotus luctuosus [luctuosus Group]
834522fffffffff,218.0,0.0,0.0
834530fffffffff,30.0,0.0,0.0
834531fffffffff,13.0,0.0,0.0
834532fffffffff,27.0,0.0,0.0
834534fffffffff,2.0,0.0,0.0
834536fffffffff,34.0,0.0,0.0
835f01fffffffff,1.0,0.0,0.0
835f09fffffffff,7.0,0.0,0.0
835f0bfffffffff,2.0,0.0,0.0
835f14fffffffff,4.0,0.0,0.0
835f29fffffffff,4.0,0.0,0.0
835f2bfffffffff,55.0,0.0,0.0
835f40fffffffff,7.0,0.0,0.0
835f42fffffffff,16.0,0.0,0.0
835f48fffffffff,3.0,0.0,0.0
835f4afffffffff,19.0,0.0,0.0
835f4bfffffffff,4.0,0.0,0.0
835f4efffffffff,1.0,0.0,0.0
835f50fffffffff,2.0,0.0,0.0
835f58fffffffff,278.0,0.0,0.0
835f59fffffffff,7.0,0.0,0.0
835f5bfffffffff,21.0,0.0,0.0
835f68fffffffff,41.0,0.0,0.0
835f71fffffffff,5.0,0.0,0.0
835f75fffffffff,12.0,0.0,0.0
836601fffffffff,7.0,0.0,0.0
836604fffffffff,2.0,0.0,0.0
836606fffffffff,3.0,0.0,0.0
836608fffffffff,311.0,0.0,0.0
836609fffffffff,12.0,0.0,0.0
83660afffffffff,342.0,0.0,0.0
83660bfffffffff,23.0,0.0,0.0
83660cfffffffff,32.0,0.0,0.0
83660dfffffffff,28.0,0.0,0.0
83660efffffffff,15.0,0.0,0.0
836610fffffffff,976.0,0.0,0.0
836611fffffffff,43.0,0.0,0.0
836612fffffffff,36.0,0.0,0.0
836613fffffffff,472.0,0.0,0.0
836616fffffffff,770.0,0.0,0.0
836618fffffffff,42.0,0.0,0.0
836619fffffffff,1131.0,0.0,0.0
83661afffffffff,12.0,0.0,0.0
83661bfffffffff,403.0,0.0,0.0
83661cfffffffff,98.0,0.0,0.0
83661dfffffffff,140.0,0.0,0.0
83661efffffffff,84.0,0.0,0.0
836620fffffffff,93.0,0.0,0.0
836622fffffffff,30.0,0.0,0.0
836623fffffffff,3.0,0.0,0.0
