cell_id,Anthus petrosus,Anthus petrosus petrosus/kleinschmidti,Anthus petrosus littoralis
82074ffffffffff,2.0,0.0,0.0
820777fffffffff,2.0,0.0,0.0
820887fffffffff,1.0,0.0,0.0
820997fffffffff,4.0,0.0,0.0
82182ffffffffff,1.0,0.0,1.0
821847fffffffff,14.0,0.0,1.0
82184ffffffffff,34.0,0.0,0.0
82185ffffffffff,16.0,0.0,0.0
821867fffffffff,2.0,0.0,0.0
821877fffffffff,8.0,6.0,0.0
821907fffffffff,2.0,0.0,0.0
82190ffffffffff,8.0,0.0,0.0
821927fffffffff,24.0,2.0,0.0
821947fffffffff,4.0,0.0,0.0
82194ffffffffff,13.0,0.0,8.0
821957fffffffff,12.0,0.0,2.0
82195ffffffffff,4.0,0.0,0.0
82196ffffffffff,13.0,0.0,0.0
821f0ffffffffff,5.0,0.0,0.0
821f17fffffffff,2.0,0.0,0.0
821f27fffffffff,2.0,0.0,0.0
821f2ffffffffff,2.0,0.0,2.0
821f37fffffffff,1.0,0.0,0.0
823917fffffffff,113.0,0.0,0.0
82391ffffffffff,14.0,0.0,0.0
823927fffffffff,98.0,0.0,0.0
823937fffffffff,67.0,0.0,0.0
823947fffffffff,4.0,0.0,0.0
823977fffffffff,2.0,0.0,0.0
