cell_id,Butorides striata,Butorides striata striata,Butorides striata sundevalli,Butorides striata [atricapilla Group]
83240afffffffff,2.0,0.0,0.0,0.0
832c93fffffffff,15.0,0.0,0.0,0.0
832db0fffffffff,1.0,0.0,0.0,0.0
832db2fffffffff,13.0,0.0,0.0,2.0
832db6fffffffff,2.0,0.0,0.0,0.0
832e68fffffffff,6.0,0.0,0.0,0.0
833032fffffffff,5.0,0.0,0.0,0.0
833099fffffffff,3.0,0.0,0.0,0.0
83309afffffffff,2.0,0.0,0.0,0.0
83309dfffffffff,1.0,0.0,0.0,0.0
8330d1fffffffff,2.0,0.0,0.0,0.0
8330e0fffffffff,4.0,0.0,0.0,4.0
8330e3fffffffff,4.0,0.0,0.0,4.0
833c06fffffffff,1.0,0.0,0.0,0.0
833c11fffffffff,1.0,0.0,0.0,0.0
833c15fffffffff,4.0,0.0,0.0,4.0
833c19fffffffff,1.0,0.0,0.0,0.0
833c1bfffffffff,4.0,0.0,0.0,0.0
833c36fffffffff,9.0,0.0,0.0,0.0
833c52fffffffff,6.0,0.0,0.0,0.0
833c58fffffffff,3.0,0.0,0.0,0.0
833c5efffffffff,2.0,0.0,0.0,0.0
833c83fffffffff,1.0,0.0,0.0,0.0
833c88fffffffff,36.0,0.0,0.0,0.0
833c8dfffffffff,6.0,0.0,0.0,0.0
833ca8fffffffff,20.0,0.0,0.0,0.0
833cabfffffffff,2.0,0.0,0.0,0.0
833cb3fffffffff,2.0,0.0,0.0,0.0
833cc0fffffffff,2.0,0.0,0.0,0.0
833cc4fffffffff,1.0,0.0,0.0,0.0
833ce0fffffffff,6.0,0.0,0.0,0.0
833ce1fffffffff,2.0,0.0,0.0,0.0
833ce3fffffffff,2.0,0.0,0.0,0.0
833ce4fffffffff,2.0,0.0,0.0,0.0
833cecfffffffff,2.0,0.0,0.0,2.0
833cf2fffffffff,48.0,0.0,0.0,0.0
833d10fffffffff,2.0,0.0,0.0,0.0
833d13fffffffff,2.0,0.0,0.0,0.0
833d1efffffffff,2.0,0.0,0.0,0.0
833d30fffffffff,8.0,0.0,0.0,0.0
833d36fffffffff,2.0,0.0,0.0,0.0
833d89fffffffff,3.0,0.0,0.0,0.0
833d8bfffffffff,12.0,0.0,0.0,0.0
833d92fffffffff,2.0,0.0,0.0,0.0
833d9dfffffffff,10.0,0.0,0.0,0.0
833da1fffffffff,19.0,0.0,0.0,0.0
833da3fffffffff,3.0,0.0,0.0,3.0
833da5fffffffff,3.0,0.0,0.0,0.0
833da9fffffffff,2.0,0.0,0.0,0.0
833dacfffffffff,3.0,0.0,0.0,0.0
833dadfffffffff,33.0,0.0,0.0,5.0
833daefffffffff,4.0,0.0,0.0,0.0
833e68fffffffff,4.0,0.0,0.0,4.0
833e6cfffffffff,2.0,0.0,0.0,0.0
833f72fffffffff,11.0,0.0,0.0,3.0
834003fffffffff,2.0,0.0,0.0,0.0
83411cfffffffff,9.0,0.0,0.0,2.0
834169fffffffff,1.0,0.0,0.0,0.0
834191fffffffff,4.0,0.0,0.0,0.0
8341a4fffffffff,4.0,0.0,0.0,0.0
8341a5fffffffff,1.0,0.0,0.0,0.0
8341adfffffffff,2.0,0.0,0.0,2.0
