cell_id,Phaeochroa cuvierii,Phaeochroa cuvierii roberti,Phaeochroa cuvierii [cuvierii Group]
834521fffffffff,4.0,0.0,0.0
834523fffffffff,4.0,0.0,0.0
834525fffffffff,12.0,0.0,0.0
83452afffffffff,44.0,0.0,0.0
83452dfffffffff,2.0,0.0,0.0
83452efffffffff,44.0,5.0,0.0
834535fffffffff,1.0,0.0,0.0
836604fffffffff,5.0,0.0,0.0
836610fffffffff,2.0,0.0,2.0
836612fffffffff,2.0,0.0,0.0
836616fffffffff,8.0,0.0,4.0
8366a0fffffffff,3.0,0.0,0.0
8366a3fffffffff,4.0,0.0,0.0
8366a5fffffffff,6.0,0.0,0.0
8366b0fffffffff,2.0,0.0,2.0
8366b4fffffffff,12.0,0.0,3.0
8366b5fffffffff,47.0,0.0,3.0
83679afffffffff,18.0,0.0,0.0
836d21fffffffff,2.0,0.0,0.0
836d68fffffffff,1.0,0.0,0.0
836d69fffffffff,16.0,0.0,2.0
836d6bfffffffff,10.0,0.0,0.0
836d6dfffffffff,1.0,0.0,0.0
