cell_id,Campylorhamphus procurvoides,Campylorhamphus procurvoides sanus,Campylorhamphus procurvoides procurvoides,Campylorhamphus procurvoides gyldenstolpei
845f00bffffffff,1.0,0.0,0.0,0.0
845f00dffffffff,1.0,0.0,0.0,0.0
845f035ffffffff,1.0,0.0,0.0,0.0
845f03bffffffff,1.0,0.0,0.0,0.0
845f03dffffffff,1.0,0.0,0.0,0.0
845f09bffffffff,1.0,0.0,0.0,0.0
845f101ffffffff,1.0,0.0,0.0,0.0
845f105ffffffff,1.0,0.0,0.0,0.0
845f113ffffffff,2.0,0.0,0.0,0.0
845f143ffffffff,2.0,0.0,1.0,0.0
845f155ffffffff,1.0,0.0,0.0,0.0
845f161ffffffff,1.0,0.0,0.0,0.0
845f29dffffffff,2.0,0.0,0.0,0.0
845f407ffffffff,1.0,0.0,0.0,0.0
845f42bffffffff,10.0,0.0,0.0,0.0
845f549ffffffff,4.0,0.0,0.0,0.0
845f681ffffffff,1.0,0.0,0.0,0.0
845f705ffffffff,1.0,0.0,0.0,0.0
845f711ffffffff,3.0,0.0,0.0,0.0
845f713ffffffff,2.0,0.0,0.0,0.0
845f717ffffffff,1.0,1.0,0.0,0.0
8466415ffffffff,54.0,0.0,0.0,0.0
8466417ffffffff,1.0,0.0,0.0,0.0
846641dffffffff,3.0,0.0,0.0,0.0
846656dffffffff,3.0,0.0,0.0,0.0
84665abffffffff,4.0,0.0,0.0,0.0
84665bdffffffff,35.0,0.0,0.0,0.0
84666b3ffffffff,2.0,0.0,0.0,0.0
8466c23ffffffff,5.0,0.0,0.0,0.0
8466c95ffffffff,1.0,0.0,0.0,0.0
8466ce1ffffffff,1.0,0.0,0.0,0.0
8466dc9ffffffff,2.0,0.0,0.0,0.0
8466e51ffffffff,2.0,0.0,0.0,0.0
8466e57ffffffff,4.0,0.0,0.0,0.0
8466e59ffffffff,12.0,0.0,0.0,0.0
8466eadffffffff,4.0,0.0,0.0,0.0
84806a7ffffffff,1.0,0.0,1.0,0.0
84806b3ffffffff,1.0,0.0,0.0,0.0
84806b7ffffffff,2.0,0.0,0.0,0.0
848a003ffffffff,6.0,0.0,0.0,4.0
848a01dffffffff,6.0,0.0,0.0,6.0
848a05bffffffff,1.0,0.0,0.0,1.0
848a1a7ffffffff,4.0,0.0,0.0,4.0
848a337ffffffff,1.0,0.0,0.0,0.0
848a451ffffffff,3.0,0.0,0.0,0.0
848a45bffffffff,1.0,0.0,0.0,0.0
848a45dffffffff,2.0,0.0,0.0,0.0
848a4e5ffffffff,1.0,0.0,0.0,0.0
848a699ffffffff,1.0,0.0,0.0,0.0
848a6bdffffffff,1.0,0.0,0.0,0.0
848aa93ffffffff,1.0,0.0,0.0,1.0
848ad27ffffffff,2.0,0.0,0.0,0.0
848af0dffffffff,3.0,0.0,1.0,0.0
848af1dffffffff,2.0,0.0,0.0,0.0
848af29ffffffff,21.0,0.0,6.0,0.0
848af2dffffffff,16.0,0.0,5.0,0.0
848af47ffffffff,1.0,0.0,0.0,0.0
848af61ffffffff,16.0,0.0,4.0,0.0
848af63ffffffff,77.0,0.0,7.0,0.0
848af67ffffffff,120.0,0.0,2.0,0.0
848af69ffffffff,4.0,0.0,0.0,0.0
848af6bffffffff,6.0,0.0,1.0,0.0
