cell_id,Synallaxis rutilans,Synallaxis rutilans [rutilans Group],Synallaxis rutilans omissa
835f03fffffffff,25.0,0.0,0.0
835f1cfffffffff,2.0,0.0,0.0
835f40fffffffff,1.0,0.0,0.0
835f42fffffffff,1.0,0.0,0.0
835f75fffffffff,3.0,0.0,0.0
83664dfffffffff,1.0,0.0,0.0
83665afffffffff,6.0,0.0,0.0
83665bfffffffff,36.0,0.0,0.0
83666efffffffff,14.0,0.0,0.0
8366d8fffffffff,5.0,0.0,0.0
8366dcfffffffff,20.0,0.0,0.0
8366ddfffffffff,3.0,0.0,0.0
838046fffffffff,5.0,0.0,0.0
838061fffffffff,2.0,0.0,0.0
838063fffffffff,1.0,0.0,0.0
838065fffffffff,11.0,0.0,0.0
838066fffffffff,2.0,0.0,0.0
838071fffffffff,2.0,0.0,0.0
838072fffffffff,1.0,0.0,0.0
838074fffffffff,5.0,0.0,0.0
838075fffffffff,5.0,0.0,0.0
838148fffffffff,1.0,0.0,0.0
83814afffffffff,44.0,0.0,0.0
83814efffffffff,19.0,0.0,0.0
838159fffffffff,2.0,0.0,0.0
83815afffffffff,1.0,0.0,0.0
83815dfffffffff,5.0,0.0,0.0
838163fffffffff,1.0,0.0,0.0
838a00fffffffff,1.0,1.0,0.0
838a05fffffffff,11.0,0.0,0.0
838a06fffffffff,2.0,0.0,0.0
838a10fffffffff,5.0,0.0,0.0
838a15fffffffff,6.0,0.0,0.0
838a25fffffffff,1.0,0.0,0.0
838a31fffffffff,11.0,0.0,0.0
838a33fffffffff,13.0,0.0,0.0
838a69fffffffff,25.0,0.0,0.0
838a6dfffffffff,48.0,0.0,0.0
838a75fffffffff,3.0,0.0,0.0
838a80fffffffff,25.0,0.0,0.0
838a82fffffffff,2.0,0.0,0.0
838a85fffffffff,1.0,0.0,0.0
838a92fffffffff,2.0,0.0,0.0
838a9cfffffffff,1.0,0.0,0.0
838aa5fffffffff,1.0,0.0,0.0
838aaafffffffff,16.0,0.0,0.0
838aadfffffffff,3.0,0.0,0.0
838ab0fffffffff,1.0,0.0,0.0
838adcfffffffff,7.0,0.0,0.0
838af0fffffffff,2.0,0.0,0.0
838af2fffffffff,18.0,1.0,0.0
838af6fffffffff,7.0,0.0,0.0
838b0afffffffff,1.0,0.0,0.0
838b11fffffffff,5.0,0.0,0.0
838b29fffffffff,1.0,0.0,0.0
838b40fffffffff,17.0,0.0,0.0
838b44fffffffff,91.0,0.0,0.0
838b46fffffffff,18.0,0.0,0.0
838b51fffffffff,3.0,0.0,0.0
838b52fffffffff,2.0,0.0,0.0
838b56fffffffff,5.0,0.0,0.0
838b61fffffffff,2.0,0.0,0.0
838b62fffffffff,9.0,0.0,0.0
838b63fffffffff,28.0,0.0,0.0
838b69fffffffff,3.0,0.0,0.0
838b6efffffffff,28.0,0.0,0.0
838b70fffffffff,4.0,0.0,0.0
838b71fffffffff,90.0,0.0,0.0
838b74fffffffff,8.0,0.0,0.0
838b83fffffffff,1.0,0.0,0.0
838b84fffffffff,4.0,0.0,0.0
838b89fffffffff,1.0,0.0,0.0
838b8efffffffff,1.0,0.0,0.0
838b99fffffffff,5.0,0.0,0.0
838b9dfffffffff,20.0,0.0,0.0
838f48fffffffff,13.0,0.0,0.0
838f4cfffffffff,2.0,0.0,0.0
838f61fffffffff,8.0,0.0,0.0
838f65fffffffff,2.0,0.0,0.0
838f6bfffffffff,1.0,0.0,0.0
838f71fffffffff,12.0,0.0,0.0
838f74fffffffff,3.0,0.0,0.0
