cell_id,Tangara vassorii,Tangara vassorii vassorii/branickii,Tangara vassorii atrocoerulea
836601fffffffff,3.0,0.0,0.0
836608fffffffff,126.0,0.0,0.0
836609fffffffff,75.0,0.0,0.0
83660afffffffff,9.0,0.0,0.0
83660bfffffffff,167.0,0.0,0.0
83660cfffffffff,203.0,4.0,0.0
83660dfffffffff,24.0,0.0,0.0
836618fffffffff,621.0,4.0,0.0
836619fffffffff,983.0,1.0,0.0
83661bfffffffff,1369.0,12.0,0.0
83661dfffffffff,102.0,0.0,0.0
836629fffffffff,126.0,8.0,0.0
83662bfffffffff,19.0,0.0,0.0
83662dfffffffff,2.0,0.0,0.0
836656fffffffff,4.0,0.0,0.0
8366c0fffffffff,14.0,0.0,0.0
8366c2fffffffff,155.0,0.0,0.0
8366c4fffffffff,75.0,0.0,0.0
8366c6fffffffff,579.0,1.0,0.0
8366d0fffffffff,10.0,5.0,0.0
8366d1fffffffff,75.0,0.0,0.0
8366d3fffffffff,1289.0,44.0,0.0
8366d5fffffffff,112.0,0.0,0.0
8366dafffffffff,2.0,0.0,0.0
8366defffffffff,1574.0,122.0,0.0
8366e0fffffffff,1217.0,10.0,0.0
8366e2fffffffff,21.0,0.0,0.0
8366e3fffffffff,1.0,0.0,0.0
8366e4fffffffff,502.0,3.0,0.0
8366e5fffffffff,319.0,0.0,0.0
8366e6fffffffff,4703.0,66.0,0.0
8366f1fffffffff,379.0,4.0,0.0
8366f3fffffffff,11.0,0.0,0.0
8366f5fffffffff,418.0,0.0,0.0
83675afffffffff,43.0,0.0,0.0
838b20fffffffff,25.0,0.0,0.0
838b21fffffffff,6.0,0.0,0.0
838b2cfffffffff,63.0,0.0,0.0
838b2dfffffffff,11.0,0.0,0.0
838b60fffffffff,1.0,0.0,0.0
838b61fffffffff,626.0,0.0,38.0
838b6cfffffffff,413.0,0.0,18.0
838b75fffffffff,26.0,0.0,0.0
838e60fffffffff,2.0,0.0,0.0
838e61fffffffff,4.0,0.0,0.0
838e64fffffffff,266.0,0.0,0.0
838e65fffffffff,95.0,0.0,0.0
838e6cfffffffff,11.0,0.0,0.0
838e6dfffffffff,5.0,0.0,0.0
838f0dfffffffff,5.0,0.0,0.0
838f29fffffffff,10.0,0.0,0.0
838f2bfffffffff,17.0,0.0,0.0
838f2dfffffffff,48.0,0.0,0.0
838f42fffffffff,127.0,4.0,0.0
838f46fffffffff,98.0,1.0,0.0
838f4afffffffff,72.0,0.0,0.0
838f50fffffffff,14.0,0.0,0.0
838f51fffffffff,7.0,0.0,0.0
838f54fffffffff,82.0,0.0,0.0
838f55fffffffff,324.0,0.0,0.0
838f59fffffffff,49.0,0.0,0.0
838f5cfffffffff,3.0,0.0,0.0
838f5dfffffffff,6.0,0.0,0.0
838f72fffffffff,555.0,66.0,0.0
838f73fffffffff,332.0,5.0,0.0
838f74fffffffff,16.0,0.0,0.0
838f76fffffffff,306.0,22.0,0.0
83b321fffffffff,9.0,0.0,0.0
83b325fffffffff,76.0,0.0,0.0
